Time(sec),A29R1LR84VSJU
79.0,-54.01558265582656
80.0,-53.4367982965544
81.0,-52.85801393728224
82.0,-52.279229578010074
83.0,-51.70044521873791
84.0,-51.12166085946574
85.0,-50.54287650019358
86.0,-49.964092140921416
87.0,-49.38530778164925
88.0,-48.80652342237708
89.0,-48.22773906310492
90.0,-47.64895470383276
91.0,-47.070170344560594
92.0,-46.49138598528843
93.0,-45.91260162601627
94.0,-45.333817266744106
95.0,-44.75503290747194
96.0,-44.17624854819978
97.0,-43.59746418892761
98.0,-43.01867982965545
99.0,-42.439895470383284
100.0,-41.86111111111112
101.0,-41.28232675183896
102.0,-40.703542392566796
103.0,-40.124758033294626
104.0,-39.54597367402246
105.0,-38.9671893147503
106.0,-38.38840495547814
107.0,-37.80962059620597
108.0,-37.230836236933804
109.0,-36.65205187766164
110.0,-36.07326751838948
111.0,-35.494483159117316
112.0,-34.91569879984515
113.0,-34.33691444057298
114.0,-33.75813008130082
115.0,-33.17934572202866
116.0,-32.600561362756494
117.0,-32.02177700348433
118.0,-31.442992644212165
119.0,-30.864208284940002
120.0,-30.28542392566784
121.0,-29.706639566395676
122.0,-29.12785520712351
123.0,-28.549070847851347
124.0,-27.970286488579184
125.0,-27.39150212930702
126.0,-26.81271777003485
127.0,-26.23393341076269
128.0,-25.655149051490525
129.0,-25.076364692218363
130.0,-24.497580332946196
131.0,-23.918795973674033
132.0,-23.340011614401867
133.0,-22.761227255129704
134.0,-22.18244289585754
135.0,-21.603658536585378
136.0,-21.024874177313215
137.0,-20.44608981804105
138.0,-19.867305458768886
139.0,-19.288521099496723
140.0,-18.709736740224557
141.0,-18.130952380952394
142.0,-17.552168021680227
143.0,-16.973383662408065
144.0,-16.394599303135898
145.0,-15.815814943863737
146.0,-15.23703058459157
147.0,-14.658246225319408
148.0,-14.079461866047245
149.0,-13.50067750677508
150.0,-12.921893147502917
151.0,-12.34310878823075
152.0,-11.764324428958588
153.0,-11.185540069686425
154.0,-10.606755710414259
155.0,-10.027971351142096
156.0,-9.449186991869931
157.0,-8.870402632597768
158.0,-8.291618273325604
159.0,-7.712833914053439
160.0,-7.134049554781276
161.0,-6.555265195509111
162.0,-5.976480836236948
163.0,-5.397696476964782
164.0,-4.818912117692619
165.0,-4.240127758420455
166.0,-3.661343399148291
167.0,-3.0825590398761262
168.0,-2.503774680603962
169.0,-1.9249903213317991
170.0,-1.346205962059635
171.0,-0.7674216027874706
172.0,-0.18863724351530778
173.0,0.39014711575685795
174.0,0.9689314750290208
175.0,1.5477158343011865
176.0,2.1265001935733494
177.0,2.7052845528455136
178.0,3.284068912117678
179.0,3.8628532713898425
180.0,4.441637630662006
181.0,5.020421989934169
182.0,5.5992063492063355
183.0,6.177990708478498
184.0,6.756775067750661
185.0,7.335559427022827
186.0,7.91434378629499
187.0,8.493128145567155
188.0,9.071912504839318
189.0,9.650696864111483
190.0,10.229481223383647
191.0,10.80826558265581
192.0,11.387049941927975
193.0,11.965834301200138
194.0,12.544618660472304
195.0,13.123403019744467
196.0,13.70218737901663
