Time(sec),AM2RT8BYNQFDR
358.0,-6.0
359.0,-6.0
360.0,-6.0
361.0,-6.0
362.0,-6.0
363.0,-6.0
364.0,-6.0
365.0,-6.0
366.0,-6.0
367.0,-6.0
368.0,-6.0
369.0,-6.0
370.0,-6.0
371.0,-6.0
372.0,-6.0
373.0,-6.0
374.0,-6.0
375.0,-6.0
376.0,-6.0
377.0,-6.0
378.0,-6.0
379.0,-6.0
380.0,-6.0
381.0,-6.0
382.0,-6.0
383.0,-6.0
384.0,-6.0
385.0,-6.0
386.0,-6.0
387.0,-6.0
388.0,-5.97752808988764
389.0,-5.786516853932584
390.0,-5.561797752808989
391.0,-5.337078651685394
392.0,-5.112359550561798
393.0,-4.887640449438202
394.0,-4.662921348314606
395.0,-4.438202247191011
396.0,-4.213483146067416
397.0,-0.6005206906001644
398.0,3.8109756097560976
399.0,4.176829268292683
400.0,4.542682926829268
401.0,4.897560975609756
402.0,5.0
403.0,5.0
404.0,5.0
405.0,5.0
406.0,5.0
407.0,5.0
408.0,5.0
409.0,5.0
410.0,5.0
411.0,5.0
412.0,5.0
413.0,5.0
414.0,5.0
415.0,5.0
416.0,5.0
417.0,5.0
418.0,5.0
419.0,5.0
420.0,5.0
421.0,5.0
422.0,5.0
423.0,5.0
424.0,5.0
425.0,5.0
426.0,5.0
427.0,5.0
428.0,5.0
429.0,5.0
430.0,5.0
431.0,5.0
432.0,5.0
433.0,5.0
434.0,5.0
435.0,5.0
436.0,5.0
437.0,5.0
438.0,5.0
439.0,5.0
440.0,5.0
441.0,4.981387478849408
442.0,4.947546531302876
443.0,4.913705583756345
444.0,4.879864636209814
445.0,4.846023688663283
446.0,4.812182741116752
447.0,4.7783417935702195
448.0,4.744500846023689
449.0,4.710659898477157
450.0,4.676818950930626
451.0,4.642978003384095
452.0,4.609137055837563
453.0,4.575296108291032
454.0,4.5414551607445
455.0,4.50761421319797
456.0,4.473773265651438
457.0,4.439932318104907
458.0,4.406091370558375
459.0,4.3722504230118435
460.0,3.517106598984771
461.0,1.0833333333333335
462.0,-4.126666666666667
463.0,-18.57258064516129
464.0,-19.600806451612904
465.0,-19.681451612903224
466.0,-19.762096774193548
467.0,-19.842741935483872
468.0,-19.923387096774192
469.0,-19.991935483870968
470.0,-20.0
471.0,-20.0
472.0,-20.0
473.0,-20.0
474.0,-20.0
475.0,-20.0
476.0,-20.0
477.0,-20.0
478.0,-20.0
479.0,-15.89857142857143
480.0,-4.83
481.0,10.26398462524023
482.0,11.056053811659194
483.0,11.100896860986548
484.0,11.145739910313901
485.0,11.190582959641256
486.0,11.23542600896861
487.0,11.280269058295964
488.0,11.325112107623317
489.0,11.369955156950672
490.0,11.414798206278027
491.0,11.45964125560538
492.0,11.504484304932735
493.0,11.54932735426009
494.0,11.594170403587444
495.0,11.6390134529148
496.0,11.683856502242152
497.0,11.728699551569507
498.0,11.77354260089686
499.0,11.818385650224215
500.0,11.86322869955157
501.0,11.908071748878923
502.0,11.952914798206278
503.0,13.284182633509989
504.0,16.509343434343435
505.0,17.016414141414142
506.0,17.041666666666668
507.0,17.06691919191919
508.0,17.092171717171716
509.0,17.117424242424242
510.0,17.142676767676768
511.0,17.167929292929294
512.0,17.19318181818182
513.0,17.218434343434343
514.0,17.24368686868687
515.0,17.268939393939394
516.0,17.29419191919192
517.0,17.319444444444443
518.0,17.34469696969697
519.0,17.369949494949495
520.0,17.39520202020202
521.0,17.420454545454547
522.0,17.44570707070707
523.0,17.470959595959595
524.0,17.49621212121212
525.0,17.521464646464647
526.0,17.546717171717173
527.0,17.571969696969695
528.0,17.59722222222222
529.0,17.622474747474747
530.0,17.647727272727273
531.0,17.6729797979798
532.0,17.69823232323232
533.0,17.723484848484848
534.0,17.748737373737374
535.0,17.78787878787879
536.0,17.838383838383837
537.0,17.88888888888889
538.0,17.93939393939394
539.0,17.98762626262626
540.0,18.0
541.0,18.0
542.0,17.982857142857142
543.0,17.895238095238092
544.0,17.8
545.0,17.73095238095238
546.0,17.683333333333334
547.0,17.635714285714286
548.0,17.58809523809524
549.0,17.54047619047619
550.0,6.488917748917748
551.0,-30.4625
552.0,-53.82506313131313
553.0,-56.239583333333336
554.0,-56.447916666666664
555.0,-56.65625
556.0,-56.864583333333336
557.0,-56.99791666666666
558.0,-57.0
559.0,-57.0
560.0,-57.0
561.0,-57.0
562.0,-57.0
563.0,-57.0
564.0,-57.0
565.0,-57.0
566.0,-57.0
567.0,-57.0
568.0,-57.0
569.0,-57.0
570.0,-57.0
571.0,-57.0
572.0,-57.0
573.0,-57.0
574.0,-57.0
575.0,-57.0
576.0,-57.0
577.0,-57.0
578.0,-57.0
579.0,-57.0
580.0,-57.0
581.0,-57.0
582.0,-57.0
583.0,-57.0
584.0,-57.0
585.0,-57.0
586.0,-57.0
587.0,-57.0
588.0,-57.0
589.0,-57.0
590.0,-57.0
591.0,-57.0
592.0,-57.0
593.0,-57.0
594.0,-57.0
595.0,-57.0
596.0,-57.0
597.0,-57.0
598.0,-57.0
599.0,-57.0
600.0,-57.0
601.0,-57.0
602.0,-57.0
603.0,-57.0
604.0,-57.0
605.0,-57.0
606.0,-57.0
607.0,-57.0
608.0,-57.0
609.0,-60.25
610.0,-66.92999999999999
611.0,-74.41206896551725
612.0,-74.73275862068965
613.0,-74.90517241379311
614.0,-75.0
615.0,-75.0
616.0,-75.0
617.0,-75.0
618.0,-75.0
619.0,-75.0
