Time(sec),A21V0SPZ59EEA
282.0,-52.60908269317669
283.0,-52.438273836421146
284.0,-52.26746497966561
285.0,-52.096656122910076
286.0,-51.92584726615454
287.0,-51.755038409399006
288.0,-51.584229552643464
289.0,-51.41342069588793
290.0,-51.242611839132394
291.0,-51.071802982376866
292.0,-50.900994125621324
293.0,-50.73018526886579
294.0,-50.55937641211026
295.0,-50.388567555354726
296.0,-50.217758698599184
297.0,-50.04694984184365
298.0,-49.876140985088114
299.0,-49.70533212833258
300.0,-49.534523271577044
301.0,-49.36371441482151
302.0,-49.19290555806597
303.0,-49.02209670131044
304.0,-48.8512878445549
305.0,-48.68047898779936
306.0,-48.50967013104383
307.0,-48.3388612742883
308.0,-48.16805241753276
309.0,-47.99724356077722
310.0,-47.826434704021686
311.0,-47.65562584726615
312.0,-47.484816990510616
313.0,-47.31400813375508
314.0,-47.143199276999546
315.0,-46.97239042024401
316.0,-46.801581563488476
317.0,-46.63077270673294
318.0,-46.459963849977406
319.0,-46.28915499322187
320.0,-46.118346136466336
321.0,-45.9475372797108
322.0,-45.77672842295526
323.0,-45.605919566199724
324.0,-45.435110709444196
325.0,-45.26430185268866
326.0,-45.09349299593312
327.0,-44.92268413917758
328.0,-44.75187528242205
329.0,-44.58106642566651
330.0,-44.41025756891098
331.0,-44.23944871215544
332.0,-44.06863985539991
333.0,-43.89783099864437
334.0,-43.72702214188884
335.0,-43.556213285133296
336.0,-43.38540442837777
337.0,-43.21459557162223
338.0,-43.0437867148667
339.0,-42.872977858111156
340.0,-42.70216900135562
341.0,-42.4544961590601
342.0,-42.11287844554903
343.0,-41.77126073203796
344.0,-41.42964301852688
345.0,-41.08802530501582
346.0,-40.74640759150474
347.0,-40.40478987799367
348.0,-40.0631721644826
349.0,-39.72155445097153
350.0,-39.379936737460454
351.0,-39.11518300948938
352.0,-38.94437415273384
353.0,-38.77356529597831
354.0,-38.60275643922277
355.0,-38.43194758246724
356.0,-38.2611387257117
357.0,-38.09032986895617
358.0,-37.91952101220063
359.0,-37.74871215544509
360.0,-37.577903298689556
361.0,-37.40709444193403
362.0,-37.23628558517849
363.0,-37.06547672842295
364.0,-36.930537731586085
365.0,-36.92028920018075
366.0,-36.92028920018075
367.0,-36.92028920018075
368.0,-36.92028920018075
369.0,-36.92028920018075
370.0,-36.92028920018075
371.0,-36.92028920018075
372.0,-36.92028920018075
373.0,-36.92028920018075
374.0,-36.884419340262085
375.0,-36.72385901491188
376.0,-36.55305015815635
377.0,-36.38224130140081
378.0,-36.211432444645276
379.0,-36.04062358788974
380.0,-35.869814731134205
381.0,-35.69900587437867
382.0,-35.528197017623135
383.0,-35.35738816086759
384.0,-35.186579304112065
385.0,-35.01577044735652
386.0,-34.844961590600995
387.0,-34.67415273384545
388.0,-34.503343877089925
389.0,-34.33253502033438
390.0,-34.16172616357885
391.0,-33.99091730682331
392.0,-33.820108450067785
393.0,-33.64929959331224
394.0,-33.47849073655671
395.0,-33.30768187980117
396.0,-33.13687302304564
397.0,-32.9660641662901
398.0,-32.79525530953457
399.0,-32.62444645277903
400.0,-32.45363759602349
401.0,-32.28282873926796
402.0,-32.11201988251243
403.0,-31.941211025756893
404.0,-31.77040216900135
405.0,-31.599593312245823
406.0,-31.42878445549028
407.0,-31.25797559873475
408.0,-31.08716674197921
409.0,-30.916357885223682
410.0,-30.74554902846814
411.0,-30.57474017171261
412.0,-30.40393131495707
413.0,-30.233122458201535
414.0,-30.062313601446
415.0,-29.89150474469046
416.0,-29.72069588793493
417.0,-29.549887031179388
418.0,-29.37907817442386
419.0,-29.208269317668318
420.0,-29.03746046091279
421.0,-28.866651604157248
422.0,-28.69584274740172
423.0,-28.525033890646178
424.0,-28.354225033890646
425.0,-28.183416177135108
426.0,-28.012607320379573
427.0,-27.841798463624038
428.0,-27.6709896068685
429.0,-27.500180750112968
430.0,-27.329371893357433
431.0,-27.158563036601898
432.0,-26.98775417984636
433.0,-26.816945323090827
434.0,-26.646136466335285
435.0,-26.475327609579757
436.0,-26.304518752824215
437.0,-26.133709896068684
438.0,-25.962901039313145
439.0,-25.792092182557617
440.0,-25.621283325802075
441.0,-25.450474469046544
442.0,-25.279665612291005
443.0,-25.10885675553547
444.0,-24.938047898779935
445.0,-24.767239042024396
446.0,-24.596430185268865
447.0,-22.982536526585328
448.0,-8.016666666666667
449.0,10.341666666666665
450.0,24.0
451.0,46.71650565262076
452.0,60.56978417266187
453.0,66.92949640287769
454.0,73.28920863309352
455.0,79.64892086330936
456.0,86.00863309352518
457.0,92.36834532374101
458.0,96.81187050359713
459.0,75.84
460.0,47.276198830409356
461.0,15.669598595848594
462.0,-10.311436229462545
463.0,-36.78261234121915
464.0,-56.722400676246835
465.0,-73.87
466.0,-88.39666666666668
467.0,-95.5
468.0,-95.5
469.0,-97.325
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
