Time(sec),AJE5OG666CBAC
158.0,-99.15685164212911
159.0,-99.15911664779162
160.0,-99.16138165345413
161.0,-99.16364665911665
162.0,-99.16591166477916
163.0,-99.16817667044168
164.0,-99.17044167610419
165.0,-99.1727066817667
166.0,-99.17497168742922
167.0,-99.17723669309173
168.0,-99.17950169875425
169.0,-99.18176670441676
170.0,-99.18403171007927
171.0,-99.18629671574179
172.0,-99.1885617214043
173.0,-99.19082672706682
174.0,-99.19309173272933
175.0,-99.19535673839184
176.0,-99.19762174405436
177.0,-99.19988674971687
178.0,-99.20215175537939
179.0,-99.2044167610419
180.0,-99.2066817667044
181.0,-99.20894677236693
182.0,-99.21121177802945
183.0,-99.21347678369196
184.0,-99.21574178935448
185.0,-99.21800679501699
186.0,-99.22027180067951
187.0,-99.22253680634202
188.0,-99.22480181200453
189.0,-99.22706681766705
190.0,-99.22933182332956
191.0,-99.23159682899208
192.0,-99.23386183465459
193.0,-99.2361268403171
194.0,-99.23839184597962
195.0,-99.24065685164213
196.0,-99.24292185730465
197.0,-99.24518686296716
198.0,-99.24745186862967
199.0,-99.24971687429219
200.0,-99.2519818799547
201.0,-99.25424688561722
202.0,-99.25651189127973
203.0,-99.25877689694224
204.0,-99.26104190260476
205.0,-99.26330690826727
206.0,-99.26557191392979
207.0,-99.2678369195923
208.0,-99.2701019252548
209.0,-99.27236693091733
210.0,-99.27463193657984
211.0,-99.27689694224236
212.0,-99.27916194790487
213.0,-99.28142695356738
214.0,-99.2836919592299
215.0,-99.2859569648924
216.0,-99.28822197055493
217.0,-99.29048697621744
218.0,-99.29275198187995
219.0,-99.29501698754247
220.0,-99.29728199320498
221.0,-99.2995469988675
222.0,-99.30181200453
223.0,-99.30407701019253
224.0,-99.30634201585504
225.0,-99.30860702151756
226.0,-99.31087202718007
227.0,-99.31313703284259
228.0,-99.3154020385051
229.0,-99.31766704416762
230.0,-99.31993204983013
231.0,-99.32219705549264
232.0,-99.32446206115516
233.0,-99.32672706681767
234.0,-99.32899207248019
235.0,-99.3312570781427
236.0,-99.3335220838052
237.0,-99.33578708946773
238.0,-99.33805209513024
239.0,-99.34031710079276
240.0,-99.34258210645527
241.0,-99.34484711211778
242.0,-99.3471121177803
243.0,-99.3493771234428
244.0,-99.35164212910533
245.0,-99.35390713476784
246.0,-99.35617214043035
247.0,-99.35843714609287
248.0,-99.36070215175538
249.0,-99.3629671574179
250.0,-99.3652321630804
251.0,-99.36749716874291
252.0,-99.36976217440544
253.0,-99.37202718006795
254.0,-99.37429218573047
255.0,-99.37655719139298
256.0,-99.37882219705548
257.0,-99.381087202718
258.0,-99.38335220838051
259.0,-99.38561721404304
260.0,-99.38788221970555
261.0,-99.39014722536805
262.0,-99.39241223103058
263.0,-99.39467723669308
264.0,-99.3969422423556
265.0,-99.39920724801812
266.0,-99.40147225368064
267.0,-99.40373725934315
268.0,-99.40600226500567
269.0,-99.40826727066818
270.0,-99.4105322763307
271.0,-99.4127972819932
272.0,-99.41506228765573
273.0,-99.41732729331824
274.0,-99.41959229898075
275.0,-99.42185730464327
276.0,-99.42412231030578
277.0,-99.4263873159683
278.0,-99.4286523216308
279.0,-99.43091732729332
280.0,-99.43318233295584
281.0,-99.43544733861835
282.0,-99.43771234428087
283.0,-99.43997734994338
284.0,-99.44224235560588
285.0,-99.4445073612684
286.0,-99.44677236693092
287.0,-99.44903737259344
288.0,-99.45130237825595
289.0,-99.45356738391845
290.0,-99.45583238958098
291.0,-99.45809739524348
292.0,-99.460362400906
293.0,-99.46262740656852
294.0,-99.46489241223102
295.0,-99.46715741789355
296.0,-99.46942242355605
297.0,-99.47168742921858
298.0,-99.47395243488108
299.0,-99.47621744054359
300.0,-99.47848244620612
301.0,-99.48074745186862
302.0,-99.48301245753115
303.0,-99.48527746319365
304.0,-99.48754246885616
305.0,-99.48980747451868
306.0,-99.49207248018119
307.0,-99.49433748584372
308.0,-99.49660249150622
309.0,-99.49886749716875
310.0,-99.50113250283125
311.0,-99.50339750849378
312.0,-99.50566251415628
313.0,-99.50792751981881
314.0,-99.51019252548132
315.0,-99.51245753114384
316.0,-99.51472253680635
317.0,-99.51698754246885
318.0,-99.51925254813138
319.0,-99.52151755379388
320.0,-99.52378255945641
321.0,-99.52604756511892
322.0,-99.52831257078142
323.0,-99.53057757644395
324.0,-99.53284258210645
325.0,-99.53510758776898
326.0,-99.53737259343148
327.0,-99.539637599094
328.0,-99.54190260475652
329.0,-99.54416761041902
330.0,-99.54643261608155
331.0,-99.54869762174405
332.0,-99.55096262740656
333.0,-99.55322763306908
334.0,-99.5554926387316
335.0,-99.55775764439412
336.0,-99.56002265005662
337.0,-99.56228765571913
338.0,-99.56455266138165
339.0,-99.56681766704416
340.0,-99.56908267270668
341.0,-99.5713476783692
342.0,-99.5736126840317
343.0,-99.57587768969422
344.0,-99.57814269535673
345.0,-99.58040770101925
346.0,-99.58267270668176
347.0,-99.58493771234427
348.0,-99.5872027180068
349.0,-99.5894677236693
350.0,-99.59173272933182
351.0,-99.59399773499433
352.0,-99.59626274065685
353.0,-99.59852774631936
354.0,-99.60079275198188
355.0,-99.6030577576444
356.0,-99.60532276330692
357.0,-99.60758776896942
358.0,-99.60985277463195
359.0,-99.61211778029445
360.0,-99.61438278595696
361.0,-99.61664779161949
362.0,-99.618912797282
363.0,-99.62117780294452
364.0,-99.62344280860702
365.0,-99.62570781426953
366.0,-99.62797281993205
367.0,-99.63023782559456
368.0,-99.63250283125709
369.0,-99.6347678369196
370.0,-99.6370328425821
371.0,-99.63929784824462
372.0,-99.64156285390713
373.0,-99.64382785956965
374.0,-99.64609286523216
375.0,-99.64835787089467
376.0,-99.6506228765572
377.0,-99.6528878822197
378.0,-99.65515288788222
379.0,-99.65741789354473
380.0,-99.65968289920724
381.0,-99.66194790486976
382.0,-99.66421291053227
383.0,-99.6664779161948
384.0,-99.6687429218573
385.0,-99.67100792751981
386.0,-99.67327293318233
387.0,-99.67553793884484
388.0,-99.67780294450736
389.0,-99.68006795016987
390.0,-99.68233295583238
391.0,-99.6845979614949
392.0,-99.68686296715741
393.0,-99.68912797281993
394.0,-99.69139297848244
395.0,-99.69365798414496
396.0,-99.69592298980747
397.0,-99.69818799547
398.0,-99.7004530011325
399.0,-99.70271800679502
400.0,-99.70498301245753
401.0,-99.70724801812005
402.0,-99.70951302378256
403.0,-99.71177802944507
404.0,-99.7140430351076
405.0,-99.7163080407701
406.0,-99.71857304643262
407.0,-99.72083805209513
408.0,-99.72310305775764
409.0,-99.72536806342016
410.0,-99.72763306908267
411.0,-99.7298980747452
412.0,-99.7321630804077
413.0,-99.73442808607021
414.0,-99.73669309173273
415.0,-99.73895809739524
416.0,-99.74122310305776
417.0,-99.74348810872027
418.0,-99.74575311438278
419.0,-99.7480181200453
420.0,-99.75028312570781
421.0,-99.75254813137033
422.0,-99.75481313703284
423.0,-99.75707814269535
424.0,-99.75934314835787
425.0,-99.76160815402038
426.0,-99.7638731596829
427.0,-99.76613816534541
428.0,-99.76840317100792
429.0,-99.77066817667044
430.0,-99.77293318233295
431.0,-99.77519818799547
432.0,-99.77746319365798
433.0,-99.77972819932049
434.0,-99.78199320498301
435.0,-99.78425821064552
436.0,-99.78652321630804
437.0,-99.78878822197055
438.0,-99.79105322763307
439.0,-99.7933182332956
440.0,-99.7955832389581
441.0,-99.79784824462061
442.0,-99.80011325028313
443.0,-99.80237825594564
444.0,-99.80464326160816
445.0,-99.80690826727067
446.0,-99.80917327293318
447.0,-99.8114382785957
448.0,-99.81370328425821
449.0,-99.81596828992073
450.0,-99.81823329558324
451.0,-99.82049830124575
452.0,-99.82276330690827
