Time(sec),A6PO7JT39QQGP
160.0,-100.0
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-99.80588235294117
169.0,-99.45294117647059
170.0,-99.1
171.0,-84.74354724795901
172.0,-49.463011336788426
173.0,-23.0
174.0,-23.0
175.0,-23.0
176.0,-23.0
177.0,-23.0
178.0,-23.0
179.0,-24.35982825997532
180.0,-44.37781746031746
181.0,-70.475
182.0,-92.95956885154646
183.0,-98.76305970149254
184.0,-98.97450248756219
185.0,-99.18594527363184
186.0,-99.39738805970148
187.0,-99.60883084577115
188.0,-99.82027363184079
189.0,-99.98731343283582
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-89.83
204.0,-80.0
205.0,-80.0
206.0,-80.0
207.0,-80.0
208.0,-80.0
209.0,-80.0
210.0,-80.0
211.0,-80.0
212.0,-90.65474747474748
213.0,-99.29090909090908
214.0,-99.82545454545455
215.0,-99.98518518518519
216.0,-99.93981481481481
217.0,-99.80833333333334
218.0,-89.34195512820513
219.0,-94.82976190476191
220.0,-64.93918706293707
221.0,-38.42
222.0,-35.0
223.0,-35.0
224.0,-35.0
225.0,-35.0
226.0,-35.0
227.0,-35.0
228.0,-35.0
229.0,-35.0
230.0,-35.0
231.0,-38.61587301587302
232.0,-75.51232323232323
233.0,-96.67874097007224
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-99.9875
293.0,-99.93154761904762
294.0,-99.87202380952381
295.0,-99.8125
296.0,-99.75297619047619
297.0,-99.69345238095238
298.0,-99.63392857142857
299.0,-99.57440476190476
300.0,-99.51488095238095
301.0,-99.42261904761905
302.0,-86.36195526695526
303.0,-38.89555555555556
304.0,6.227435897435898
305.0,61.3507498982499
306.0,93.86428571428571
307.0,94.0
308.0,94.0
309.0,94.0
310.0,85.04015388777889
311.0,61.26801129426129
312.0,40.08011904761905
313.0,15.361984126984126
314.0,-12.428463203463204
315.0,-43.839153439153435
316.0,-58.54774572649573
317.0,-71.65957095709571
318.0,-74.7986798679868
319.0,-77.57095709570957
320.0,-80.34323432343234
321.0,-84.36303630363037
322.0,-89.9075907590759
323.0,-95.45214521452145
324.0,-89.22577557755776
325.0,-82.0
326.0,-82.0
327.0,-88.11666666666666
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-94.4004761904762
334.0,-80.05
335.0,-80.0
336.0,-80.0
337.0,-92.13
338.0,-99.5
339.0,-86.35
340.0,-65.34285714285714
341.0,-63.00714285714285
342.0,-63.0
343.0,-63.0
344.0,-63.0
345.0,-63.0
346.0,-63.0
347.0,-63.0
348.0,-63.00681818181819
349.0,-82.45801531801531
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-95.26666666666667
354.0,-88.2
355.0,-85.61428571428571
356.0,-82.9
357.0,-80.33333333333333
358.0,-78.05
359.0,-75.25
360.0,-72.72
361.0,-69.82666666666667
362.0,-60.18666666666667
363.0,-24.46
364.0,-5.416666666666666
365.0,-37.43
366.0,-54.5
367.0,-54.5
368.0,-54.5
369.0,-60.086666666666666
370.0,-77.2
371.0,-96.44638981173864
372.0,-99.08139534883722
373.0,-99.15891472868216
374.0,-99.23643410852713
375.0,-99.31395348837209
376.0,-99.39147286821705
377.0,-99.46899224806201
378.0,-99.54651162790698
379.0,-99.62403100775194
380.0,-99.7015503875969
381.0,-99.77906976744187
382.0,-99.85658914728683
383.0,-99.93410852713178
384.0,-99.9953488372093
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-97.48333333333333
399.0,-83.55952380952381
400.0,-75.60714285714286
401.0,-56.96809523809524
402.0,-32.53
403.0,-11.566153846153847
404.0,-3.75
405.0,-3.3653846153846154
406.0,-3.0384615384615383
407.0,-3.0
408.0,-3.0
409.0,-3.0
410.0,-3.0
411.0,-3.0
412.0,-3.0
413.0,-3.0
414.0,-3.0
415.0,-3.0
416.0,-3.0
417.0,-3.0
418.0,-3.0
419.0,-11.851666666666667
420.0,-47.60809523809524
421.0,-94.54469273743017
422.0,-82.31284916201118
423.0,-65.94413407821229
424.0,-49.575418994413404
425.0,-33.20670391061452
426.0,-16.83798882681564
427.0,-2.1879888268156362
428.0,6.487430167597772
429.0,14.671787709497215
430.0,22.856145251396658
431.0,31.0405027932961
432.0,39.22486033519554
433.0,50.8698975791434
434.0,63.5652380952381
435.0,80.52000000000001
436.0,97.93660714285714
437.0,99.99047619047619
438.0,100.0
439.0,100.0
440.0,100.0
441.0,100.0
442.0,100.0
443.0,100.0
444.0,100.0
445.0,96.20833333333334
446.0,65.48333333333333
447.0,27.535956465919703
448.0,6.485294117647058
449.0,3.825274725274725
450.0,1.4971428571428573
451.0,-2.974285714285714
452.0,-5.245535714285714
453.0,-7.165178571428572
454.0,-9.084821428571429
455.0,-11.004464285714286
456.0,-12.924107142857144
457.0,-14.84375
458.0,-16.763392857142858
459.0,-18.5390625
460.0,-19.594866071428573
461.0,-20.5546875
462.0,-21.51450892857143
463.0,-22.474330357142858
464.0,-23.434151785714285
465.0,-24.393973214285715
466.0,-25.353794642857146
467.0,-26.313616071428573
468.0,-27.2734375
469.0,-28.233258928571427
470.0,-29.193080357142854
471.0,-30.15290178571429
472.0,-31.112723214285715
473.0,-32.072544642857146
474.0,-33.03236607142857
475.0,-33.9921875
476.0,-34.95200892857143
477.0,-35.91183035714286
478.0,-36.87165178571429
479.0,-37.831473214285715
480.0,-38.791294642857146
481.0,-39.75111607142857
482.0,-40.7109375
483.0,-41.67075892857143
484.0,-42.534598214285715
485.0,-42.67857142857143
486.0,-42.67857142857143
487.0,-42.67857142857143
488.0,-42.67857142857143
489.0,-42.67857142857143
490.0,-42.67857142857143
