Time(sec),A1W7S7ALCLVTL
76.0,-86.78046028880865
77.0,-86.59544223826715
78.0,-86.41042418772562
79.0,-86.22540613718412
80.0,-86.0403880866426
81.0,-85.85537003610109
82.0,-85.67035198555956
83.0,-85.48533393501805
84.0,-85.30031588447653
85.0,-85.11529783393502
86.0,-84.9302797833935
87.0,-84.74526173285199
88.0,-84.56024368231047
89.0,-84.37522563176896
90.0,-84.19020758122744
91.0,-84.00518953068593
92.0,-83.82017148014441
93.0,-83.63515342960288
94.0,-83.45013537906138
95.0,-83.26511732851985
96.0,-83.08009927797835
97.0,-82.89508122743682
98.0,-82.71006317689532
99.0,-82.52504512635379
100.0,-82.34002707581229
101.0,-82.15500902527076
102.0,-81.96999097472924
103.0,-81.78497292418773
104.0,-81.59995487364621
105.0,-81.4149368231047
106.0,-81.22991877256318
107.0,-81.04490072202165
108.0,-80.85988267148015
109.0,-80.67486462093862
110.0,-80.48984657039712
111.0,-80.30482851985559
112.0,-80.11981046931407
113.0,-79.93479241877256
114.0,-79.74977436823104
115.0,-79.56475631768953
116.0,-79.37973826714801
117.0,-79.1947202166065
118.0,-79.00970216606498
119.0,-78.82468411552347
120.0,-78.63966606498195
121.0,-78.45464801444044
122.0,-78.26962996389892
123.0,-78.0846119133574
124.0,-77.89959386281589
125.0,-77.71457581227438
126.0,-77.52955776173285
127.0,-77.34453971119135
128.0,-77.15952166064982
129.0,-76.97450361010831
130.0,-76.78948555956678
131.0,-76.60446750902527
132.0,-76.41944945848375
133.0,-76.23443140794224
134.0,-76.04941335740072
135.0,-75.86439530685921
136.0,-75.67937725631768
137.0,-75.49435920577618
138.0,-75.30934115523465
139.0,-75.12432310469315
140.0,-74.93930505415162
141.0,-74.75428700361012
142.0,-74.56926895306859
143.0,-74.38425090252709
144.0,-74.19923285198556
145.0,-74.01421480144404
146.0,-73.82919675090253
147.0,-73.64417870036101
148.0,-73.4591606498195
149.0,-73.27414259927798
150.0,-73.08912454873646
151.0,-72.90410649819495
152.0,-72.71908844765343
153.0,-72.53407039711192
154.0,-72.3490523465704
155.0,-72.16403429602887
156.0,-71.97901624548737
157.0,-71.79399819494584
158.0,-71.60898014440434
159.0,-71.42396209386281
160.0,-71.23894404332131
161.0,-71.05392599277978
162.0,-70.86890794223828
163.0,-70.68388989169675
164.0,-70.49887184115524
165.0,-70.31385379061372
166.0,-70.1288357400722
167.0,-69.94381768953069
168.0,-69.75879963898917
169.0,-69.57378158844764
170.0,-69.38876353790614
171.0,-69.20374548736461
172.0,-69.01872743682311
173.0,-68.83370938628158
174.0,-68.64869133574007
175.0,-68.46367328519855
176.0,-68.27865523465704
177.0,-68.09363718411552
178.0,-67.908619133574
179.0,-67.72360108303249
180.0,-67.53858303249098
181.0,-67.35356498194946
182.0,-67.16854693140795
183.0,-66.98352888086643
184.0,-66.79851083032491
185.0,-66.6134927797834
186.0,-66.42847472924188
187.0,-66.24345667870037
188.0,-66.05843862815884
189.0,-65.87342057761734
190.0,-65.68840252707581
191.0,-65.50338447653431
192.0,-65.31836642599278
193.0,-65.13334837545126
194.0,-64.94833032490975
195.0,-64.76331227436823
196.0,-64.57829422382672
197.0,-64.3932761732852
198.0,-64.20825812274367
199.0,-64.02324007220217
200.0,-63.83822202166065
201.0,-63.65320397111914
202.0,-63.46818592057762
203.0,-63.28316787003611
204.0,-63.09814981949459
205.0,-62.91313176895308
206.0,-62.72811371841156
207.0,-62.543095667870034
208.0,-62.358077617328526
209.0,-62.16750902527076
210.0,-61.84927797833935
211.0,-61.47924187725632
212.0,-61.10920577617329
213.0,-60.73916967509025
214.0,-60.36913357400722
215.0,-59.99909747292419
216.0,-59.62906137184116
