Time(sec),A3TDR6MXS6UO5
134.0,-42.98498861939841
135.0,-42.70492792285664
136.0,-42.42486722631488
137.0,-42.14480652977311
138.0,-41.864745833231346
139.0,-41.584685136689586
140.0,-41.30462444014782
141.0,-41.02456374360605
142.0,-40.744503047064285
143.0,-40.464442350522525
144.0,-40.18438165398076
145.0,-39.90432095743899
146.0,-39.62426026089722
147.0,-39.34419956435546
148.0,-39.064138867813696
149.0,-38.78407817127193
150.0,-38.50401747473016
151.0,-38.223956778188395
152.0,-37.94389608164663
153.0,-37.66383538510486
154.0,-37.38377468856309
155.0,-37.10371399202133
156.0,-36.823653295479566
157.0,-36.5435925989378
158.0,-36.26353190239604
159.0,-35.98347120585427
160.0,-35.703410509312505
161.0,-35.42334981277074
162.0,-35.14328911622898
163.0,-34.86322841968721
164.0,-34.58316772314544
165.0,-34.303107026603676
166.0,-34.023046330061916
167.0,-33.74298563352015
168.0,-33.46292493697838
169.0,-33.182864240436615
170.0,-32.90280354389485
171.0,-32.62274284735308
172.0,-32.342682150811314
173.0,-32.062621454269554
174.0,-31.782560757727786
175.0,-31.50250006118602
176.0,-31.222439364644252
177.0,-30.942378668102492
178.0,-30.662317971560725
179.0,-30.382257275018958
180.0,-30.10219657847719
181.0,-29.82213588193543
182.0,-29.542075185393664
183.0,-29.262014488851896
184.0,-28.98195379231013
185.0,-28.701893095768366
186.0,-28.4218323992266
187.0,-28.14177170268483
188.0,-27.86171100614307
189.0,-27.581650309601304
190.0,-27.301589613059537
191.0,-27.02152891651777
192.0,-26.741468219976007
193.0,-26.46140752343424
194.0,-26.181346826892472
195.0,-25.901286130350705
196.0,-25.621225433808945
197.0,-25.341164737267178
198.0,-25.06110404072541
199.0,-24.781043344183647
200.0,-24.500982647641884
201.0,-24.220921951100117
202.0,-23.94086125455835
203.0,-23.660800558016582
204.0,-23.38073986147482
205.0,-23.10067916493305
206.0,-22.820618468391288
207.0,-22.54055777184952
208.0,-22.260497075307757
209.0,-21.98043637876599
210.0,-21.700375682224227
211.0,-21.42031498568246
212.0,-21.140254289140692
213.0,-20.860193592598925
214.0,-20.58013289605716
215.0,-20.300072199515398
216.0,-20.02001150297363
217.0,-19.739950806431864
218.0,-19.4598901098901
219.0,-19.179829413348337
