Time(sec),A1NRY8F9U4AYE
148.0,0.5175438596491198
149.0,1.1608187134502899
150.0,1.8040935672514586
151.0,2.4473684210526288
152.0,3.090643274853798
153.0,3.7339181286549676
154.0,4.377192982456137
155.0,5.020467836257307
156.0,5.663742690058476
157.0,6.307017543859645
158.0,6.9502923976608155
159.0,7.593567251461986
160.0,8.236842105263154
161.0,8.880116959064324
162.0,9.523391812865494
163.0,10.166666666666663
164.0,10.809941520467834
165.0,11.453216374269001
166.0,12.096491228070171
167.0,12.739766081871341
168.0,13.383040935672511
169.0,14.02631578947368
170.0,14.66959064327485
171.0,15.312865497076022
172.0,15.956140350877188
173.0,16.59941520467836
174.0,17.242690058479532
175.0,17.885964912280695
176.0,18.529239766081865
177.0,19.17251461988304
178.0,19.81578947368421
179.0,20.459064327485372
180.0,21.102339181286546
181.0,21.745614035087716
182.0,22.388888888888886
183.0,23.032163742690052
184.0,23.675438596491226
185.0,24.318713450292393
186.0,24.961988304093563
187.0,25.605263157894733
188.0,26.248538011695906
189.0,26.89181286549707
190.0,27.53508771929824
191.0,28.178362573099413
192.0,28.821637426900576
193.0,29.464912280701746
194.0,30.10818713450292
195.0,30.75146198830409
196.0,31.39473684210526
197.0,32.03801169590643
198.0,32.68128654970759
199.0,33.32456140350877
200.0,33.96783625730994
201.0,34.61111111111111
202.0,35.254385964912274
203.0,35.89766081871345
204.0,36.540935672514614
205.0,37.18421052631579
206.0,37.827485380116954
207.0,38.47076023391812
208.0,39.114035087719294
209.0,39.75730994152046
210.0,40.40058479532163
211.0,41.0438596491228
212.0,41.68713450292397
213.0,42.33040935672514
214.0,42.973684210526315
215.0,43.616959064327474
216.0,44.260233918128655
217.0,44.90350877192982
218.0,45.54678362573099
219.0,46.19005847953216
220.0,46.83333333333333
221.0,47.476608187134495
222.0,48.11988304093567
223.0,48.763157894736835
224.0,49.406432748538
225.0,50.049707602339176
226.0,50.69298245614034
227.0,51.336257309941516
228.0,51.97953216374268
229.0,52.622807017543856
230.0,53.26608187134502
231.0,53.90935672514619
232.0,54.55263157894736
233.0,55.19590643274853
234.0,55.8391812865497
235.0,56.48245614035087
236.0,57.125730994152036
237.0,57.76900584795321
