,AXKVHJHF1EOVT,AQNCH42WD4ITI,A1XY2JMPVJCF4,A93LDI16XJWI8
169389,-72.0,-91.0,-92.0,-64.8
169392,-72.0,-91.0,-92.0,-64.4
169393,-72.0,-91.0,-91.83333333333333,-64.0
169395,-72.0,-91.0,-91.66666666666667,-64.0
169396,-72.0,-91.0,-91.5,-63.8
169399,-72.0,-91.0,-91.33333333333333,-63.6
169402,-71.9,-91.0,-91.16666666666667,-63.4
169407,-71.8,-91.0,-91.0,-63.2
169411,-71.7,-91.0,-91.0,-63.0
169414,-71.6,-91.0,-91.0,-63.0
169416,-71.5,-91.0,-91.0,-62.666666666666664
169419,-71.4,-91.0,-91.0,-62.333333333333336
169430,-71.3,-91.0,-91.0,-62.0
169431,-71.2,-91.0,-91.0,-62.0
169432,-71.1,-91.0,-91.0,-62.0
169433,-71.0,-91.0,-91.0,-62.0
169435,-71.0,-91.0,-91.0,-61.666666666666664
169445,-71.0,-91.0,-91.0,-61.333333333333336
169448,-71.0,-91.0,-91.0,-61.0
169449,-71.0,-91.0,-91.0,-61.0
169450,-71.0,-91.0,-91.0,-61.0
169452,-71.0,-91.0,-91.0,-60.333333333333336
169464,-71.0,-91.0,-91.0,-59.666666666666664
169466,-71.0,-91.0,-91.0,-59.0
169468,-71.0,-91.0,-91.0,-59.0
169469,-70.8,-91.0,-91.0,-58.5
169482,-70.6,-91.0,-91.0,-58.0
169485,-70.4,-91.0,-91.0,-58.0
169486,-70.2,-91.0,-91.0,-58.0
169490,-70.0,-91.0,-91.0,-57.666666666666664
169497,-70.0,-91.0,-91.0,-57.333333333333336
169500,-70.0,-91.0,-91.0,-57.0
169501,-70.0,-91.0,-91.0,-57.0
169503,-70.0,-91.0,-91.0,-57.0
169504,-70.0,-91.0,-91.0,-56.8
169507,-69.875,-91.0,-91.0,-56.6
169515,-69.75,-91.0,-90.8,-56.4
169516,-69.625,-91.0,-90.6,-56.2
169519,-69.5,-91.0,-90.4,-56.0
169521,-69.375,-91.0,-90.2,-56.0
169525,-69.25,-91.0,-90.0,-55.833333333333336
169527,-69.125,-91.0,-90.0,-55.666666666666664
169531,-69.0,-91.0,-89.85714285714286,-55.5
169533,-69.0,-91.0,-89.71428571428571,-55.333333333333336
169535,-69.0,-91.0,-89.57142857142857,-55.166666666666664
169536,-69.0,-91.0,-89.42857142857143,-55.0
169538,-69.0,-91.0,-89.28571428571429,-55.0
169539,-68.88888888888889,-91.0,-89.14285714285714,-55.0
169540,-68.77777777777777,-91.0,-89.0,-54.666666666666664
169543,-68.66666666666667,-91.0,-89.0,-54.333333333333336
169544,-68.55555555555556,-91.0,-88.85714285714286,-54.0
169546,-68.44444444444444,-91.0,-88.71428571428571,-54.0
169549,-68.33333333333333,-91.0,-88.57142857142857,-53.857142857142854
169550,-68.22222222222223,-91.0,-88.42857142857143,-53.714285714285715
169554,-68.11111111111111,-91.0,-88.28571428571429,-53.57142857142857
169557,-68.0,-91.0,-88.14285714285714,-53.42857142857143
169558,-68.0,-91.0,-88.0,-53.285714285714285
169560,-68.0,-91.0,-88.0,-53.142857142857146
169563,-68.0,-91.0,-87.75,-53.0
169566,-68.0,-91.0,-87.5,-53.0
169571,-68.0,-91.0,-87.25,-53.0
169575,-68.0,-91.0,-87.0,-53.0
169577,-68.0,-91.0,-87.0,-53.0
169582,-68.0,-91.0,-86.66666666666667,-53.0
