,AU2980AA60A2C,AF8GOPFSTWCH8
200494,-100.0,-100.0
200514,-100.0,-100.0
200544,-100.0,-100.0
200579,-100.0,-100.0
200612,-100.0,-100.0
200944,-100.0,-100.0
200964,-100.0,-100.0
200995,-100.0,-100.0
201030,-100.0,-100.0
205827,-100.0,-100.0
205848,-100.0,-100.0
205878,-100.0,-100.0
205911,-100.0,-100.0
205929,-100.0,-100.0
205961,-100.0,-100.0
205995,-100.0,-100.0
206028,-100.0,-100.0
206044,-100.0,-100.0
208227,-100.0,-100.0
208243,-100.0,-100.0
208260,-100.0,-100.0
208277,-100.0,-100.0
208293,-100.0,-100.0
208310,-100.0,-100.0
208326,-100.0,-100.0
208343,-100.0,-100.0
208361,-100.0,-100.0
211210,-100.0,-100.0
211228,-100.0,-100.0
211243,-100.0,-100.0
211260,-100.0,-100.0
211277,-100.0,-100.0
211293,-100.0,-100.0
211310,-100.0,-100.0
211326,-100.0,-100.0
211343,-100.0,-100.0
211643,-100.0,-100.0
211660,-100.0,-100.0
219710,-100.0,-100.0
219729,-100.0,-100.0
219743,-100.0,-100.0
219760,-100.0,-100.0
219776,-100.0,-100.0
219793,-100.0,-100.0
219810,-100.0,-100.0
219827,-100.0,-100.0
219843,-100.0,-100.0
219860,-100.0,-100.0
219876,-100.0,-100.0
219894,-100.0,-100.0
221593,-100.0,-100.0
221610,-100.0,-100.0
221626,-100.0,-100.0
221643,-100.0,-100.0
221660,-100.0,-100.0
221676,-100.0,-100.0
221693,-100.0,-100.0
221710,-100.0,-100.0
221726,-100.0,-100.0
221743,-100.0,-100.0
221760,-100.0,-100.0
221776,-100.0,-100.0
274507,-100.0,-100.0
274527,-100.0,-100.0
274557,-100.0,-100.0
274576,-100.0,-100.0
274608,-100.0,-100.0
274625,-100.0,-100.0
274741,-100.0,-100.0
274760,-100.0,-100.0
274790,-100.0,-100.0
274810,-100.0,-100.0
274826,-100.0,-100.0
274924,-100.0,-100.0
274943,-100.0,-100.0
274974,-100.0,-100.0
274990,-100.0,-100.0
275008,-100.0,-100.0
275012,-100.0,-100.0
275026,-100.0,-100.0
275028,-100.0,-100.0
275033,-100.0,-100.0
275043,-100.0,-100.0
275045,-100.0,-100.0
275057,-100.0,-100.0
275060,-100.0,-100.0
275074,-100.0,-100.0
275076,-100.0,-100.0
275089,-100.0,-100.0
275091,-100.0,-100.0
275103,-100.0,-100.0
275105,-100.0,-100.0
275118,-100.0,-100.0
275121,-100.0,-100.0
275135,-100.0,-100.0
275137,-100.0,-100.0
275161,-100.0,-100.0
275163,-100.0,-100.0
275175,-100.0,-100.0
275177,-100.0,-100.0
275192,-100.0,-100.0
275206,-100.0,-100.0
275208,-100.0,-100.0
275221,-100.0,-100.0
275758,-100.0,-100.0
275776,-100.0,-100.0
275807,-100.0,-100.0
275824,-100.0,-100.0
275857,-100.0,-100.0
275874,-100.0,-100.0
275891,-100.0,-100.0
275924,-100.0,-100.0
275940,-100.0,-100.0
275958,-100.0,-100.0
275976,-100.0,-100.0
275991,-100.0,-100.0
276025,-100.0,-100.0
276040,-100.0,-100.0
276041,-100.0,-100.0
276042,-100.0,-100.0
276053,-100.0,-100.0
276056,-100.0,-100.0
276078,-100.0,-100.0
276080,-100.0,-100.0
276094,-100.0,-100.0
276097,-100.0,-100.0
276111,-100.0,-100.0
276113,-100.0,-100.0
276124,-100.0,-100.0
276126,-100.0,-100.0
276141,-100.0,-100.0
276143,-100.0,-100.0
276156,-100.0,-100.0
276158,-100.0,-100.0
276172,-100.0,-100.0
276174,-100.0,-100.0
276196,-100.0,-100.0
276198,-100.0,-100.0
276213,-100.0,-100.0
276215,-100.0,-100.0
276229,-100.0,-100.0
276231,-100.0,-100.0
276242,-100.0,-100.0
355020,-100.0,-100.0
355039,-100.0,-100.0
355071,-100.0,-100.0
355103,-100.0,-100.0
355119,-100.0,-100.0
355139,-100.0,-100.0
355238,-100.0,-100.0
355273,-100.0,-100.0
355302,-100.0,-100.0
355321,-100.0,-100.0
355353,-100.0,-100.0
355687,-100.0,-100.0
355704,-100.0,-100.0
355736,-100.0,-100.0
355754,-100.0,-100.0
355770,-100.0,-100.0
355789,-100.0,-100.0
355821,-100.0,-100.0
355853,-100.0,-100.0
355870,-100.0,-100.0
355903,-100.0,-100.0
355919,-100.0,-100.0
393094,-100.0,-100.0
393111,-100.0,-100.0
393128,-100.0,-100.0
393144,-100.0,-100.0
393161,-100.0,-100.0
393178,-100.0,-100.0
393194,-100.0,-100.0
393211,-100.0,-100.0
393228,-100.0,-100.0
393244,-100.0,-100.0
393261,-100.0,-100.0
393278,-100.0,-100.0
393294,-100.0,-100.0
393544,-100.0,-100.0
393561,-100.0,-100.0
