,A29R1LR84VSJU,A1UH47OTAH2RT,A2JNCB317KX86,A1EUJEHDI66UT
27213,,91.0,,
27222,,90.0,,
27250,,90.0,,
27266,,89.0,,
27296,,89.0,,
27319,,88.0,,
27343,,88.0,,
27353,,87.0,,
27377,,87.0,,
27386,,86.0,,
27393,,86.0,,
27403,,85.0,,
27438,,85.0,,
27446,,84.0,,
27473,,84.0,,
27481,,83.0,,
27504,,83.0,,
27513,,82.0,,
27521,,82.0,,
27530,,81.0,,
27538,,81.0,,
27547,,80.0,,
27555,,80.0,,
27566,,79.0,,
27577,,79.0,,
27587,,78.0,,
27594,,78.0,,
27605,,77.0,,
27647,,77.0,,
27658,,76.0,,
27681,,76.0,,
27696,,75.0,,
27719,,75.0,,
27729,,74.0,,
27754,,74.0,,
27763,,73.0,,
27771,,73.0,,
27815,,72.0,,
27823,,72.0,,
27832,,71.0,,
27856,,71.0,,
27883,,70.0,,
27910,,70.0,,
27922,,69.0,,
27943,,69.0,,
27958,,68.0,,
27966,,68.0,,
27976,,67.0,,
27997,,67.0,,
28011,,66.0,,
28055,,66.0,,
28064,,65.0,,
28094,,65.0,,
28105,,64.0,,
28115,,64.0,,
28124,,63.0,,
28147,,63.0,,
28160,,62.0,,
28184,,62.0,,
28198,,61.0,,
28221,,61.0,,
28234,,60.0,,
28256,,60.0,,
28264,,59.0,,
28305,,59.0,,
28317,,58.0,,
28358,,58.0,,
28367,,57.0,,
28389,,57.0,,
28399,,56.0,,
28412,,56.0,,
28434,,55.0,,
28461,,55.0,,
28472,,54.0,,
28498,,54.0,,
28506,,53.0,,
28513,,53.0,,
28522,,52.0,,
28529,,52.0,,
28539,,51.0,,
28547,,51.0,,
28561,,50.0,,
28585,,50.0,,
28594,,49.0,,
28601,,49.0,,
28602,,49.0,,
28619,,49.0,,
28636,,49.0,,
28643,,49.0,,
28650,,48.0,,
28652,,48.0,,
28669,,48.0,,
28672,,48.0,,
28679,,47.0,,
28686,,47.0,,
28699,,46.0,,
28702,,46.0,,
28708,,46.0,,
28716,,45.0,,
28719,,45.0,,
28724,,45.0,,
28736,,44.0,,
28748,,44.0,,
28753,,43.5,,
28758,,43.0,,
28764,,43.0,,
28769,,42.5,,
28772,,42.0,,
28779,,42.0,,
28786,,41.5,,
28789,,41.0,,
28803,,41.0,,
28815,,41.0,,
28819,,40.5,,
28828,,40.0,,
28836,,40.0,,
28846,,40.0,,
28854,,39.5,,
28857,,39.0,,
28866,,39.0,,
28870,,38.5,,
28875,,38.0,,
28886,,38.0,,
28897,,38.0,,
28903,,37.5,,
28907,,37.0,,
28913,,37.0,,
28920,,36.5,,
28923,,36.0,,
28930,,36.0,,
28935,,35.0,,
28936,,,,
28953,,,,
28970,,,,
28987,,,,
29003,,,,
29020,,,,
29037,,,,
29053,,,,
29071,,,,
29087,,,,
29104,,,,
29121,,,,
29137,,,,
29154,,,,
29171,,,,
29187,,,,
29204,,,,
29221,,,,
29237,,,,
29254,,,,
29271,,,,
29288,,,,
29304,,,,
29321,,,,
29338,,,,
29354,,,,
29371,,,,
29388,,,,
29405,,,,
29421,,,,
29438,,,,
29455,,,,
29472,,,,
29488,,,,
29505,,,,
29522,,,,
29538,,,,
29555,,,,
29572,,,,
29589,,,,
29605,,,,
29622,,,,
29640,,,,
29656,,,,
29672,,,,
29689,,,,
29706,,,,
29722,,,,
29739,,,,
29756,,,,
29772,,,,
29789,,,,
29806,,,,
29823,,,,
29839,,,,
29856,,,,
29873,,,,
29889,,,,
