,A1NRY8F9U4AYE,A3QI1RV4HQ9MO,A2Q3SM0KEI497
89583,,,-100.0
89623,,,-100.0
89658,,,-100.0
89674,,,-100.0
89705,,,-100.0
89713,,,-100.0
89735,,,-100.0
89736,,,-100.0
89747,,,-100.0
89825,,,-100.0
89828,,,-100.0
89838,,,-100.0
89845,,,-100.0
89869,,,-100.0
89882,,,-100.0
89911,,,-100.0
89987,,,-100.0
90097,,,-100.0
90108,,,-100.0
90191,,,-100.0
90247,,,-100.0
90324,,,-100.0
90386,,,-100.0
90425,,,-100.0
90481,,,-100.0
90522,,,-100.0
91808,,,-100.0
91828,,,-100.0
91833,,,-100.0
91859,,,-100.0
91861,,,-100.0
91871,,,-100.0
91913,,,-100.0
91916,,,-100.0
91926,,,-100.0
91955,,,-100.0
91990,,,-100.0
92019,,,-100.0
92025,,,-100.0
92041,,,-100.0
92060,,,-100.0
92078,,,-100.0
92088,,,-100.0
92100,,,-100.0
92113,,,-100.0
92137,,,-100.0
92155,,,-100.0
92188,,,-100.0
92189,,,-100.0
92224,,,-100.0
92234,,,-100.0
92242,,,-100.0
92266,,,-100.0
92276,,,-100.0
92312,,,-100.0
92329,,,-100.0
92350,,,-100.0
92353,,,-100.0
92364,,,-100.0
92380,,,-100.0
92389,,,-100.0
92402,,,-100.0
92406,,,-100.0
92431,,,-100.0
92442,,,-100.0
92446,,,-100.0
92457,,,-100.0
92471,,,-100.0
92476,,,-100.0
92483,,,-100.0
92493,,,-100.0
92494,,,-100.0
92504,,,-100.0
92513,,,-100.0
92520,,,-100.0
92530,,,-100.0
92531,,,-100.0
92543,,,-100.0
92547,,,-100.0
92553,,,-100.0
92564,,,-100.0
92571,,,-100.0
92582,,,-100.0
92588,,,-100.0
92595,,,-100.0
92607,,,-100.0
92621,,,-100.0
92623,,,-100.0
92635,,,-100.0
92641,,,-100.0
92658,,,-100.0
92664,,,-100.0
92676,,,-100.0
92680,,,-100.0
92694,,,-100.0
92704,,,-100.0
92711,,,-100.0
92718,,,-100.0
92730,,,-100.0
92745,,,-100.0
92746,,,-100.0
92759,,,-100.0
92764,,,-100.0
92768,,,-100.0
92770,,,-100.0
92783,,,-100.0
92788,,,-100.0
92806,,,-100.0
92811,,,-100.0
92822,,,-100.0
92823,,,-100.0
92840,,,-100.0
92852,,,-100.0
92858,,,-100.0
92870,,,-100.0
92875,,,-100.0
92893,,,-100.0
92917,,,-100.0
92923,,,-100.0
92936,,,-100.0
92950,,,-100.0
92967,,,-100.0
92986,,,-100.0
92989,,,-100.0
92997,,,-100.0
93005,,,-100.0
93008,,,-100.0
