,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
237402,-100.0,-100.0,-81.0
237418,-100.0,-100.0,-81.0
237435,-100.0,-100.0,-81.0
237451,-100.0,-100.0,-81.0
237468,-100.0,-100.0,-81.0
237483,-100.0,-100.0,-81.0
237485,-100.0,-100.0,-81.5
237500,-100.0,-100.0,-82.0
237502,-100.0,-100.0,-82.5
237516,-100.0,-100.0,-83.0
237518,-100.0,-100.0,-83.5
237533,-100.0,-100.0,-84.0
237535,-100.0,-100.0,-84.5
237550,-100.0,-100.0,-85.0
237551,-100.0,-100.0,-85.5
237567,-100.0,-100.0,-86.0
237568,-100.0,-100.0,-86.5
237583,-100.0,-100.0,-87.0
237585,-100.0,-100.0,-87.5
237600,-100.0,-100.0,-88.0
237601,-100.0,-100.0,-88.5
237617,-100.0,-100.0,-89.0
237618,-100.0,-100.0,-89.5
237633,-100.0,-100.0,-90.0
237635,-100.0,-100.0,-91.0
237650,-100.0,-100.0,-92.0
237652,-100.0,-100.0,-92.5
237667,-100.0,-100.0,-93.0
237668,-100.0,-100.0,-93.5
237683,-100.0,-100.0,-94.0
237685,-100.0,-100.0,-94.5
237700,-100.0,-100.0,-95.0
237701,-100.0,-100.0,-95.5
237717,-100.0,-100.0,-96.0
237718,-100.0,-100.0,-96.5
237733,-100.0,-100.0,-97.0
237735,-100.0,-100.0,-97.33333333333333
237742,-100.0,-100.0,-97.66666666666667
237750,-100.0,-100.0,-98.0
237752,-100.0,-100.0,-98.5
237767,-100.0,-100.0,-99.0
237768,-100.0,-100.0,-99.5
237783,-100.0,-100.0,-100.0
237785,-100.0,-100.0,-100.0
237802,-100.0,-100.0,-100.0
237818,-100.0,-100.0,-100.0
237823,-100.0,-100.0,-100.0
237835,-100.0,-100.0,-100.0
237852,-100.0,-100.0,-100.0
237864,-100.0,-100.0,-100.0
237868,-100.0,-100.0,-100.0
237885,-100.0,-100.0,-100.0
237902,-100.0,-100.0,-100.0
237918,-100.0,-100.0,-100.0
237935,-100.0,-100.0,-100.0
237951,-100.0,-100.0,-100.0
237968,-100.0,-100.0,-100.0
237985,-100.0,-100.0,-100.0
238002,-100.0,-100.0,-100.0
238018,-100.0,-100.0,-100.0
238035,-100.0,-100.0,-100.0
238052,-100.0,-100.0,-100.0
238068,-100.0,-100.0,-100.0
238085,-100.0,-100.0,-100.0
238102,-100.0,-100.0,-100.0
238118,-100.0,-100.0,-100.0
238135,-100.0,-100.0,-100.0
238143,-100.0,-100.0,-100.0
238151,-100.0,-100.0,-100.0
238161,-100.0,-100.0,-100.0
238168,-100.0,-100.0,-100.0
238185,-100.0,-100.0,-100.0
238193,-100.0,-100.0,-100.0
238201,-100.0,-100.0,-100.0
238210,-100.0,-100.0,-100.0
238218,-100.0,-100.0,-100.0
238227,-100.0,-100.0,-100.0
238235,-100.0,-100.0,-100.0
238243,-100.0,-100.0,-100.0
238252,-100.0,-100.0,-100.0
238260,-100.0,-100.0,-100.0
238268,-100.0,-100.0,-100.0
238277,-100.0,-100.0,-100.0
238285,-100.0,-100.0,-100.0
238293,-100.0,-100.0,-100.0
238302,-100.0,-100.0,-100.0
238311,-100.0,-100.0,-100.0
238318,-100.0,-100.0,-100.0
238326,-100.0,-100.0,-100.0
238335,-100.0,-100.0,-100.0
238343,-100.0,-100.0,-100.0
238351,-100.0,-100.0,-100.0
238360,-100.0,-100.0,-100.0
238368,-100.0,-100.0,-100.0
238377,-100.0,-100.0,-100.0
238393,-100.0,-100.0,-100.0
238409,-100.0,-100.0,-100.0
238426,-100.0,-100.0,-100.0
238443,-100.0,-100.0,-100.0
238459,-100.0,-100.0,-100.0
238476,-100.0,-100.0,-100.0
238493,-100.0,-100.0,-100.0
238509,-100.0,-100.0,-100.0
238526,-100.0,-100.0,-100.0
238543,-100.0,-100.0,-100.0
238560,-100.0,-100.0,-100.0
238576,-100.0,-100.0,-100.0
238593,-100.0,-100.0,-100.0
238610,-100.0,-100.0,-100.0
239310,-100.0,-100.0,-100.0
239327,-100.0,-100.0,-100.0
239343,-100.0,-100.0,-100.0
239360,-100.0,-100.0,-100.0
239376,-100.0,-100.0,-100.0
239393,-100.0,-100.0,-100.0
239410,-100.0,-100.0,-100.0
