,AUOV735LIDVBE,A1NJP8CPZQER4,A4FNENGCDFSOG,AF8GOPFSTWCH8
27492,-100.0,-100.0,-100.0,-100.0
27511,-100.0,-100.0,-100.0,-100.0
27522,-100.0,-100.0,-100.0,-100.0
27548,-100.0,-100.0,-100.0,-100.0
27562,-100.0,-100.0,-100.0,-100.0
27578,-100.0,-100.0,-100.0,-100.0
27587,-100.0,-100.0,-100.0,-100.0
27615,-100.0,-100.0,-100.0,-100.0
27618,-100.0,-100.0,-100.0,-100.0
27639,-100.0,-100.0,-100.0,-100.0
27647,-100.0,-100.0,-100.0,-100.0
27676,-100.0,-100.0,-100.0,-100.0
27687,-100.0,-100.0,-100.0,-100.0
27694,-100.0,-100.0,-100.0,-100.0
27705,-100.0,-100.0,-100.0,-100.0
27713,-100.0,-100.0,-100.0,-100.0
27756,-100.0,-100.0,-100.0,-100.0
27781,-100.0,-100.0,-100.0,-100.0
27794,-100.0,-100.0,-100.0,-100.0
27807,-100.0,-100.0,-100.0,-100.0
27822,-100.0,-100.0,-100.0,-100.0
27837,-100.0,-100.0,-100.0,-100.0
27850,-100.0,-100.0,-100.0,-100.0
27858,-100.0,-100.0,-100.0,-100.0
27868,-100.0,-100.0,-100.0,-100.0
27880,-100.0,-100.0,-100.0,-100.0
27893,-100.0,-100.0,-100.0,-100.0
27905,-100.0,-100.0,-100.0,-100.0
27918,-100.0,-100.0,-100.0,-100.0
27928,-100.0,-100.0,-100.0,-100.0
27943,-100.0,-100.0,-100.0,-100.0
27952,-100.0,-100.0,-100.0,-100.0
27961,-100.0,-100.0,-100.0,-100.0
27969,-100.0,-100.0,-100.0,-100.0
28015,-100.0,-100.0,-100.0,-100.0
28020,-100.0,-100.0,-100.0,-100.0
28035,-100.0,-100.0,-100.0,-100.0
28037,-100.0,-100.0,-100.0,-100.0
28089,-100.0,-100.0,-100.0,-100.0
28096,-100.0,-100.0,-100.0,-100.0
28123,-100.0,-100.0,-100.0,-100.0
28139,-100.0,-100.0,-100.0,-100.0
28168,-100.0,-100.0,-100.0,-100.0
28193,-100.0,-100.0,-100.0,-100.0
28202,-100.0,-100.0,-100.0,-100.0
28212,-100.0,-100.0,-100.0,-100.0
28261,-100.0,-100.0,-100.0,-100.0
28267,-100.0,-100.0,-100.0,-100.0
28268,-100.0,-100.0,-100.0,-100.0
28274,-100.0,-100.0,-100.0,-100.0
28294,-100.0,-100.0,-100.0,-100.0
28305,-100.0,-100.0,-100.0,-100.0
28351,-100.0,-100.0,-100.0,-100.0
28357,-100.0,-100.0,-100.0,-100.0
28374,-100.0,-100.0,-100.0,-100.0
28381,-100.0,-100.0,-100.0,-100.0
28426,-100.0,-100.0,-100.0,-100.0
28435,-100.0,-100.0,-100.0,-100.0
28472,-100.0,-100.0,-100.0,-100.0
28486,-100.0,-100.0,-100.0,-100.0
28529,-100.0,-100.0,-100.0,-100.0
28536,-100.0,-100.0,-100.0,-100.0
28595,-100.0,-100.0,-100.0,-100.0
28603,-100.0,-100.0,-100.0,-100.0
28625,-100.0,-100.0,-100.0,-100.0
28630,-100.0,-100.0,-100.0,-100.0
28676,-100.0,-100.0,-100.0,-100.0
28683,-100.0,-100.0,-100.0,-100.0
28696,-100.0,-100.0,-100.0,-100.0
28702,-100.0,-100.0,-100.0,-100.0
28755,-100.0,-100.0,-100.0,-100.0
28762,-100.0,-100.0,-100.0,-100.0
28784,-100.0,-100.0,-100.0,-100.0
28790,-100.0,-100.0,-100.0,-100.0
28846,-100.0,-100.0,-100.0,-100.0
28851,-100.0,-100.0,-100.0,-100.0
28869,-100.0,-100.0,-100.0,-100.0
28877,-100.0,-100.0,-100.0,-100.0
28893,-100.0,-100.0,-100.0,-100.0
28905,-100.0,-100.0,-100.0,-100.0
28917,-100.0,-100.0,-100.0,-100.0
28942,-100.0,-100.0,-100.0,-100.0
28993,-100.0,-100.0,-100.0,-100.0
29034,-100.0,-100.0,-100.0,-100.0
29107,-100.0,-100.0,-100.0,-100.0
29119,-100.0,-100.0,-100.0,-100.0
29136,-100.0,-100.0,-100.0,-100.0
29144,-100.0,-100.0,-100.0,-100.0
29204,-100.0,-100.0,-100.0,-100.0
29213,-100.0,-100.0,-100.0,-100.0
29279,-100.0,-100.0,-100.0,-100.0
29291,-100.0,-100.0,-100.0,-100.0
29373,-100.0,-100.0,-100.0,-100.0
29383,-100.0,-100.0,-100.0,-100.0
29440,-100.0,-100.0,-100.0,-100.0
29449,-100.0,-100.0,-100.0,-100.0
29513,-100.0,-100.0,-100.0,-100.0
29523,-100.0,-100.0,-100.0,-100.0
29806,-100.0,-100.0,-100.0,-100.0
29824,-100.0,-100.0,-100.0,-100.0
29859,-100.0,-100.0,-100.0,-100.0
29870,-100.0,-100.0,-100.0,-100.0
29898,-100.0,-100.0,-100.0,-100.0
29911,-100.0,-100.0,-100.0,-100.0
30040,-100.0,-100.0,-100.0,-100.0
30060,-100.0,-100.0,-100.0,-100.0
30063,-100.0,-100.0,-100.0,-100.0
30097,-100.0,-100.0,-100.0,-100.0
30106,-100.0,-100.0,-100.0,-100.0
30129,-100.0,-100.0,-100.0,-100.0
30130,-100.0,-100.0,-100.0,-100.0
30144,-100.0,-100.0,-100.0,-100.0
30176,-100.0,-100.0,-100.0,-100.0
30256,-100.0,-100.0,-100.0,-100.0
30299,-100.0,-100.0,-100.0,-100.0
30308,-100.0,-100.0,-100.0,-100.0
