,A3UTSRN8QLKWE,A3ST8XFT4X93K,A2YN6Z2DAW88X,A6PO7JT39QQGP
20328,-100.0,-100.0,-100.0,-82.0
20343,-100.0,-100.0,-100.0,-81.0
20368,-100.0,-100.0,-100.0,-81.0
20385,-100.0,-100.0,-100.0,-80.0
22243,-100.0,-100.0,-100.0,-80.0
22263,-100.0,-100.0,-100.0,-79.0
22314,-100.0,-100.0,-100.0,-79.0
22330,-100.0,-100.0,-100.0,-78.0
22347,-100.0,-100.0,-100.0,-76.0
22366,-100.0,-100.0,-100.0,-76.0
22384,-100.0,-100.0,-100.0,-75.0
22433,-100.0,-100.0,-100.0,-74.0
22867,-100.0,-100.0,-100.0,-74.0
22895,-100.0,-100.0,-100.0,-74.0
22957,-100.0,-100.0,-100.0,-74.0
22980,-100.0,-100.0,-100.0,-74.0
24462,-100.0,-100.0,-100.0,-74.0
24489,-100.0,-100.0,-100.0,-74.0
24540,-100.0,-100.0,-100.0,-74.0
24646,-100.0,-100.0,-100.0,-74.0
26671,-100.0,-100.0,-100.0,-74.0
26699,-100.0,-100.0,-100.0,-74.0
26747,-100.0,-100.0,-100.0,-74.0
26769,-100.0,-100.0,-100.0,-74.0
26830,-100.0,-100.0,-100.0,-74.0
26860,-100.0,-100.0,-100.0,-74.0
26922,-100.0,-100.0,-100.0,-74.0
26944,-100.0,-100.0,-100.0,-74.0
26949,-100.0,-100.0,-100.0,-74.0
26968,-100.0,-100.0,-100.0,-74.0
26976,-100.0,-100.0,-100.0,-74.0
26993,-100.0,-100.0,-100.0,-74.0
26995,-100.0,-100.0,-100.0,-74.0
26999,-100.0,-100.0,-100.0,-74.0
27018,-100.0,-100.0,-100.0,-74.0
27024,-100.0,-100.0,-100.0,-74.0
27027,-100.0,-100.0,-100.0,-74.0
27044,-100.0,-100.0,-100.0,-74.0
27052,-100.0,-100.0,-100.0,-74.0
27069,-100.0,-100.0,-100.0,-74.0
27073,-100.0,-100.0,-100.0,-74.0
27094,-100.0,-100.0,-100.0,-74.0
27098,-100.0,-100.0,-100.0,-74.0
27120,-100.0,-100.0,-100.0,-74.0
27184,-100.0,-100.0,-100.0,-74.0
27185,-100.0,-100.0,-100.0,-74.0
27190,-100.0,-100.0,-100.0,-74.0
27197,-100.0,-100.0,-100.0,-74.0
27207,-100.0,-100.0,-100.0,-74.0
27219,-100.0,-100.0,-100.0,-74.0
27226,-100.0,-100.0,-100.0,-74.0
27235,-100.0,-100.0,-100.0,-74.0
27244,-100.0,-100.0,-100.0,-74.0
27250,-100.0,-100.0,-100.0,-74.0
27269,-100.0,-100.0,-100.0,-74.0
27275,-100.0,-100.0,-100.0,-74.0
