,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A371SNJNNUY9Z,AN26GE0GN8DP0
41692,-100.0,-100.0,-100.0,-100.0
41724,-100.0,-100.0,-100.0,-100.0
41742,-100.0,-100.0,-100.0,-100.0
41759,-100.0,-100.0,-100.0,-100.0
41776,-100.0,-100.0,-100.0,-100.0
41794,-100.0,-100.0,-100.0,-100.0
41812,-100.0,-100.0,-100.0,-100.0
41829,-100.0,-100.0,-100.0,-100.0
41847,-100.0,-100.0,-100.0,-100.0
41863,-100.0,-100.0,-100.0,-100.0
41881,-100.0,-100.0,-100.0,-100.0
41888,-100.0,-100.0,-100.0,-100.0
41907,-100.0,-100.0,-100.0,-100.0
41924,-100.0,-100.0,-100.0,-100.0
41941,-100.0,-100.0,-100.0,-100.0
41959,-100.0,-100.0,-100.0,-100.0
41975,-100.0,-100.0,-100.0,-100.0
41994,-100.0,-100.0,-100.0,-100.0
42029,-100.0,-100.0,-100.0,-100.0
42046,-100.0,-100.0,-100.0,-100.0
42062,-100.0,-100.0,-100.0,-100.0
42081,-100.0,-100.0,-100.0,-100.0
42087,-100.0,-100.0,-100.0,-100.0
42105,-100.0,-100.0,-100.0,-100.0
42121,-100.0,-100.0,-100.0,-100.0
42140,-100.0,-100.0,-100.0,-100.0
42157,-100.0,-100.0,-100.0,-100.0
42175,-100.0,-100.0,-100.0,-100.0
42193,-100.0,-100.0,-100.0,-100.0
42211,-100.0,-100.0,-100.0,-100.0
42227,-100.0,-100.0,-100.0,-100.0
42245,-100.0,-100.0,-100.0,-100.0
42263,-100.0,-100.0,-100.0,-100.0
42280,-100.0,-100.0,-100.0,-100.0
42298,-100.0,-100.0,-100.0,-100.0
42315,-100.0,-100.0,-100.0,-100.0
42322,-100.0,-100.0,-100.0,-100.0
42340,-100.0,-100.0,-100.0,-100.0
42357,-100.0,-100.0,-100.0,-100.0
42374,-100.0,-100.0,-100.0,-100.0
42392,-100.0,-100.0,-100.0,-100.0
42409,-100.0,-100.0,-100.0,-100.0
42426,-100.0,-100.0,-100.0,-100.0
42445,-100.0,-100.0,-100.0,-100.0
42462,-100.0,-100.0,-100.0,-100.0
42479,-100.0,-100.0,-100.0,-100.0
42498,-100.0,-100.0,-100.0,-100.0
