,nan,A2Q3SM0KEI497
28712,,-100.0
28720,,-100.0
28763,,-100.0
28770,,-100.0
28832,,-100.0
28871,,-100.0
28914,,-100.0
28923,,-100.0
28960,,-100.0
28993,,-100.0
29001,,-100.0
29034,,-100.0
29049,,-100.0
29069,,-100.0
29138,,-100.0
29199,,-100.0
29246,,-100.0
29277,,-100.0
29300,,-100.0
29393,,-100.0
29434,,-100.0
29444,,-100.0
29481,,-100.0
29501,,-100.0
29533,,-100.0
29546,,-100.0
29578,,-100.0
29599,,-100.0
29624,,-100.0
29634,,-100.0
29670,,-100.0
29694,,-100.0
29712,,-100.0
29901,,-100.0
29915,,-100.0
29930,,-100.0
29981,,-100.0
29986,,-100.0
29995,,-100.0
30001,,-100.0
30016,,-100.0
30049,,-100.0
30066,,-100.0
30076,,-100.0
30258,,-100.0
30270,,-100.0
30285,,-100.0
30326,,-100.0
30336,,-100.0
30344,,-100.0
30376,,-100.0
30389,,-100.0
30407,,-100.0
30411,,-100.0
30444,,-100.0
30461,,-100.0
30496,,-100.0
30508,,-100.0
30537,,-100.0
30555,,-100.0
30614,,-100.0
30626,,-100.0
30649,,-100.0
30659,,-100.0
30681,,-100.0
30692,,-100.0
30712,,-100.0
30728,,-100.0
30730,,-100.0
30762,,-100.0
30789,,-100.0
30796,,-100.0
30837,,-100.0
30842,,-100.0
30885,,-100.0
30903,,-100.0
30911,,-100.0
30919,,-100.0
30946,,-100.0
30962,,-100.0
30972,,-100.0
31038,,-100.0
31049,,-100.0
31086,,-100.0
31091,,-100.0
31202,,-100.0
31293,,-100.0
31354,,-100.0
31366,,-100.0
31384,,-100.0
31416,,-100.0
31428,,-100.0
31468,,-100.0
32126,,-100.0
32146,,-100.0
32163,,-100.0
32182,,-100.0
32193,,-100.0
32219,,-100.0
32229,,-100.0
32242,,-100.0
32257,,-100.0
32276,,-100.0
32291,,-100.0
32308,,-100.0
32327,,-100.0
32354,,-100.0
32371,,-100.0
32397,,-100.0
32404,,-100.0
32420,,-100.0
32437,,-100.0
32456,,-100.0
32472,,-100.0
32490,,-100.0
32509,,-100.0
32524,,-100.0
32543,,-100.0
32560,,-100.0
32577,,-100.0
32596,,-100.0
32602,,-100.0
32619,,-100.0
32638,,-100.0
32646,,-100.0
32655,,-100.0
32669,,-100.0
32673,,-100.0
32689,,-100.0
32694,,-100.0
32708,,-100.0
32723,,-100.0
32728,,-100.0
32741,,-100.0
32760,,-100.0
32761,,-100.0
32776,,-100.0
32796,,-100.0
32811,,-100.0
32829,,-100.0
32837,,-100.0
32844,,-100.0
32854,,-100.0
32861,,-100.0
32872,,-100.0
32889,,-100.0
32894,,-100.0
32906,,-100.0
32924,,-100.0
32927,,-100.0
32944,,-100.0
32960,,-100.0
32980,,-100.0
32981,,-100.0
32998,,-100.0
33024,,-100.0
33028,,-100.0
33041,,-100.0
33060,,-100.0
33061,,-100.0
33070,,-100.0
33079,,-100.0
33089,,-100.0
33098,,-100.0
33107,,-100.0
33125,,-100.0
33129,,-100.0
33140,,-100.0
33152,,-100.0
33157,,-100.0
33176,,-100.0
33181,,-100.0
33199,,-100.0
33214,,-100.0
33227,,-100.0
33229,,-100.0
33246,,-100.0
33254,,-100.0
33260,,-100.0
33269,,-100.0
33286,,-100.0
33294,,-100.0
33297,,-100.0
33309,,-100.0
33322,,-100.0
33349,,-100.0
33364,,-100.0
33384,,-100.0
33393,,-100.0
33409,,-100.0
33429,,-100.0
33434,,-100.0
33441,,-100.0
33446,,-100.0
33453,,-100.0
33463,,-100.0
33470,,-100.0
33483,,-100.0
33486,,-100.0
33488,,-100.0
33504,,-100.0
33523,,-100.0
33541,,-100.0
33557,,-100.0
33573,,-100.0
33576,,-100.0
33596,,-100.0
33606,,-100.0
33612,,-100.0
33617,,-100.0
33626,,-100.0
33631,,-100.0
33643,,-100.0
33644,,-100.0
33660,,-100.0
33680,,-100.0
33686,,-100.0
33704,,-100.0
33721,,-100.0
33739,,-100.0
33757,,-100.0
33760,,-100.0
33775,,-100.0
33778,,-100.0
33792,,-100.0
33797,,-100.0
33809,,-100.0
33811,,-100.0
33825,,-100.0
33844,,-100.0
33861,,-100.0
33880,,-100.0
33885,,-100.0
33903,,-100.0
33911,,-100.0
33921,,-100.0
33936,,-100.0
33938,,-100.0
33956,,-100.0
33963,,-100.0
33974,,-100.0
33978,,-100.0
33990,,-100.0
34010,,-100.0
34025,,-100.0
34044,,-100.0
34059,,-100.0
34076,,-100.0
34078,,-100.0
34093,,-100.0
34097,,-100.0
34108,,-100.0
34112,,-100.0
34121,,-100.0
34126,,-100.0
34137,,-100.0
34155,,-100.0
34173,,-100.0
34192,,-100.0
34207,,-100.0
34209,,-100.0
34225,,-100.0
34228,,-100.0
34242,,-100.0
34244,,-100.0
34247,,-100.0
34257,,-100.0
34260,,-100.0
34277,,-100.0
34278,,-100.0
34296,,-100.0
34297,,-100.0
34312,,-100.0
34318,,-100.0
34337,,-100.0
34343,,-100.0
34353,,-100.0
34364,,-100.0
34365,,-100.0
34371,,-100.0
34373,,-100.0
34388,,-100.0
34392,,-100.0
34405,,-100.0
34407,,-100.0
34408,,-100.0
34425,,-100.0
34427,,-100.0
34442,,-100.0
34444,,-100.0
34450,,-100.0
34460,,-100.0
34472,,-100.0
34475,,-100.0
34478,,-100.0
34479,,-100.0
34496,,-100.0
34536,,-100.0
34556,,-100.0
34574,,-100.0
34594,,-100.0
34627,,-100.0
34629,,-100.0
34643,,-100.0
34644,,-100.0
34656,,-100.0
34673,,-100.0
34676,,-100.0
34761,,-100.0
34763,,-100.0
34781,,-100.0
34796,,-100.0
34802,,-100.0
34811,,-100.0
34826,,-100.0
34829,,-100.0
34844,,-100.0
34845,,-100.0
34880,,-100.0
34906,,-100.0
34926,,-100.0
34951,,-100.0
34966,,-100.0
34978,,-100.0
34986,,-100.0
34995,,-100.0
35011,,-100.0
35025,,-100.0
35046,,-100.0
35129,,-100.0
35147,,-100.0
35157,,-100.0
35165,,-100.0
35175,,-100.0
35196,,-100.0
35213,,-100.0
35295,,-100.0
35305,,-100.0
35315,,-100.0
35333,,-100.0
35346,,-100.0
35347,,-100.0
35366,,-100.0
35371,,-100.0
35381,,-100.0
35400,,-100.0
35426,,-100.0
35459,,-100.0
35474,,-100.0
35481,,-100.0
35499,,-100.0
35510,,-100.0
35523,,-100.0
35539,,-100.0
35544,,-100.0
35644,,-100.0
35662,,-100.0
35681,,-100.0
35693,,-100.0
35794,,-100.0
35813,,-100.0
35825,,-100.0
35844,,-100.0
35862,,-100.0
35881,,-100.0
35976,,-100.0
35997,,-100.0
36015,,-100.0
36026,,-100.0
36043,,-100.0
36145,,-100.0
36167,,-100.0
36182,,-100.0
36192,,-100.0
36212,,-100.0
36227,,-100.0
36326,,-100.0
36350,,-100.0
36365,,-100.0
36373,,-100.0
36397,,-100.0
36414,,-100.0
36629,,-100.0
36650,,-100.0
36665,,-100.0
36679,,-100.0
36698,,-100.0
36714,,-100.0
36733,,-100.0
36747,,-100.0
36764,,-100.0
36781,,-100.0
36795,,-100.0
38616,,-100.0
38617,,-100.0
38636,,-100.0
38681,,-100.0
38694,,-100.0
38709,,-100.0
38726,,-100.0
38747,,-100.0
38764,,-100.0
38787,,-100.0
38801,,-100.0
38818,,-100.0
38834,,-100.0
38851,,-100.0
38856,,-100.0
38875,,-100.0
38892,,-100.0
38908,,-100.0
38909,,-100.0
39216,,-100.0
39251,,-100.0
39271,,-100.0
39342,,-100.0
39450,,-100.0
39500,,-100.0
39569,,-100.0
39619,,-100.0
39636,,-100.0
39717,,-100.0
39756,,-100.0
39789,,-100.0
39821,,-100.0
39857,,-100.0
39870,,-100.0
39894,,-100.0
39929,,-100.0
39949,,-100.0
39974,,-100.0
40005,,-100.0
40036,,-100.0
40184,,-100.0
40253,,-100.0
40278,,-100.0
40288,,-100.0
40319,,-100.0
40331,,-100.0
40360,,-100.0
40460,,-100.0
40526,,-100.0
40542,,-100.0
40574,,-100.0
40588,,-100.0
40597,,-100.0
40599,,-100.0
40632,,-100.0
40648,,-100.0
40666,,-100.0
40706,,-100.0
40737,,-100.0
40775,,-100.0
40790,,-100.0
40824,,-100.0
41010,,-100.0
41074,,-100.0
41120,,-100.0
41139,,-100.0
41215,,-100.0
41429,,-100.0
41443,,-100.0
41463,,-100.0
41477,,-100.0
41542,,-100.0
41550,,-100.0
41592,,-100.0
41790,,-100.0
41832,,-100.0
41851,,-100.0
41878,,-100.0
41900,,-100.0
41969,,-100.0
41989,,-100.0
42179,,-100.0
42194,,-100.0
42219,,-100.0
42234,,-100.0
42257,,-100.0
42358,,-100.0
42435,,-100.0
42451,,-100.0
42484,,-100.0
42492,,-100.0
42522,,-100.0
42530,,-100.0
42545,,-100.0
42553,,-100.0
42615,,-100.0
42633,,-100.0
42655,,-100.0
42673,,-100.0
42696,,-100.0
42748,,-100.0
42764,,-100.0
42778,,-100.0
42792,,-100.0
42804,,-100.0
42821,,-100.0
42918,,-100.0
42937,,-100.0
42969,,-100.0
42985,,-100.0
43003,,-100.0
43019,,-100.0
43035,,-100.0
43051,,-100.0
43068,,-100.0
43105,,-100.0
43740,,-100.0
43789,,-100.0
43832,,-100.0
43865,,-100.0
43914,,-100.0
44041,,-100.0
44052,,-100.0
44110,,-100.0
