,AZSSG2REHDX18,A1NJP8CPZQER4,AU2980AA60A2C
37338,-100.0,-100.0,-100.0
37378,-100.0,-100.0,-100.0
37379,-100.0,-100.0,-100.0
37829,-100.0,-100.0,-100.0
37844,-100.0,-100.0,-100.0
37886,-100.0,-100.0,-100.0
37901,-100.0,-100.0,-100.0
37915,-100.0,-100.0,-100.0
37933,-100.0,-100.0,-100.0
37953,-100.0,-100.0,-100.0
38311,-100.0,-100.0,-100.0
38326,-100.0,-100.0,-100.0
38340,-100.0,-100.0,-100.0
38357,-100.0,-100.0,-100.0
38372,-100.0,-100.0,-100.0
38386,-100.0,-100.0,-100.0
38403,-100.0,-100.0,-100.0
38756,-100.0,-100.0,-100.0
38774,-100.0,-100.0,-100.0
38788,-100.0,-100.0,-100.0
38802,-100.0,-100.0,-100.0
38819,-100.0,-100.0,-100.0
38845,-100.0,-100.0,-100.0
38860,-100.0,-100.0,-100.0
40441,-100.0,-100.0,-100.0
40442,-100.0,-100.0,-100.0
40482,-100.0,-100.0,-100.0
68066,-100.0,-100.0,-100.0
68081,-100.0,-100.0,-100.0
68097,-100.0,-100.0,-100.0
68122,-100.0,-100.0,-100.0
68137,-100.0,-100.0,-100.0
68153,-100.0,-100.0,-100.0
68170,-100.0,-100.0,-100.0
68184,-100.0,-100.0,-100.0
68199,-100.0,-100.0,-100.0
68216,-100.0,-100.0,-100.0
68405,-100.0,-100.0,-100.0
68422,-100.0,-100.0,-100.0
68436,-100.0,-100.0,-100.0
68452,-100.0,-100.0,-100.0
68467,-100.0,-100.0,-100.0
68482,-100.0,-100.0,-100.0
68508,-100.0,-100.0,-100.0
68524,-100.0,-100.0,-100.0
68539,-100.0,-100.0,-100.0
68687,-100.0,-100.0,-100.0
68704,-100.0,-100.0,-100.0
68718,-100.0,-100.0,-100.0
68733,-100.0,-100.0,-100.0
68750,-100.0,-100.0,-100.0
68775,-100.0,-100.0,-100.0
68791,-100.0,-100.0,-100.0
68805,-100.0,-100.0,-100.0
68923,-100.0,-100.0,-100.0
68940,-100.0,-100.0,-100.0
68954,-100.0,-100.0,-100.0
68969,-100.0,-100.0,-100.0
68985,-100.0,-100.0,-100.0
69001,-100.0,-100.0,-100.0
69027,-100.0,-100.0,-100.0
69135,-100.0,-100.0,-100.0
69161,-100.0,-100.0,-100.0
69177,-100.0,-100.0,-100.0
69192,-100.0,-100.0,-100.0
69207,-100.0,-100.0,-100.0
69221,-100.0,-100.0,-100.0
69238,-100.0,-100.0,-100.0
69622,-100.0,-100.0,-100.0
69638,-100.0,-100.0,-100.0
69654,-100.0,-100.0,-100.0
69669,-100.0,-100.0,-100.0
69694,-100.0,-100.0,-100.0
69711,-100.0,-100.0,-100.0
69726,-100.0,-100.0,-100.0
73420,-100.0,-100.0,-100.0
73436,-100.0,-100.0,-100.0
73450,-100.0,-100.0,-100.0
73466,-100.0,-100.0,-100.0
73492,-100.0,-100.0,-100.0
73507,-100.0,-100.0,-100.0
73521,-100.0,-100.0,-100.0
73538,-100.0,-100.0,-100.0
73700,-100.0,-100.0,-100.0
73718,-100.0,-100.0,-100.0
73732,-100.0,-100.0,-100.0
73758,-100.0,-100.0,-100.0
73774,-100.0,-100.0,-100.0
73791,-100.0,-100.0,-100.0
74000,-100.0,-100.0,-100.0
74018,-100.0,-100.0,-100.0
74032,-100.0,-100.0,-100.0
74062,-100.0,-100.0,-100.0
74079,-100.0,-100.0,-100.0
74118,-100.0,-100.0,-100.0
74141,-100.0,-100.0,-100.0
74167,-100.0,-100.0,-100.0
74243,-100.0,-100.0,-100.0
74273,-100.0,-100.0,-100.0
74290,-100.0,-100.0,-100.0
74324,-100.0,-100.0,-100.0
74335,-100.0,-100.0,-100.0
74375,-100.0,-100.0,-100.0
74383,-100.0,-100.0,-100.0
74423,-100.0,-100.0,-100.0
74430,-100.0,-100.0,-100.0
74456,-100.0,-100.0,-100.0
74661,-100.0,-100.0,-100.0
74690,-100.0,-100.0,-100.0
74697,-100.0,-100.0,-100.0
74710,-100.0,-100.0,-100.0
74717,-100.0,-100.0,-100.0
74733,-100.0,-100.0,-100.0
74742,-100.0,-100.0,-100.0
74752,-100.0,-100.0,-100.0
74763,-100.0,-100.0,-100.0
74781,-100.0,-100.0,-100.0
74787,-100.0,-100.0,-100.0
74799,-100.0,-100.0,-100.0
74812,-100.0,-100.0,-100.0
74831,-100.0,-100.0,-100.0
75711,-100.0,-100.0,-100.0
75724,-100.0,-100.0,-100.0
75731,-100.0,-100.0,-100.0
75745,-100.0,-100.0,-100.0
75750,-100.0,-100.0,-100.0
75765,-100.0,-100.0,-100.0
75775,-100.0,-100.0,-100.0
75786,-100.0,-100.0,-100.0
75796,-100.0,-100.0,-100.0
75812,-100.0,-100.0,-100.0
75818,-100.0,-100.0,-100.0
75833,-100.0,-100.0,-100.0
75843,-100.0,-100.0,-100.0
75863,-100.0,-100.0,-100.0
75870,-100.0,-100.0,-100.0
75891,-100.0,-100.0,-100.0
75899,-100.0,-100.0,-100.0
75911,-100.0,-100.0,-100.0
75918,-100.0,-100.0,-100.0
75933,-100.0,-100.0,-100.0
75943,-100.0,-100.0,-100.0
75964,-100.0,-100.0,-100.0
75970,-100.0,-100.0,-100.0
75986,-100.0,-100.0,-100.0
75996,-100.0,-100.0,-100.0
76010,-100.0,-100.0,-100.0
76035,-100.0,-100.0,-100.0
76046,-100.0,-100.0,-100.0
76057,-100.0,-100.0,-100.0
76073,-100.0,-100.0,-100.0
76082,-100.0,-100.0,-100.0
76099,-100.0,-100.0,-100.0
76109,-100.0,-100.0,-100.0
76125,-100.0,-100.0,-100.0
76409,-100.0,-100.0,-100.0
76424,-100.0,-100.0,-100.0
80109,-100.0,-100.0,-100.0
80124,-100.0,-100.0,-100.0
80138,-100.0,-100.0,-100.0
80153,-100.0,-100.0,-100.0
80170,-100.0,-100.0,-100.0
80195,-100.0,-100.0,-100.0
80210,-100.0,-100.0,-100.0
80227,-100.0,-100.0,-100.0
80242,-100.0,-100.0,-100.0
80493,-100.0,-100.0,-100.0
80509,-100.0,-100.0,-100.0
80525,-100.0,-100.0,-100.0
80540,-100.0,-100.0,-100.0
80556,-100.0,-100.0,-100.0
80581,-100.0,-100.0,-100.0
80597,-100.0,-100.0,-100.0
80612,-100.0,-100.0,-100.0
84930,-100.0,-100.0,-100.0
84948,-100.0,-100.0,-100.0
84963,-100.0,-100.0,-100.0
84977,-100.0,-100.0,-100.0
85003,-100.0,-100.0,-100.0
85019,-100.0,-100.0,-100.0
85033,-100.0,-100.0,-100.0
85049,-100.0,-100.0,-100.0
85065,-100.0,-100.0,-100.0
85080,-100.0,-100.0,-100.0
86084,-100.0,-100.0,-100.0
86102,-100.0,-100.0,-100.0
86130,-100.0,-100.0,-100.0
86145,-100.0,-100.0,-100.0
86161,-100.0,-100.0,-100.0
86180,-100.0,-100.0,-100.0
86218,-100.0,-100.0,-100.0
86236,-100.0,-100.0,-100.0
86250,-100.0,-100.0,-100.0
86267,-100.0,-100.0,-100.0
86522,-100.0,-100.0,-100.0
86540,-100.0,-100.0,-100.0
86557,-100.0,-100.0,-100.0
86588,-100.0,-100.0,-100.0
86605,-100.0,-100.0,-100.0
86622,-100.0,-100.0,-100.0
86638,-100.0,-100.0,-100.0
86656,-100.0,-100.0,-100.0
87372,-100.0,-100.0,-100.0
87389,-100.0,-100.0,-100.0
87407,-100.0,-100.0,-100.0
87421,-100.0,-100.0,-100.0
87438,-100.0,-100.0,-100.0
87456,-100.0,-100.0,-100.0
87471,-100.0,-100.0,-100.0
87488,-100.0,-100.0,-100.0
91034,-100.0,-100.0,-100.0
