,A2RJBMEEVBZ8E,A1NTYZ6IERUPC
45348,-100.0,-100.0
45358,-100.0,-100.0
45365,-100.0,-100.0
45374,-100.0,-100.0
45382,-100.0,-100.0
45392,-100.0,-100.0
45398,-100.0,-100.0
45410,-100.0,-100.0
45415,-100.0,-100.0
45428,-100.0,-100.0
45432,-100.0,-100.0
45445,-100.0,-100.0
45448,-100.0,-100.0
45462,-100.0,-100.0
45465,-100.0,-100.0
45480,-100.0,-100.0
45482,-100.0,-100.0
45497,-100.0,-100.0
45499,-100.0,-100.0
45504,-100.0,-100.0
45515,-100.0,-100.0
45522,-100.0,-100.0
45532,-100.0,-100.0
45540,-100.0,-100.0
45549,-100.0,-100.0
45556,-100.0,-100.0
45565,-100.0,-100.0
45574,-100.0,-100.0
45582,-100.0,-100.0
45592,-100.0,-100.0
45599,-100.0,-100.0
45610,-100.0,-100.0
45616,-100.0,-100.0
45628,-100.0,-100.0
45632,-100.0,-100.0
45644,-100.0,-100.0
45649,-100.0,-100.0
45662,-100.0,-100.0
45666,-100.0,-100.0
45680,-100.0,-100.0
45682,-100.0,-100.0
45697,-100.0,-100.0
45699,-100.0,-100.0
45715,-100.0,-100.0
45716,-100.0,-100.0
45722,-100.0,-100.0
45732,-100.0,-100.0
45738,-100.0,-100.0
45749,-100.0,-100.0
45756,-100.0,-100.0
45766,-100.0,-100.0
45774,-100.0,-100.0
45783,-100.0,-100.0
45792,-100.0,-100.0
45793,-100.0,-100.0
45799,-100.0,-100.0
45816,-100.0,-100.0
45833,-100.0,-100.0
45849,-100.0,-100.0
45867,-100.0,-100.0
45883,-100.0,-100.0
45900,-100.0,-100.0
45916,-100.0,-100.0
45933,-100.0,-100.0
45950,-100.0,-100.0
45966,-100.0,-100.0
46953,-100.0,-100.0
46970,-100.0,-100.0
47002,-100.0,-100.0
47019,-100.0,-100.0
47037,-100.0,-100.0
47052,-100.0,-100.0
47069,-100.0,-100.0
47086,-100.0,-100.0
47102,-100.0,-100.0
47119,-100.0,-100.0
47136,-100.0,-100.0
47152,-100.0,-100.0
47169,-100.0,-100.0
47336,-100.0,-100.0
47354,-100.0,-100.0
47370,-100.0,-100.0
47386,-100.0,-100.0
47403,-100.0,-100.0
47420,-100.0,-100.0
47436,-100.0,-100.0
47453,-100.0,-100.0
49608,-100.0,-100.0
49609,-100.0,-100.0
49622,-100.0,-100.0
49630,-100.0,-100.0
49646,-100.0,-100.0
49660,-100.0,-100.0
49681,-100.0,-100.0
49695,-100.0,-100.0
49710,-100.0,-100.0
49722,-100.0,-100.0
49738,-100.0,-100.0
49756,-100.0,-100.0
49781,-100.0,-100.0
49791,-100.0,-100.0
49797,-100.0,-100.0
49819,-100.0,-100.0
49829,-100.0,-100.0
49830,-100.0,-100.0
49839,-100.0,-100.0
49855,-100.0,-100.0
49863,-100.0,-100.0
49882,-100.0,-100.0
49887,-100.0,-100.0
49902,-100.0,-100.0
49915,-100.0,-100.0
49919,-100.0,-100.0
49940,-100.0,-100.0
49954,-100.0,-100.0
49960,-100.0,-100.0
49972,-100.0,-100.0
49987,-100.0,-100.0
49989,-100.0,-100.0
50007,-100.0,-100.0
50024,-100.0,-100.0
50031,-100.0,-100.0
50042,-100.0,-100.0
50056,-100.0,-100.0
50060,-100.0,-100.0
50067,-100.0,-100.0
50084,-100.0,-100.0
50087,-100.0,-100.0
50101,-100.0,-100.0
50110,-100.0,-100.0
50119,-100.0,-100.0
50122,-100.0,-100.0
50131,-100.0,-100.0
50140,-100.0,-100.0
50148,-100.0,-100.0
50154,-100.0,-100.0
50171,-100.0,-100.0
50182,-100.0,-100.0
50190,-100.0,-100.0
50206,-100.0,-100.0
50224,-100.0,-100.0
50225,-100.0,-100.0
50242,-100.0,-100.0
50244,-100.0,-100.0
50258,-100.0,-100.0
50265,-100.0,-100.0
50278,-100.0,-100.0
50280,-100.0,-100.0
50285,-100.0,-100.0
50300,-100.0,-100.0
50308,-100.0,-100.0
50336,-100.0,-100.0
50338,-100.0,-100.0
50348,-100.0,-100.0
50353,-100.0,-100.0
50362,-100.0,-100.0
50371,-100.0,-100.0
50381,-100.0,-100.0
50388,-100.0,-100.0
50395,-100.0,-100.0
50405,-100.0,-100.0
50406,-100.0,-100.0
50423,-100.0,-100.0
50440,-100.0,-100.0
50442,-100.0,-100.0
50459,-100.0,-100.0
50477,-100.0,-100.0
50482,-100.0,-100.0
50493,-100.0,-100.0
50500,-100.0,-100.0
50507,-100.0,-100.0
50518,-100.0,-100.0
50536,-100.0,-100.0
50553,-100.0,-100.0
50570,-100.0,-100.0
50574,-100.0,-100.0
50588,-100.0,-100.0
50593,-100.0,-100.0
50605,-100.0,-100.0
50619,-100.0,-100.0
50622,-100.0,-100.0
50642,-100.0,-100.0
50647,-100.0,-100.0
50661,-100.0,-100.0
50675,-100.0,-100.0
50685,-100.0,-100.0
50693,-100.0,-100.0
50697,-100.0,-100.0
50711,-100.0,-100.0
50717,-100.0,-100.0
50719,-100.0,-100.0
50746,-100.0,-100.0
50751,-100.0,-100.0
50769,-100.0,-100.0
50771,-100.0,-100.0
50787,-100.0,-100.0
50793,-100.0,-100.0
50804,-100.0,-100.0
50823,-100.0,-100.0
50830,-100.0,-100.0
50837,-100.0,-100.0
50840,-100.0,-100.0
50854,-100.0,-100.0
50856,-100.0,-100.0
50860,-100.0,-100.0
50864,-100.0,-100.0
50874,-100.0,-100.0
50875,-100.0,-100.0
50891,-100.0,-100.0
50905,-100.0,-100.0
50910,-100.0,-100.0
50911,-100.0,-100.0
50917,-100.0,-100.0
50931,-100.0,-100.0
50933,-100.0,-100.0
50941,-100.0,-100.0
50951,-100.0,-100.0
50969,-100.0,-100.0
50977,-100.0,-100.0
50986,-100.0,-100.0
51001,-100.0,-100.0
51004,-100.0,-100.0
51018,-100.0,-100.0
51022,-100.0,-100.0
51040,-100.0,-100.0
51047,-100.0,-100.0
51057,-100.0,-100.0
51058,-100.0,-100.0
51070,-100.0,-100.0
51088,-100.0,-100.0
51091,-100.0,-100.0
51109,-100.0,-100.0
51127,-100.0,-100.0
51143,-100.0,-100.0
51145,-100.0,-100.0
51150,-100.0,-100.0
51156,-100.0,-100.0
51186,-100.0,-100.0
51198,-100.0,-100.0
51205,-100.0,-100.0
51221,-100.0,-100.0
51237,-100.0,-100.0
51245,-100.0,-100.0
51255,-100.0,-100.0
51274,-100.0,-100.0
51284,-100.0,-100.0
51290,-100.0,-100.0
51303,-100.0,-100.0
51309,-100.0,-100.0
51312,-100.0,-100.0
51322,-100.0,-100.0
51325,-100.0,-100.0
51331,-100.0,-100.0
51342,-100.0,-100.0
51350,-100.0,-100.0
51367,-100.0,-100.0
51376,-100.0,-100.0
51385,-100.0,-100.0
51402,-100.0,-100.0
51420,-100.0,-100.0
51438,-100.0,-100.0
51455,-100.0,-100.0
51473,-100.0,-100.0
51490,-100.0,-100.0
51507,-100.0,-100.0
51525,-100.0,-100.0
51542,-100.0,-100.0
51560,-100.0,-100.0
51567,-100.0,-100.0
51584,-100.0,-100.0
51601,-100.0,-100.0
51619,-100.0,-100.0
51636,-100.0,-100.0
51654,-100.0,-100.0
51672,-100.0,-100.0
51688,-100.0,-100.0
51706,-100.0,-100.0
51724,-100.0,-100.0
51741,-100.0,-100.0
51759,-100.0,-100.0
51768,-100.0,-100.0
51783,-100.0,-100.0
51801,-100.0,-100.0
51818,-100.0,-100.0
51836,-100.0,-100.0
51854,-100.0,-100.0
51871,-100.0,-100.0
51888,-100.0,-100.0
51906,-100.0,-100.0
51924,-100.0,-100.0
51941,-100.0,-100.0
51959,-100.0,-100.0
57274,-100.0,-100.0
57292,-100.0,-100.0
57316,-100.0,-100.0
57333,-100.0,-100.0
57351,-100.0,-100.0
57368,-100.0,-100.0
57386,-100.0,-100.0
57404,-100.0,-100.0
57421,-100.0,-100.0
57438,-100.0,-100.0
57456,-100.0,-100.0
57473,-100.0,-100.0
57491,-100.0,-100.0
57509,-100.0,-100.0
57525,-100.0,-100.0
57543,-100.0,-100.0
57550,-100.0,-100.0
57568,-100.0,-100.0
57585,-100.0,-100.0
57604,-100.0,-100.0
57619,-100.0,-100.0
57638,-100.0,-100.0
57656,-100.0,-100.0
57673,-100.0,-100.0
57691,-100.0,-100.0
57709,-100.0,-100.0
57725,-100.0,-100.0
57743,-100.0,-100.0
