,AS7D4MNIH56ND,AZSSG2REHDX18,AYYSG3O9FNU15,AU2980AA60A2C,AJE5OG666CBAC,ACM1CEGHXTKZP
40541,-100.0,-100.0,-81.91891891891892,-56.0,-100.0,-100.0
40554,-100.0,-100.0,-81.86486486486487,-55.0,-100.0,-100.0
40572,-100.0,-100.0,-81.8108108108108,-53.0,-100.0,-100.0
40594,-100.0,-100.0,-81.75675675675676,-53.0,-100.0,-100.0
40605,-100.0,-100.0,-81.70270270270271,-52.0,-100.0,-100.0
40623,-100.0,-100.0,-81.64864864864865,-51.0,-100.0,-100.0
40638,-100.0,-100.0,-81.5945945945946,-50.0,-100.0,-100.0
40654,-100.0,-100.0,-81.54054054054055,-49.0,-100.0,-100.0
40671,-100.0,-100.0,-81.48648648648648,-48.0,-100.0,-100.0
40691,-100.0,-100.0,-81.43243243243244,-47.0,-100.0,-100.0
40755,-100.0,-100.0,-81.37837837837837,-47.0,-100.0,-100.0
40771,-100.0,-100.0,-81.32432432432432,-46.0,-100.0,-100.0
40788,-100.0,-100.0,-81.27027027027027,-45.0,-100.0,-100.0
40805,-100.0,-100.0,-81.21621621621621,-44.0,-100.0,-100.0
40822,-100.0,-100.0,-81.16216216216216,-43.0,-100.0,-100.0
40840,-100.0,-100.0,-81.10810810810811,-41.0,-100.0,-100.0
40857,-100.0,-100.0,-81.05405405405405,-40.0,-100.0,-100.0
40903,-100.0,-100.0,-81.0,-40.0,-100.0,-100.0
40945,-100.0,-100.0,-82.0,-40.0,-100.0,-100.0
40987,-100.0,-100.0,-84.0,-40.0,-100.0,-100.0
41027,-100.0,-100.0,-87.0,-40.0,-100.0,-100.0
41028,-100.0,-100.0,,-40.0,-100.0,-100.0
41825,-100.0,-100.0,,-40.0,-100.0,-100.0
41843,-100.0,-100.0,,-40.0,-100.0,-100.0
41860,-100.0,-100.0,,-40.0,-100.0,-100.0
41877,-100.0,-100.0,,-40.0,-100.0,-100.0
41893,-100.0,-100.0,,-40.0,-100.0,-100.0
41910,-100.0,-100.0,,-40.0,-100.0,-100.0
41926,-100.0,-100.0,,-40.0,-100.0,-100.0
41945,-100.0,-100.0,,-40.0,-100.0,-100.0
42128,-100.0,-100.0,,-40.0,-100.0,-100.0
42145,-100.0,-100.0,,-40.0,-100.0,-100.0
42161,-100.0,-100.0,,-40.0,-100.0,-100.0
42179,-100.0,-100.0,,-40.0,-100.0,-100.0
42195,-100.0,-100.0,,-40.0,-100.0,-100.0
42211,-100.0,-100.0,,-40.0,-100.0,-100.0
46031,-100.0,-100.0,,-40.0,-100.0,-100.0
46047,-100.0,-100.0,,-40.0,-100.0,-100.0
46049,-100.0,-100.0,,-40.0,-100.0,-100.0
46063,-100.0,-100.0,,-40.0,-100.0,-100.0
46066,-100.0,-100.0,,-40.0,-100.0,-100.0
46080,-100.0,-100.0,,-40.0,-100.0,-100.0
