,A1GFGZJPLCHHF,A3ST8XFT4X93K
63586,-100.0,-100.0
63620,-100.0,-100.0
63654,-100.0,-100.0
63672,-100.0,-100.0
63687,-100.0,-100.0
63697,-100.0,-100.0
63713,-100.0,-100.0
63721,-100.0,-100.0
63731,-100.0,-100.0
63741,-100.0,-100.0
63750,-100.0,-100.0
63751,-100.0,-100.0
63764,-100.0,-100.0
63767,-100.0,-100.0
63782,-100.0,-100.0
63787,-100.0,-100.0
63800,-100.0,-100.0
63806,-100.0,-100.0
63819,-100.0,-100.0
63823,-100.0,-100.0
63966,-100.0,-100.0
63986,-100.0,-100.0
63999,-100.0,-100.0
64015,-100.0,-100.0
64033,-100.0,-100.0
64036,-100.0,-100.0
64051,-100.0,-100.0
64056,-100.0,-100.0
64069,-100.0,-100.0
64088,-100.0,-100.0
64103,-100.0,-100.0
64105,-100.0,-100.0
64112,-100.0,-100.0
64120,-100.0,-100.0
64139,-100.0,-100.0
64146,-100.0,-100.0
64165,-100.0,-100.0
64200,-100.0,-100.0
64217,-100.0,-100.0
65240,-100.0,-100.0
65248,-100.0,-100.0
65283,-100.0,-100.0
65299,-100.0,-100.0
65316,-100.0,-100.0
65334,-100.0,-100.0
65351,-100.0,-100.0
65370,-100.0,-100.0
65386,-100.0,-100.0
65404,-100.0,-100.0
65421,-100.0,-100.0
65439,-100.0,-100.0
65464,-100.0,-100.0
65481,-100.0,-100.0
65515,-100.0,-100.0
65533,-100.0,-100.0
65551,-100.0,-100.0
65568,-100.0,-100.0
65585,-100.0,-100.0
65603,-100.0,-100.0
65621,-100.0,-100.0
65638,-100.0,-100.0
65657,-100.0,-100.0
65673,-100.0,-100.0
65680,-100.0,-100.0
65697,-100.0,-100.0
65716,-100.0,-100.0
65733,-100.0,-100.0
65751,-100.0,-100.0
65768,-100.0,-100.0
65785,-100.0,-100.0
65802,-100.0,-100.0
65820,-100.0,-100.0
65838,-100.0,-100.0
65855,-100.0,-100.0
65872,-100.0,-100.0
65879,-100.0,-100.0
65896,-100.0,-100.0
65915,-100.0,-100.0
65931,-100.0,-100.0
65949,-100.0,-100.0
65966,-100.0,-100.0
65985,-100.0,-100.0
66002,-100.0,-100.0
66020,-100.0,-100.0
66036,-100.0,-100.0
66054,-100.0,-100.0
66072,-100.0,-100.0
66094,-100.0,-100.0
66114,-100.0,-100.0
66523,-100.0,-100.0
66531,-100.0,-100.0
66547,-100.0,-100.0
66567,-100.0,-100.0
66582,-100.0,-100.0
66602,-100.0,-100.0
66649,-100.0,-100.0
66668,-100.0,-100.0
66717,-100.0,-100.0
66752,-100.0,-100.0
66838,-100.0,-100.0
66881,-100.0,-100.0
66898,-100.0,-100.0
66915,-100.0,-100.0
66932,-100.0,-100.0
