,A2LO2DX6H49IK,A1CAM1A9B1QR2,AN26GE0GN8DP0,A1R09GS9W47R5,A2KHL16YV7AIW
47907,-97.0,-43.0,,56.0,-100.0
47932,-97.0,-43.0,,56.0,-100.0
47964,-97.0,-43.0,,56.0,-100.0
47985,-97.0,-43.0,,56.0,-100.0
47992,-97.0,-43.0,,56.0,-100.0
48010,-97.0,-43.0,,56.0,-100.0
48023,-97.0,-43.0,,56.0,-100.0
48029,-97.0,-43.0,,56.0,-100.0
48040,-97.0,-43.0,,56.0,-100.0
48047,-97.0,-43.0,,56.0,-100.0
48056,-97.0,-43.0,,56.0,-100.0
48062,-97.0,-43.0,,56.0,-100.0
48074,-97.0,-43.0,,56.0,-100.0
48099,-97.0,-43.0,,56.0,-100.0
48108,-97.0,-43.0,,56.0,-100.0
48127,-97.0,-43.0,,56.0,-100.0
48142,-97.0,-43.0,,56.0,-100.0
48147,-97.0,-43.0,,56.0,-100.0
48157,-97.0,-43.0,,56.0,-100.0
48164,-97.0,-43.0,,56.0,-100.0
48175,-97.0,-43.0,,56.0,-100.0
48181,-97.0,-43.0,,56.0,-100.0
48190,-97.0,-43.0,,56.0,-100.0
52325,-97.0,-43.0,,56.0,-100.0
52342,-97.0,-43.0,,56.0,-100.0
52352,-97.0,-43.0,,56.0,-100.0
52374,-97.0,-43.0,,56.0,-100.0
52379,-97.0,-43.0,,56.0,-100.0
52407,-97.0,-43.0,,56.0,-100.0
52413,-97.0,-43.0,,56.0,-100.0
52441,-97.0,-43.0,,56.0,-100.0
52448,-97.0,-43.0,,56.0,-100.0
52492,-97.0,-43.0,,56.0,-100.0
52497,-97.0,-43.0,,56.0,-100.0
52525,-97.0,-43.0,,56.0,-100.0
52531,-97.0,-43.0,,56.0,-100.0
52558,-97.0,-43.0,,56.0,-100.0
52564,-97.0,-43.0,,56.0,-100.0
52576,-97.0,-43.0,,56.0,-100.0
52580,-97.0,-43.0,,56.0,-100.0
52594,-97.0,-43.0,,56.0,-100.0
52600,-97.0,-43.0,,56.0,-100.0
52616,-97.0,-43.0,,56.0,-100.0
52637,-97.0,-43.0,,56.0,-100.0
52646,-97.0,-43.0,,56.0,-100.0
52671,-97.0,-43.0,,56.0,-100.0
52679,-97.0,-43.0,,56.0,-100.0
52702,-97.0,-43.0,,56.0,-100.0
52710,-97.0,-43.0,,56.0,-100.0
52734,-97.0,-43.0,,56.0,-100.0
52743,-97.0,-43.0,,56.0,-100.0
53014,-97.0,-43.0,,56.0,-100.0
53029,-97.0,-43.0,,56.0,-100.0
53049,-97.0,-43.0,,56.0,-100.0
53062,-97.0,-43.0,,56.0,-100.0
53066,-97.0,-43.0,,56.0,-100.0
53077,-97.0,-43.0,,56.0,-100.0
53108,-97.0,-43.0,,56.0,-100.0
53114,-97.0,-43.0,,56.0,-100.0
53134,-97.0,-43.0,,56.0,-100.0
53144,-97.0,-43.0,,56.0,-100.0
53151,-97.0,-43.0,,56.0,-100.0
53161,-97.0,-43.0,,56.0,-100.0
53183,-97.0,-43.0,,56.0,-100.0
53194,-97.0,-43.0,,56.0,-100.0
53202,-97.0,-43.0,,56.0,-100.0
53212,-97.0,-43.0,,56.0,-100.0
53238,-97.0,-43.0,,56.0,-100.0
53256,-97.0,-43.0,,56.0,-100.0
53265,-97.0,-43.0,,56.0,-100.0
53282,-97.0,-43.0,,56.0,-100.0
53314,-97.0,-43.0,,56.0,-100.0
53320,-97.0,-43.0,,56.0,-100.0
53338,-97.0,-43.0,,56.0,-100.0
53346,-97.0,-43.0,,56.0,-100.0
53352,-97.0,-43.0,,56.0,-100.0
53362,-97.0,-43.0,,56.0,-100.0
53382,-97.0,-43.0,,56.0,-100.0
53394,-97.0,-43.0,,56.0,-100.0
53401,-97.0,-43.0,,56.0,-100.0
53411,-97.0,-43.0,,56.0,-100.0
53616,-97.0,-43.0,,56.0,-100.0
53631,-97.0,-43.0,,56.0,-100.0
53649,-97.0,-43.0,,56.0,-100.0
53662,-97.0,-43.0,,56.0,-100.0
53685,-97.0,-43.0,,56.0,-100.0
53695,-97.0,-43.0,,56.0,-100.0
53707,-97.0,-43.0,,56.0,-100.0
53713,-97.0,-43.0,,56.0,-100.0
58734,-97.0,-43.0,,56.0,-100.0
58750,-97.0,-43.0,,56.0,-100.0
58755,-97.0,-43.0,,56.0,-100.0
58782,-97.0,-43.0,,56.0,-100.0
58788,-97.0,-43.0,,56.0,-100.0
58833,-97.0,-43.0,,56.0,-100.0
58839,-97.0,-43.0,,56.0,-100.0
58889,-97.0,-43.0,,56.0,-100.0
58895,-97.0,-43.0,,56.0,-100.0
58916,-97.0,-43.0,,56.0,-100.0
58920,-97.0,-43.0,,56.0,-100.0
58950,-97.0,-43.0,,56.0,-100.0
58972,-97.0,-43.0,,56.0,-100.0
58984,-97.0,-43.0,,56.0,-100.0
58991,-97.0,-43.0,,56.0,-100.0
59001,-97.0,-43.0,,56.0,-100.0
59021,-97.0,-43.0,,56.0,-100.0
59035,-97.0,-43.0,,56.0,-100.0
59058,-97.0,-43.0,,56.0,-100.0
59068,-97.0,-43.0,,56.0,-100.0
59089,-97.0,-43.0,,56.0,-100.0
59102,-97.0,-43.0,,56.0,-100.0
59126,-97.0,-43.0,,56.0,-100.0
59135,-97.0,-43.0,,56.0,-100.0
59156,-97.0,-43.0,,56.0,-100.0
59167,-97.0,-43.0,,56.0,-100.0
59174,-97.0,-43.0,,56.0,-100.0
59185,-97.0,-43.0,,56.0,-100.0
59208,-97.0,-43.0,,56.0,-100.0
59218,-97.0,-43.0,,56.0,-100.0
59247,-97.0,-43.0,,56.0,-100.0
59259,-97.0,-43.0,,56.0,-100.0
59287,-97.0,-43.0,,56.0,-100.0
59294,-97.0,-43.0,,56.0,-100.0
59318,-97.0,-43.0,,56.0,-100.0
59324,-97.0,-43.0,,56.0,-100.0
59344,-97.0,-43.0,,56.0,-100.0
59352,-97.0,-43.0,,56.0,-100.0
59358,-97.0,-43.0,,56.0,-100.0
59369,-97.0,-43.0,,56.0,-100.0
59392,-97.0,-43.0,,56.0,-100.0
59403,-97.0,-43.0,,56.0,-100.0
59410,-97.0,-43.0,,56.0,-100.0
59419,-97.0,-43.0,,56.0,-100.0
59441,-97.0,-43.0,,56.0,-100.0
59453,-97.0,-43.0,,56.0,-100.0
59475,-97.0,-43.0,,56.0,-100.0
59485,-97.0,-43.0,,56.0,-100.0
59494,-97.0,-43.0,,56.0,-100.0
59504,-97.0,-43.0,,56.0,-100.0
59526,-97.0,-43.0,,56.0,-100.0
59536,-97.0,-43.0,,56.0,-100.0
59560,-97.0,-43.0,,56.0,-100.0
59570,-97.0,-43.0,,56.0,-100.0
59592,-97.0,-43.0,,56.0,-100.0
59603,-97.0,-43.0,,56.0,-100.0
59611,-97.0,-43.0,,56.0,-100.0
59623,-97.0,-43.0,,56.0,-100.0
59646,-97.0,-43.0,,56.0,-100.0
59653,-97.0,-43.0,,56.0,-100.0
59660,-97.0,-43.0,,56.0,-100.0
59670,-97.0,-43.0,,56.0,-100.0
59691,-97.0,-43.0,,56.0,-100.0
59703,-97.0,-43.0,,56.0,-100.0
59729,-97.0,-43.0,,56.0,-100.0
59737,-97.0,-43.0,,56.0,-100.0
59759,-97.0,-43.0,,56.0,-100.0
59771,-97.0,-43.0,,56.0,-100.0
59794,-97.0,-43.0,,56.0,-100.0
59804,-97.0,-43.0,,56.0,-100.0
59833,-97.0,-43.0,,56.0,-100.0
59842,-97.0,-43.0,,56.0,-100.0
59851,-97.0,-43.0,,56.0,-100.0
59872,-97.0,-43.0,,56.0,-100.0
59878,-97.0,-43.0,,56.0,-100.0
59891,-97.0,-43.0,,56.0,-100.0
59914,-97.0,-43.0,,56.0,-100.0
59921,-97.0,-43.0,,56.0,-100.0
59943,-97.0,-43.0,,56.0,-100.0
59954,-97.0,-43.0,,56.0,-100.0
59977,-97.0,-43.0,,56.0,-100.0
59988,-97.0,-43.0,,56.0,-100.0
60011,-97.0,-43.0,,56.0,-100.0
60022,-97.0,-43.0,,56.0,-100.0
60028,-97.0,-43.0,,56.0,-100.0
60040,-97.0,-43.0,,56.0,-100.0
60064,-97.0,-43.0,,56.0,-100.0
60072,-97.0,-43.0,,56.0,-100.0
60102,-97.0,-43.0,,56.0,-100.0
60111,-97.0,-43.0,,56.0,-100.0
60131,-97.0,-43.0,,56.0,-100.0
60139,-97.0,-43.0,,56.0,-100.0
60164,-97.0,-43.0,,56.0,-100.0
60173,-97.0,-43.0,,56.0,-100.0
60196,-97.0,-43.0,,56.0,-100.0
60205,-97.0,-43.0,,56.0,-100.0
60227,-97.0,-43.0,,56.0,-100.0
60239,-97.0,-43.0,,56.0,-100.0
60263,-97.0,-43.0,,56.0,-100.0
60273,-97.0,-43.0,,56.0,-100.0
60295,-97.0,-43.0,,56.0,-100.0
60306,-97.0,-43.0,,56.0,-100.0
60322,-97.0,-43.0,,56.0,-100.0
60330,-97.0,-43.0,,56.0,-100.0
60358,-97.0,-43.0,,56.0,-100.0
60365,-97.0,-43.0,,56.0,-100.0
60386,-97.0,-43.0,,56.0,-100.0
60394,-97.0,-43.0,,56.0,-100.0
60418,-97.0,-43.0,,56.0,-100.0
60427,-97.0,-43.0,,56.0,-100.0
60452,-97.0,-43.0,,56.0,-100.0
60459,-97.0,-43.0,,56.0,-100.0
60481,-97.0,-43.0,,56.0,-100.0
60490,-97.0,-43.0,,56.0,-100.0
60513,-97.0,-43.0,,56.0,-100.0
60523,-97.0,-43.0,,56.0,-100.0
60546,-97.0,-43.0,,56.0,-100.0
60557,-97.0,-43.0,,56.0,-100.0
60581,-97.0,-43.0,,56.0,-100.0
60591,-97.0,-43.0,,56.0,-100.0
60614,-97.0,-43.0,,56.0,-100.0
60624,-97.0,-43.0,,56.0,-100.0
60647,-97.0,-43.0,,56.0,-100.0
60657,-97.0,-43.0,,56.0,-100.0
60681,-97.0,-43.0,,56.0,-100.0
60691,-97.0,-43.0,,56.0,-100.0
60699,-97.0,-43.0,,56.0,-100.0
60709,-97.0,-43.0,,56.0,-100.0
60743,-97.0,-43.0,,56.0,-100.0
60763,-97.0,-43.0,,56.0,-100.0
60788,-97.0,-43.0,,56.0,-100.0
60798,-97.0,-43.0,,56.0,-100.0
60817,-97.0,-43.0,,56.0,-100.0
60825,-97.0,-43.0,,56.0,-100.0
60832,-97.0,-43.0,,56.0,-100.0
60841,-97.0,-43.0,,56.0,-100.0
60846,-97.0,-43.0,,56.0,-100.0
60859,-97.0,-43.0,,56.0,-100.0
60867,-97.0,-43.0,,56.0,-100.0
60879,-97.0,-43.0,,56.0,-100.0
60901,-97.0,-43.0,,56.0,-100.0
60908,-97.0,-43.0,,56.0,-100.0
60915,-97.0,-43.0,,56.0,-100.0
60925,-97.0,-43.0,,56.0,-100.0
60932,-97.0,-43.0,,56.0,-100.0
60943,-97.0,-43.0,,56.0,-100.0
60970,-97.0,-43.0,,56.0,-100.0
60976,-97.0,-43.0,,56.0,-100.0
60982,-97.0,-43.0,,56.0,-100.0
60992,-97.0,-43.0,,56.0,-100.0
60999,-97.0,-43.0,,56.0,-100.0
61009,-97.0,-43.0,,56.0,-100.0
61015,-97.0,-43.0,,56.0,-100.0
61025,-97.0,-43.0,,56.0,-100.0
61031,-97.0,-43.0,,56.0,-100.0
61042,-97.0,-43.0,,56.0,-100.0
61050,-97.0,-43.0,,56.0,-100.0
61059,-97.0,-43.0,,56.0,-100.0
61066,-97.0,-43.0,,56.0,-100.0
61076,-97.0,-43.0,,56.0,-100.0
61101,-97.0,-43.0,,56.0,-100.0
61109,-97.0,-43.0,,56.0,-100.0
61136,-97.0,-43.0,,56.0,-100.0
61146,-97.0,-43.0,,56.0,-100.0
61165,-97.0,-43.0,,56.0,-100.0
61184,-97.0,-43.0,,56.0,-100.0
61202,-97.0,-43.0,,56.0,-100.0
61209,-97.0,-43.0,,56.0,-100.0
61216,-97.0,-43.0,,56.0,-100.0
61227,-97.0,-43.0,,56.0,-100.0
61234,-97.0,-43.0,,56.0,-100.0
61243,-97.0,-43.0,,56.0,-100.0
61250,-97.0,-43.0,,56.0,-100.0
61261,-97.0,-43.0,,56.0,-100.0
61269,-97.0,-43.0,,56.0,-100.0
61276,-97.0,-43.0,,56.0,-100.0
61282,-97.0,-43.0,,56.0,-100.0
61293,-97.0,-43.0,,56.0,-100.0
61300,-97.0,-43.0,,56.0,-100.0
61310,-97.0,-43.0,,56.0,-100.0
61319,-97.0,-43.0,,56.0,-100.0
61329,-97.0,-43.0,,56.0,-100.0
61347,-97.0,-43.0,,56.0,-100.0
61360,-97.0,-43.0,,56.0,-100.0
61367,-97.0,-43.0,,56.0,-100.0
61377,-97.0,-43.0,,56.0,-100.0
61384,-97.0,-43.0,,56.0,-100.0
61394,-97.0,-43.0,,56.0,-100.0
61400,-97.0,-43.0,,56.0,-100.0
61410,-97.0,-43.0,,56.0,-100.0
61419,-97.0,-43.0,,56.0,-100.0
61427,-97.0,-43.0,,56.0,-100.0
61434,-97.0,-43.0,,56.0,-100.0
61444,-97.0,-43.0,,56.0,-100.0
61449,-97.0,-43.0,,56.0,-100.0
61461,-97.0,-43.0,,56.0,-100.0
61466,-97.0,-43.0,,56.0,-100.0
61477,-97.0,-43.0,,56.0,-100.0
61482,-97.0,-43.0,,56.0,-100.0
61496,-97.0,-43.0,,56.0,-100.0
61502,-97.0,-43.0,,56.0,-100.0
61512,-97.0,-43.0,,56.0,-100.0
61533,-97.0,-43.0,,56.0,-100.0
61544,-97.0,-43.0,,56.0,-100.0
61550,-97.0,-43.0,,56.0,-100.0
61561,-97.0,-43.0,,56.0,-100.0
61567,-97.0,-43.0,,56.0,-100.0
61578,-97.0,-43.0,,56.0,-100.0
61585,-97.0,-43.0,,56.0,-100.0
61594,-97.0,-43.0,,56.0,-100.0
61601,-97.0,-43.0,,56.0,-100.0
61611,-97.0,-43.0,,56.0,-100.0
61617,-97.0,-43.0,,56.0,-100.0
61628,-97.0,-43.0,,56.0,-100.0
61634,-97.0,-43.0,,56.0,-100.0
61645,-97.0,-43.0,,56.0,-100.0
61652,-97.0,-43.0,,56.0,-100.0
61661,-97.0,-43.0,,56.0,-100.0
61669,-97.0,-43.0,,56.0,-100.0
61678,-97.0,-43.0,,56.0,-100.0
61685,-97.0,-43.0,,56.0,-100.0
61695,-97.0,-43.0,,56.0,-100.0
61701,-97.0,-43.0,,56.0,-100.0
61711,-97.0,-43.0,,56.0,-100.0
61718,-97.0,-43.0,,56.0,-100.0
61728,-97.0,-43.0,,56.0,-100.0
61735,-97.0,-43.0,,56.0,-100.0
61745,-97.0,-43.0,,56.0,-100.0
61767,-97.0,-43.0,,56.0,-100.0
61778,-97.0,-43.0,,56.0,-100.0
61784,-97.0,-43.0,,56.0,-100.0
61795,-97.0,-43.0,,56.0,-100.0
61803,-97.0,-43.0,,56.0,-100.0
61813,-97.0,-43.0,,56.0,-100.0
61817,-97.0,-43.0,,56.0,-100.0
61830,-97.0,-43.0,,56.0,-100.0
61839,-97.0,-43.0,,56.0,-100.0
61846,-97.0,-43.0,,56.0,-100.0
61856,-97.0,-43.0,,56.0,-100.0
61863,-97.0,-43.0,,56.0,-100.0
61870,-97.0,-43.0,,56.0,-100.0
61878,-97.0,-43.0,,56.0,-100.0
61885,-97.0,-43.0,,56.0,-100.0
61896,-97.0,-43.0,,56.0,-100.0
61903,-97.0,-43.0,,56.0,-100.0
61913,-97.0,-43.0,,56.0,-100.0
61922,-97.0,-43.0,,56.0,-100.0
61929,-97.0,-43.0,,56.0,-100.0
61951,-97.0,-43.0,,56.0,-100.0
61962,-97.0,-43.0,,56.0,-100.0
61970,-97.0,-43.0,,56.0,-100.0
61979,-97.0,-43.0,,56.0,-100.0
61985,-97.0,-43.0,,56.0,-100.0
61996,-97.0,-43.0,,56.0,-100.0
62004,-97.0,-43.0,,56.0,-100.0
62013,-97.0,-43.0,,56.0,-100.0
62033,-97.0,-43.0,,56.0,-100.0
62046,-97.0,-43.0,,56.0,-100.0
62053,-97.0,-43.0,,56.0,-100.0
62063,-97.0,-43.0,,56.0,-100.0
62070,-97.0,-43.0,,56.0,-100.0
62080,-97.0,-43.0,,56.0,-100.0
62104,-97.0,-43.0,,56.0,-100.0
62120,-97.0,-43.0,,56.0,-100.0
62131,-97.0,-43.0,,56.0,-100.0
62153,-97.0,-43.0,,56.0,-100.0
62170,-97.0,-43.0,,56.0,-100.0
62180,-97.0,-43.0,,56.0,-100.0
62191,-97.0,-43.0,,56.0,-100.0
62202,-97.0,-43.0,,56.0,-100.0
62219,-97.0,-43.0,,56.0,-100.0
62230,-97.0,-43.0,,56.0,-100.0
62237,-97.0,-43.0,,56.0,-100.0
62247,-97.0,-43.0,,56.0,-100.0
62253,-97.0,-43.0,,56.0,-100.0
62264,-97.0,-43.0,,56.0,-100.0
62271,-97.0,-43.0,,56.0,-100.0
62282,-97.0,-43.0,,56.0,-100.0
62299,-97.0,-43.0,,56.0,-100.0
62315,-97.0,-43.0,,56.0,-100.0
62320,-97.0,-43.0,,56.0,-100.0
62331,-97.0,-43.0,,56.0,-100.0
62352,-97.0,-43.0,,56.0,-100.0
62364,-97.0,-43.0,,56.0,-100.0
62370,-97.0,-43.0,,56.0,-100.0
62381,-97.0,-43.0,,56.0,-100.0
62388,-97.0,-43.0,,56.0,-100.0
62398,-97.0,-43.0,,56.0,-100.0
62404,-97.0,-43.0,,56.0,-100.0
62415,-97.0,-43.0,,56.0,-100.0
62421,-97.0,-43.0,,56.0,-100.0
62432,-97.0,-43.0,,56.0,-100.0
62453,-97.0,-43.0,,56.0,-100.0
62464,-97.0,-43.0,,56.0,-100.0
62471,-97.0,-43.0,,56.0,-100.0
62481,-97.0,-43.0,,56.0,-100.0
62488,-97.0,-43.0,,56.0,-100.0
62498,-97.0,-43.0,,56.0,-100.0
62503,-97.0,-43.0,,56.0,-100.0
62516,-97.0,-43.0,,56.0,-100.0
62534,-97.0,-43.0,,56.0,-100.0
62548,-97.0,-43.0,,56.0,-100.0
62554,-97.0,-43.0,,56.0,-100.0
62566,-97.0,-43.0,,56.0,-100.0
62572,-97.0,-43.0,,56.0,-100.0
62582,-97.0,-43.0,,56.0,-100.0
62589,-97.0,-43.0,,56.0,-100.0
62598,-97.0,-43.0,,56.0,-100.0
62606,-97.0,-43.0,,56.0,-100.0
62615,-97.0,-43.0,,56.0,-100.0
62620,-97.0,-43.0,,56.0,-100.0
62632,-97.0,-43.0,,56.0,-100.0
62639,-97.0,-43.0,,56.0,-100.0
62648,-97.0,-43.0,,56.0,-100.0
62654,-97.0,-43.0,,56.0,-100.0
62666,-97.0,-43.0,,56.0,-100.0
62673,-97.0,-43.0,,56.0,-100.0
62682,-97.0,-43.0,,56.0,-100.0
62687,-97.0,-43.0,,56.0,-100.0
62699,-97.0,-43.0,,56.0,-100.0
62705,-97.0,-43.0,,56.0,-100.0
62715,-97.0,-43.0,,56.0,-100.0
62721,-97.0,-43.0,,56.0,-100.0
62733,-97.0,-43.0,,56.0,-100.0
62738,-97.0,-43.0,,56.0,-100.0
62748,-97.0,-43.0,,56.0,-100.0
62756,-97.0,-43.0,,56.0,-100.0
62768,-97.0,-43.0,,56.0,-100.0
62776,-97.0,-43.0,,56.0,-100.0
62784,-97.0,-43.0,,56.0,-100.0
62805,-97.0,-43.0,,56.0,-100.0
62816,-97.0,-43.0,,56.0,-100.0
62822,-97.0,-43.0,,56.0,-100.0
62834,-97.0,-43.0,,56.0,-100.0
62839,-97.0,-43.0,,56.0,-100.0
62849,-97.0,-43.0,,56.0,-100.0
62854,-97.0,-43.0,,56.0,-100.0
62866,-97.0,-43.0,,56.0,-100.0
62872,-97.0,-43.0,,56.0,-100.0
62883,-97.0,-43.0,,56.0,-100.0
62889,-97.0,-43.0,,56.0,-100.0
62899,-97.0,-43.0,,56.0,-100.0
62905,-97.0,-43.0,,56.0,-100.0
62916,-97.0,-43.0,,56.0,-100.0
62923,-97.0,-43.0,,56.0,-100.0
62933,-97.0,-43.0,,56.0,-100.0
62939,-97.0,-43.0,,56.0,-100.0
62950,-97.0,-43.0,,56.0,-100.0
62955,-97.0,-43.0,,56.0,-100.0
62966,-97.0,-43.0,,56.0,-100.0
62972,-97.0,-43.0,,56.0,-100.0
62983,-97.0,-43.0,,56.0,-100.0
62990,-97.0,-43.0,,56.0,-100.0
63001,-97.0,-43.0,,56.0,-100.0
63007,-97.0,-43.0,,56.0,-100.0
63018,-97.0,-43.0,,56.0,-100.0
63025,-97.0,-43.0,,56.0,-100.0
63035,-97.0,-43.0,,56.0,-100.0
63043,-97.0,-43.0,,56.0,-100.0
63053,-97.0,-43.0,,56.0,-100.0
63058,-97.0,-43.0,,56.0,-100.0
63068,-97.0,-43.0,,56.0,-100.0
63091,-97.0,-43.0,,56.0,-100.0
63100,-97.0,-43.0,,56.0,-100.0
63106,-97.0,-43.0,,56.0,-100.0
63118,-97.0,-43.0,,56.0,-100.0
63140,-97.0,-43.0,,56.0,-100.0
63150,-97.0,-43.0,,56.0,-100.0
63157,-97.0,-43.0,,56.0,-100.0
63168,-97.0,-43.0,,56.0,-100.0
63194,-97.0,-43.0,,56.0,-100.0
63210,-97.0,-43.0,,56.0,-100.0
63230,-97.0,-43.0,,56.0,-100.0
63236,-97.0,-43.0,,56.0,-100.0
63242,-97.0,-43.0,,56.0,-100.0
63251,-97.0,-43.0,,56.0,-100.0
63257,-97.0,-43.0,,56.0,-100.0
63268,-97.0,-43.0,,56.0,-100.0
63275,-97.0,-43.0,,56.0,-100.0
63285,-97.0,-43.0,,56.0,-100.0
63309,-97.0,-43.0,,56.0,-100.0
63318,-97.0,-43.0,,56.0,-100.0
63339,-97.0,-43.0,,56.0,-100.0
63351,-97.0,-43.0,,56.0,-100.0
63356,-97.0,-43.0,,56.0,-100.0
63368,-97.0,-43.0,,56.0,-100.0
63377,-97.0,-43.0,,56.0,-100.0
63385,-97.0,-43.0,,56.0,-100.0
63394,-97.0,-43.0,,56.0,-100.0
63402,-97.0,-43.0,,56.0,-100.0
63425,-97.0,-43.0,,56.0,-100.0
63435,-97.0,-43.0,,56.0,-100.0
63440,-97.0,-43.0,,56.0,-100.0
63452,-97.0,-43.0,,56.0,-100.0
63456,-97.0,-43.0,,56.0,-100.0
63468,-97.0,-43.0,,56.0,-100.0
63473,-97.0,-43.0,,56.0,-100.0
63485,-97.0,-43.0,,56.0,-100.0
63489,-97.0,-43.0,,56.0,-100.0
63502,-97.0,-43.0,,56.0,-100.0
63509,-97.0,-43.0,,56.0,-100.0
63519,-97.0,-43.0,,56.0,-100.0
63524,-97.0,-43.0,,56.0,-100.0
63535,-97.0,-43.0,,56.0,-100.0
63540,-97.0,-43.0,,56.0,-100.0
63552,-97.0,-43.0,,56.0,-100.0
63557,-97.0,-43.0,,56.0,-100.0
63569,-97.0,-43.0,,56.0,-100.0
63575,-97.0,-43.0,,56.0,-100.0
63585,-97.0,-43.0,,56.0,-100.0
63590,-97.0,-43.0,,56.0,-100.0
63602,-97.0,-43.0,,56.0,-100.0
63607,-97.0,-43.0,,56.0,-100.0
63620,-97.0,-43.0,,56.0,-100.0
63625,-97.0,-43.0,,56.0,-100.0
63632,-97.0,-43.0,,56.0,-100.0
63633,-97.0,-43.0,,56.0,-100.0
85706,-97.0,-43.0,,56.0,-100.0
85748,-97.0,-43.0,,56.0,-99.0
85831,-97.0,-43.0,,56.0,-97.0
85861,-97.0,-43.0,,56.0,-96.0
85889,-97.0,-43.0,,56.0,-96.0
85940,-97.0,-43.0,,56.0,-95.0
85963,-97.0,-43.0,,56.0,-94.0
85995,-97.0,-43.0,,56.0,-93.0
86045,-97.0,-43.0,,56.0,-92.0
86067,-97.0,-43.0,,56.0,-92.0
86118,-97.0,-43.0,,56.0,-91.0
86145,-97.0,-43.0,,56.0,-90.0
86167,-97.0,-43.0,,56.0,-90.0
86180,-97.0,-43.0,,56.0,-89.0
86226,-97.0,-43.0,,56.0,-88.0
86258,-97.0,-43.0,,56.0,-86.0
86292,-97.0,-43.0,,56.0,-85.0
86311,-97.0,-43.0,,56.0,-84.0
86358,-97.0,-43.0,,56.0,-84.0
86373,-97.0,-43.0,,56.0,-83.0
86418,-97.0,-43.0,,56.0,-83.0
86443,-97.0,-43.0,,56.0,-82.0
86474,-97.0,-43.0,,56.0,-81.0
86508,-97.0,-43.0,,56.0,-81.0
86530,-97.0,-43.0,,56.0,-80.0
86572,-97.0,-43.0,,56.0,-80.0
86593,-97.0,-43.0,,56.0,-79.0
86629,-97.0,-43.0,,56.0,-78.0
86690,-97.0,-43.0,,56.0,-77.0
86723,-97.0,-43.0,,56.0,-77.0
86793,-97.0,-43.0,,56.0,-76.0
86819,-97.0,-43.0,,56.0,-75.0
86894,-97.0,-43.0,,56.0,-75.0
86926,-97.0,-43.0,,56.0,-74.0
87022,-97.0,-43.0,,56.0,-73.0
87115,-97.0,-43.0,,56.0,-72.0
87223,-97.0,-43.0,,56.0,-71.0
87246,-97.0,-43.0,,56.0,-71.0
87280,-97.0,-43.0,,56.0,-70.0
87362,-97.0,-43.0,,56.0,-69.0
87466,-97.0,-43.0,,56.0,-68.0
87500,-97.0,-43.0,,56.0,-67.0
87559,-97.0,-43.0,,56.0,-66.0
87581,-97.0,-43.0,,56.0,-65.0
87643,-97.0,-43.0,,56.0,-65.0
87658,-97.0,-43.0,,56.0,-64.0
87719,-97.0,-43.0,,56.0,-64.0
87735,-97.0,-43.0,,56.0,-63.0
87800,-97.0,-43.0,,56.0,-63.0
87826,-97.0,-43.0,,56.0,-62.0
87861,-97.0,-43.0,,56.0,-62.0
87883,-97.0,-43.0,,56.0,-61.0
87908,-97.0,-43.0,,56.0,-61.0
87963,-97.0,-43.0,,56.0,-60.0
87995,-97.0,-43.0,,56.0,-60.0
88012,-97.0,-43.0,,56.0,-59.0
88092,-97.0,-43.0,,56.0,-58.0
88113,-97.0,-43.0,,56.0,-58.0
88172,-97.0,-43.0,,56.0,-57.0
88245,-97.0,-43.0,,56.0,-57.0
88278,-97.0,-43.0,,56.0,-56.0
88306,-97.0,-43.0,,56.0,-56.0
88375,-97.0,-43.0,,56.0,-55.0
88406,-97.0,-43.0,,56.0,-55.0
88445,-97.0,-43.0,,56.0,-54.0
88472,-97.0,-43.0,,56.0,-53.0
88492,-97.0,-43.0,,56.0,-52.0
88512,-97.0,-43.0,,56.0,-52.0
88542,-97.0,-43.0,,56.0,-51.0
88568,-97.0,-43.0,,56.0,-51.0
88636,-97.0,-43.0,,56.0,-50.0
88712,-97.0,-43.0,,56.0,-50.0
88729,-97.0,-43.0,,56.0,-49.0
88791,-97.0,-43.0,,56.0,-48.0
88820,-97.0,-43.0,,56.0,-47.0
88834,-97.0,-43.0,,56.0,-43.0
88835,-97.0,-43.0,,56.0,-41.0
88853,-97.0,-43.0,,56.0,-40.0
88880,-97.0,-43.0,,56.0,-39.0
88922,-97.0,-43.0,,56.0,-39.0
88938,-97.0,-43.0,,56.0,-38.0
88972,-97.0,-43.0,,56.0,-38.0
89036,-97.0,-43.0,,56.0,-37.0
89072,-97.0,-43.0,,56.0,-37.0
89126,-97.0,-43.0,,56.0,-36.0
89165,-97.0,-43.0,,56.0,-35.0
89190,-97.0,-43.0,,56.0,-35.0
89274,-97.0,-43.0,,56.0,-34.0
89337,-97.0,-43.0,,56.0,-34.0
89357,-97.0,-43.0,,56.0,-33.0
89389,-97.0,-43.0,,56.0,-32.0
89409,-97.0,-43.0,,56.0,-32.0
89431,-97.0,-43.0,,56.0,-31.0
89458,-97.0,-43.0,,56.0,-30.0
89479,-97.0,-43.0,,56.0,-30.0
89502,-97.0,-43.0,,56.0,-29.0
89580,-97.0,-43.0,,56.0,-28.0
89604,-97.0,-43.0,,56.0,-28.0
89667,-97.0,-43.0,,56.0,-27.0
