,nan_x,nan_y,ASPRULQHB8B1F,AQP4PHYDXRBPI
8065,-100.0,-100.0,-100.0,-100.0
8206,-100.0,-100.0,-100.0,-100.0
8270,-100.0,-100.0,-100.0,-100.0
8284,-100.0,-100.0,-100.0,-100.0
8338,-100.0,-100.0,-100.0,-100.0
8399,-100.0,-100.0,-100.0,-100.0
8452,-100.0,-100.0,-100.0,-100.0
8497,-100.0,-100.0,-100.0,-100.0
8512,-100.0,-100.0,-100.0,-100.0
8570,-100.0,-100.0,-100.0,-100.0
8711,-100.0,-100.0,-100.0,-100.0
8807,-100.0,-100.0,-100.0,-100.0
8928,-100.0,-100.0,-100.0,-100.0
9044,-100.0,-100.0,-100.0,-100.0
9059,-100.0,-100.0,-100.0,-100.0
9073,-100.0,-100.0,-100.0,-100.0
9084,-100.0,-100.0,-100.0,-100.0
9090,-100.0,-100.0,-100.0,-100.0
9101,-100.0,-100.0,-100.0,-100.0
9104,-100.0,-100.0,-100.0,-100.0
9112,-100.0,-100.0,-100.0,-100.0
9135,-100.0,-100.0,-100.0,-100.0
9139,-100.0,-100.0,-100.0,-100.0
9152,-100.0,-100.0,-100.0,-100.0
9171,-100.0,-100.0,-100.0,-100.0
9173,-100.0,-100.0,-100.0,-100.0
9195,-100.0,-100.0,-100.0,-100.0
9200,-100.0,-100.0,-100.0,-100.0
9218,-100.0,-100.0,-100.0,-100.0
9222,-100.0,-100.0,-100.0,-100.0
9236,-100.0,-100.0,-100.0,-100.0
9252,-100.0,-100.0,-100.0,-100.0
9256,-100.0,-100.0,-100.0,-100.0
9278,-100.0,-100.0,-100.0,-100.0
9279,-100.0,-100.0,-100.0,-100.0
9284,-100.0,-100.0,-100.0,-100.0
9290,-100.0,-100.0,-100.0,-100.0
9307,-100.0,-100.0,-100.0,-100.0
9317,-100.0,-100.0,-100.0,-100.0
9329,-100.0,-100.0,-100.0,-100.0
9337,-100.0,-100.0,-100.0,-100.0
9357,-100.0,-100.0,-100.0,-100.0
9372,-100.0,-100.0,-100.0,-100.0
9385,-100.0,-100.0,-100.0,-100.0
9389,-100.0,-100.0,-100.0,-100.0
9394,-100.0,-100.0,-100.0,-100.0
9413,-100.0,-100.0,-100.0,-100.0
9418,-100.0,-100.0,-100.0,-100.0
9421,-100.0,-100.0,-100.0,-100.0
9440,-100.0,-100.0,-100.0,-100.0
9444,-100.0,-100.0,-100.0,-100.0
9456,-100.0,-100.0,-100.0,-100.0
9460,-100.0,-100.0,-100.0,-100.0
9467,-100.0,-100.0,-100.0,-100.0
9474,-100.0,-100.0,-100.0,-100.0
9485,-100.0,-100.0,-100.0,-100.0
9489,-100.0,-100.0,-100.0,-100.0
9503,-100.0,-100.0,-100.0,-100.0
9520,-100.0,-100.0,-100.0,-100.0
9529,-100.0,-100.0,-100.0,-100.0
9534,-100.0,-100.0,-100.0,-100.0
9565,-100.0,-100.0,-100.0,-100.0
9569,-100.0,-100.0,-100.0,-100.0
9579,-100.0,-100.0,-100.0,-100.0
9594,-100.0,-100.0,-100.0,-100.0
9598,-100.0,-100.0,-100.0,-100.0
9615,-100.0,-100.0,-100.0,-100.0
9632,-100.0,-100.0,-100.0,-100.0
9639,-100.0,-100.0,-100.0,-100.0
9658,-100.0,-100.0,-100.0,-100.0
9686,-100.0,-100.0,-100.0,-100.0
9719,-100.0,-100.0,-100.0,-100.0
9723,-100.0,-100.0,-100.0,-100.0
9737,-100.0,-100.0,-100.0,-100.0
9742,-100.0,-100.0,-100.0,-100.0
9767,-100.0,-100.0,-100.0,-100.0
9775,-100.0,-100.0,-100.0,-100.0
9790,-100.0,-100.0,-100.0,-100.0
9803,-100.0,-100.0,-100.0,-100.0
9809,-100.0,-100.0,-100.0,-100.0
9822,-100.0,-100.0,-100.0,-100.0
9827,-100.0,-100.0,-100.0,-100.0
9852,-100.0,-100.0,-100.0,-100.0
9895,-100.0,-100.0,-100.0,-100.0
9929,-100.0,-100.0,-100.0,-100.0
9934,-100.0,-100.0,-100.0,-100.0
9939,-100.0,-100.0,-100.0,-100.0
9952,-100.0,-100.0,-100.0,-100.0
9983,-100.0,-100.0,-100.0,-100.0
9987,-100.0,-100.0,-100.0,-100.0
10035,-100.0,-100.0,-100.0,-100.0
10039,-100.0,-100.0,-100.0,-100.0
10055,-100.0,-100.0,-100.0,-100.0
10091,-100.0,-100.0,-100.0,-100.0
10109,-100.0,-100.0,-100.0,-100.0
10115,-100.0,-100.0,-100.0,-100.0
10143,-100.0,-100.0,-100.0,-100.0
10147,-100.0,-100.0,-100.0,-100.0
10159,-100.0,-100.0,-100.0,-100.0
