,A9DEGNR0707LR,A2PM3OLCOW52S
26325,-100.0,-100.0
26358,-100.0,-100.0
26403,-100.0,-100.0
26416,-100.0,-100.0
26447,-100.0,-100.0
26459,-100.0,-100.0
26466,-100.0,-100.0
26481,-100.0,-100.0
26505,-100.0,-100.0
26517,-100.0,-100.0
26524,-100.0,-100.0
26538,-100.0,-100.0
26559,-100.0,-100.0
26567,-100.0,-100.0
26589,-100.0,-100.0
26598,-100.0,-100.0
26615,-100.0,-100.0
26625,-100.0,-100.0
26633,-100.0,-100.0
26642,-100.0,-100.0
26649,-100.0,-100.0
26659,-100.0,-100.0
26666,-100.0,-100.0
26676,-100.0,-100.0
26683,-100.0,-100.0
26694,-100.0,-100.0
26723,-100.0,-100.0
26733,-100.0,-100.0
26751,-100.0,-100.0
26759,-100.0,-100.0
26786,-100.0,-100.0
26793,-100.0,-100.0
26799,-100.0,-100.0
26808,-100.0,-100.0
26817,-100.0,-100.0
26828,-100.0,-100.0
26847,-100.0,-100.0
26860,-100.0,-100.0
26867,-100.0,-100.0
26876,-100.0,-100.0
26883,-100.0,-100.0
26892,-100.0,-100.0
26900,-100.0,-100.0
26910,-100.0,-100.0
26930,-100.0,-100.0
26943,-100.0,-100.0
26950,-100.0,-100.0
26960,-100.0,-100.0
26967,-100.0,-100.0
26977,-100.0,-100.0
26998,-100.0,-100.0
27010,-100.0,-100.0
27032,-100.0,-100.0
27042,-100.0,-100.0
27050,-100.0,-100.0
27062,-100.0,-100.0
27083,-100.0,-100.0
27094,-100.0,-100.0
27118,-100.0,-100.0
27127,-100.0,-100.0
27134,-100.0,-100.0
27144,-100.0,-100.0
27152,-100.0,-100.0
27161,-100.0,-100.0
27182,-100.0,-100.0
27194,-100.0,-100.0
27202,-100.0,-100.0
27211,-100.0,-100.0
27218,-100.0,-100.0
27227,-100.0,-100.0
27248,-100.0,-100.0
27263,-100.0,-100.0
27283,-100.0,-100.0
27294,-100.0,-100.0
27302,-100.0,-100.0
27314,-100.0,-100.0
27333,-100.0,-100.0
27344,-100.0,-100.0
27352,-100.0,-100.0
27363,-100.0,-100.0
27383,-100.0,-100.0
27394,-100.0,-100.0
27419,-100.0,-100.0
27428,-100.0,-100.0
27435,-100.0,-100.0
27445,-100.0,-100.0
27452,-100.0,-100.0
27461,-100.0,-100.0
27469,-100.0,-100.0
27478,-100.0,-100.0
27485,-100.0,-100.0
27495,-100.0,-100.0
27502,-100.0,-100.0
27512,-100.0,-100.0
27542,-100.0,-100.0
27554,-100.0,-100.0
27583,-100.0,-100.0
27595,-100.0,-100.0
27603,-100.0,-100.0
27612,-100.0,-100.0
27619,-100.0,-100.0
27629,-100.0,-100.0
27651,-100.0,-100.0
27661,-100.0,-100.0
27669,-100.0,-100.0
27678,-100.0,-100.0
27708,-100.0,-100.0
27718,-100.0,-100.0
27725,-100.0,-100.0
27735,-100.0,-100.0
27754,-100.0,-100.0
27762,-100.0,-100.0
27770,-100.0,-100.0
27779,-100.0,-100.0
27799,-100.0,-100.0
27812,-100.0,-100.0
27820,-100.0,-100.0
27830,-100.0,-100.0
27854,-100.0,-100.0
27864,-100.0,-100.0
27884,-100.0,-100.0
27896,-100.0,-100.0
27918,-100.0,-100.0
27928,-100.0,-100.0
27936,-100.0,-100.0
27946,-100.0,-100.0
27953,-100.0,-100.0
27963,-100.0,-100.0
27985,-100.0,-100.0
27996,-100.0,-100.0
28018,-100.0,-100.0
28029,-100.0,-100.0
28031,-100.0,-100.0
28037,-100.0,-100.0
28046,-100.0,-100.0
28050,-100.0,-100.0
28054,-100.0,-100.0
28063,-100.0,-100.0
28071,-100.0,-100.0
28080,-100.0,-100.0
28088,-100.0,-100.0
28096,-100.0,-100.0
28104,-100.0,-100.0
28115,-100.0,-100.0
28133,-100.0,-100.0
28134,-100.0,-100.0
28146,-100.0,-100.0
28165,-100.0,-100.0
28174,-100.0,-100.0
28182,-100.0,-100.0
28190,-100.0,-100.0
28202,-100.0,-100.0
28215,-100.0,-100.0
28238,-100.0,-100.0
28248,-100.0,-100.0
28267,-100.0,-100.0
28280,-100.0,-100.0
28281,-100.0,-100.0
28299,-100.0,-100.0
28307,-100.0,-100.0
28314,-100.0,-100.0
28325,-100.0,-100.0
28339,-100.0,-100.0
28346,-100.0,-100.0
28351,-100.0,-100.0
28356,-100.0,-100.0
28378,-100.0,-100.0
28386,-100.0,-100.0
28403,-100.0,-100.0
28405,-100.0,-100.0
28414,-100.0,-100.0
28421,-100.0,-100.0
28432,-100.0,-100.0
28438,-100.0,-100.0
28439,-100.0,-100.0
28446,-100.0,-100.0
28451,-100.0,-100.0
28453,-100.0,-100.0
28464,-100.0,-100.0
28465,-100.0,-100.0
28469,-100.0,-100.0
28481,-100.0,-100.0
28482,-100.0,-100.0
28487,-100.0,-100.0
28497,-100.0,-100.0
28498,-100.0,-100.0
28502,-100.0,-100.0
28514,-100.0,-100.0
28519,-100.0,-100.0
28530,-100.0,-100.0
28532,-100.0,-100.0
28537,-100.0,-100.0
28547,-100.0,-100.0
28548,-100.0,-100.0
28553,-100.0,-100.0
28564,-100.0,-100.0
28565,-100.0,-100.0
28571,-100.0,-100.0
28581,-100.0,-100.0
28582,-100.0,-100.0
28587,-100.0,-100.0
28597,-100.0,-100.0
28599,-100.0,-100.0
28602,-100.0,-100.0
28614,-100.0,-100.0
28615,-100.0,-100.0
28621,-100.0,-100.0
28631,-100.0,-100.0
28632,-100.0,-100.0
28637,-100.0,-100.0
28648,-100.0,-100.0
28649,-100.0,-100.0
28655,-100.0,-100.0
28664,-100.0,-100.0
28667,-100.0,-100.0
28669,-100.0,-100.0
28680,-100.0,-100.0
28682,-100.0,-100.0
28686,-100.0,-100.0
28697,-100.0,-100.0
28699,-100.0,-100.0
28705,-100.0,-100.0
28715,-100.0,-100.0
28721,-100.0,-100.0
28731,-100.0,-100.0
28732,-100.0,-100.0
28737,-100.0,-100.0
28747,-100.0,-100.0
28749,-100.0,-100.0
28754,-100.0,-100.0
28765,-100.0,-100.0
28771,-100.0,-100.0
28781,-100.0,-100.0
28782,-100.0,-100.0
28787,-100.0,-100.0
28798,-100.0,-100.0
28799,-100.0,-100.0
28804,-100.0,-100.0
28814,-100.0,-100.0
28816,-100.0,-100.0
28822,-100.0,-100.0
28831,-100.0,-100.0
28832,-100.0,-100.0
28837,-100.0,-100.0
28847,-100.0,-100.0
28849,-100.0,-100.0
28853,-100.0,-100.0
28864,-100.0,-100.0
28867,-100.0,-100.0
28882,-100.0,-100.0
28892,-100.0,-100.0
28899,-100.0,-100.0
28916,-100.0,-100.0
28921,-100.0,-100.0
28931,-100.0,-100.0
28933,-100.0,-100.0
28937,-100.0,-100.0
28948,-100.0,-100.0
28949,-100.0,-100.0
28954,-100.0,-100.0
28965,-100.0,-100.0
28966,-100.0,-100.0
28970,-100.0,-100.0
28982,-100.0,-100.0
28983,-100.0,-100.0
28989,-100.0,-100.0
28999,-100.0,-100.0
29000,-100.0,-100.0
29005,-100.0,-100.0
29015,-100.0,-100.0
29016,-100.0,-100.0
29032,-100.0,-100.0
29049,-100.0,-100.0
29335,-100.0,-100.0
29352,-100.0,-100.0
29376,-100.0,-100.0
29383,-100.0,-100.0
29388,-100.0,-100.0
29400,-100.0,-100.0
29405,-100.0,-100.0
29416,-100.0,-100.0
29421,-100.0,-100.0
29433,-100.0,-100.0
29438,-100.0,-100.0
29450,-100.0,-100.0
29456,-100.0,-100.0
29467,-100.0,-100.0
29472,-100.0,-100.0
29484,-100.0,-100.0
29490,-100.0,-100.0
29500,-100.0,-100.0
29501,-100.0,-100.0
32792,-100.0,-100.0
32793,-100.0,-100.0
32813,-100.0,-100.0
32860,-100.0,-100.0
32877,-100.0,-100.0
32912,-100.0,-100.0
32962,-100.0,-100.0
32995,-100.0,-100.0
33028,-100.0,-100.0
33046,-100.0,-100.0
33069,-100.0,-100.0
33111,-100.0,-100.0
33133,-100.0,-100.0
33159,-100.0,-100.0
33184,-100.0,-100.0
33214,-100.0,-100.0
33225,-100.0,-100.0
33255,-100.0,-100.0
33264,-100.0,-100.0
33299,-100.0,-100.0
33310,-100.0,-100.0
33324,-100.0,-100.0
33335,-100.0,-100.0
33357,-100.0,-100.0
33370,-100.0,-100.0
33385,-100.0,-100.0
33403,-100.0,-100.0
33416,-100.0,-100.0
33437,-100.0,-100.0
33454,-100.0,-100.0
33473,-100.0,-100.0
33487,-100.0,-100.0
33496,-100.0,-100.0
33513,-100.0,-100.0
33529,-100.0,-100.0
33549,-100.0,-100.0
33565,-100.0,-100.0
33580,-100.0,-100.0
33597,-100.0,-100.0
33613,-100.0,-100.0
33630,-100.0,-100.0
33662,-100.0,-100.0
33679,-100.0,-100.0
33695,-100.0,-100.0
33714,-100.0,-100.0
33738,-100.0,-100.0
