,AY5QB85BMBVU8,A3P9TMATWBA1Q,A8DMLATJZOF4Q,A8WWSKUYQ4X5N
6773,-100.0,-100.0,-100.0,-100.0
6779,-100.0,-100.0,-100.0,-100.0
6796,-100.0,-100.0,-100.0,-100.0
6810,-100.0,-100.0,-100.0,-100.0
6814,-100.0,-100.0,-100.0,-100.0
6822,-100.0,-100.0,-100.0,-100.0
6838,-100.0,-100.0,-100.0,-100.0
6852,-100.0,-100.0,-100.0,-100.0
6864,-100.0,-100.0,-100.0,-100.0
6882,-100.0,-100.0,-100.0,-100.0
6999,-100.0,-100.0,-100.0,-100.0
7016,-100.0,-100.0,-100.0,-100.0
7021,-100.0,-100.0,-100.0,-100.0
7028,-100.0,-100.0,-100.0,-100.0
7034,-100.0,-100.0,-100.0,-100.0
7049,-100.0,-100.0,-100.0,-100.0
7068,-100.0,-100.0,-100.0,-100.0
7087,-100.0,-100.0,-100.0,-100.0
7229,-100.0,-100.0,-100.0,-100.0
7250,-100.0,-100.0,-100.0,-100.0
7273,-100.0,-100.0,-100.0,-100.0
7281,-100.0,-100.0,-100.0,-100.0
7286,-100.0,-100.0,-100.0,-100.0
7300,-100.0,-100.0,-100.0,-100.0
7354,-100.0,-100.0,-100.0,-100.0
7395,-100.0,-100.0,-100.0,-100.0
7432,-100.0,-100.0,-100.0,-100.0
7475,-100.0,-100.0,-100.0,-100.0
7505,-100.0,-100.0,-100.0,-100.0
7576,-100.0,-100.0,-100.0,-100.0
7600,-100.0,-100.0,-100.0,-100.0
7644,-100.0,-100.0,-100.0,-100.0
7709,-100.0,-100.0,-100.0,-100.0
7751,-100.0,-100.0,-100.0,-100.0
7798,-100.0,-100.0,-100.0,-100.0
7828,-100.0,-100.0,-100.0,-100.0
7843,-100.0,-100.0,-100.0,-100.0
7876,-100.0,-100.0,-100.0,-100.0
7893,-100.0,-100.0,-100.0,-100.0
7972,-100.0,-100.0,-100.0,-100.0
8015,-100.0,-100.0,-100.0,-100.0
8082,-100.0,-100.0,-100.0,-100.0
8092,-100.0,-100.0,-100.0,-100.0
8120,-100.0,-100.0,-100.0,-100.0
8182,-100.0,-100.0,-100.0,-100.0
8226,-100.0,-100.0,-100.0,-100.0
8459,-100.0,-100.0,-100.0,-100.0
8496,-100.0,-100.0,-100.0,-100.0
8553,-100.0,-100.0,-100.0,-100.0
8584,-100.0,-100.0,-100.0,-100.0
8608,-100.0,-100.0,-100.0,-100.0
8647,-100.0,-100.0,-100.0,-100.0
8699,-100.0,-100.0,-100.0,-100.0
8721,-100.0,-100.0,-100.0,-100.0
8766,-100.0,-100.0,-100.0,-100.0
8812,-100.0,-100.0,-100.0,-100.0
8826,-100.0,-100.0,-100.0,-100.0
8870,-100.0,-100.0,-100.0,-100.0
9032,-100.0,-100.0,-100.0,-100.0
9044,-100.0,-100.0,-100.0,-100.0
