,A2RG35OL29USI,A2YP8M9VHFXZV,A1L7EVNM2HF85,A2YN6Z2DAW88X,A2Q3SM0KEI497,A1R09GS9W47R5
40997,,-100.0,,-100.0,-100.0,-66.0
41018,,-100.0,,-100.0,-100.0,-66.0
41048,,-100.0,,-100.0,-100.0,-65.0
41082,,-100.0,,-100.0,-100.0,-64.0
41104,,-100.0,,-100.0,-100.0,-64.0
41114,,-100.0,,-100.0,-100.0,-63.0
41131,,-100.0,,-100.0,-100.0,-63.0
41144,,-100.0,,-100.0,-100.0,-62.0
41164,,-100.0,,-100.0,-100.0,-62.0
41175,,-100.0,,-100.0,-100.0,-61.0
41193,,-100.0,,-100.0,-100.0,-61.0
41199,,-100.0,,-100.0,-100.0,-59.0
41220,,-100.0,,-100.0,-100.0,-59.0
41233,,-100.0,,-100.0,-100.0,-58.0
41253,,-100.0,,-100.0,-100.0,-58.0
41269,,-100.0,,-100.0,-100.0,-57.0
41290,,-100.0,,-100.0,-100.0,-57.0
41304,,-100.0,,-100.0,-100.0,-56.0
41324,,-100.0,,-100.0,-100.0,-55.0
41342,,-100.0,,-100.0,-100.0,-55.0
41356,,-100.0,,-100.0,-100.0,-54.0
41380,,-100.0,,-100.0,-100.0,-54.0
41396,,-100.0,,-100.0,-100.0,-53.0
41407,,-100.0,,-100.0,-100.0,-53.0
41422,,-100.0,,-100.0,-100.0,-52.0
41443,,-100.0,,-100.0,-100.0,-52.0
41454,,-100.0,,-100.0,-100.0,-51.0
41473,,-100.0,,-100.0,-100.0,-51.0
41486,,-100.0,,-100.0,-100.0,-50.0
41511,,-100.0,,-100.0,-100.0,-50.0
41521,,-100.0,,-100.0,-100.0,-49.0
41541,,-100.0,,-100.0,-100.0,-49.0
41555,,-100.0,,-100.0,-100.0,-48.0
41573,,-100.0,,-100.0,-100.0,-47.0
41589,,-100.0,,-100.0,-100.0,-46.0
41608,,-100.0,,-100.0,-100.0,-45.0
41627,,-100.0,,-100.0,-100.0,-44.0
41635,,-100.0,,-100.0,-100.0,-44.0
41650,,-100.0,,-100.0,-100.0,-43.0
41671,,-100.0,,-100.0,-100.0,-43.0
41684,,-100.0,,-100.0,-100.0,-42.0
41709,,-100.0,,-100.0,-100.0,-42.0
41720,,-100.0,,-100.0,-100.0,-41.0
41759,,-100.0,,-100.0,-100.0,-41.0
41772,,-100.0,,-100.0,-100.0,-40.0
41795,,-100.0,,-100.0,-100.0,-39.0
41810,,-100.0,,-100.0,-100.0,-39.0
41823,,-100.0,,-100.0,-100.0,-38.0
41831,,-100.0,,-100.0,-100.0,-37.0
41847,,-100.0,,-100.0,-100.0,-36.0
41864,,-100.0,,-100.0,-100.0,-35.0
41882,,-100.0,,-100.0,-100.0,-34.0
41901,,-100.0,,-100.0,-100.0,-33.0
41917,,-100.0,,-100.0,-100.0,-32.0
41935,,-100.0,,-100.0,-100.0,-30.0
41951,,-100.0,,-100.0,-100.0,-29.0
41969,,-100.0,,-100.0,-100.0,-28.0
41987,,-100.0,,-100.0,-100.0,-27.0
42004,,-100.0,,-100.0,-100.0,-26.0
42022,,-100.0,,-100.0,-100.0,-25.0
42040,,-100.0,,-100.0,-100.0,-24.0
42056,,-100.0,,-100.0,-100.0,-23.0
42064,,-100.0,,-100.0,-100.0,-21.0
42081,,-100.0,,-100.0,-100.0,-20.0
42098,,-100.0,,-100.0,-100.0,-19.0
42118,,-100.0,,-100.0,-100.0,-18.0
42140,,-100.0,,-100.0,-100.0,-18.0
42156,,-100.0,,-100.0,-100.0,-17.0
42176,,-100.0,,-100.0,-100.0,-17.0
42190,,-100.0,,-100.0,-100.0,-16.0
42208,,-100.0,,-100.0,-100.0,-16.0
42222,,-100.0,,-100.0,-100.0,-15.0
42239,,-100.0,,-100.0,-100.0,-14.0
42256,,-100.0,,-100.0,-100.0,-13.0
42263,,-100.0,,-100.0,-100.0,-12.0
42281,,-100.0,,-100.0,-100.0,-11.0
42298,,-100.0,,-100.0,-100.0,-10.0
42316,,-100.0,,-100.0,-100.0,-9.0
42328,,-100.0,,-100.0,-100.0,-8.0
42329,,-100.0,,-100.0,-100.0,
57245,,-100.0,,-100.0,-100.0,
57276,,-100.0,,-100.0,-100.0,
57331,,-100.0,,-100.0,-100.0,
57366,,-100.0,,-100.0,-100.0,
57393,,-100.0,,-100.0,-100.0,
57420,,-100.0,,-100.0,-100.0,
57472,,-100.0,,-100.0,-100.0,
57499,,-100.0,,-100.0,-100.0,
57525,,-100.0,,-100.0,-100.0,
57552,,-100.0,,-100.0,-100.0,
57594,,-100.0,,-100.0,-100.0,
57642,,-100.0,,-100.0,-100.0,
57665,,-100.0,,-100.0,-100.0,
57671,,-100.0,,-100.0,-100.0,
57694,,-100.0,,-100.0,-100.0,
57698,,-100.0,,-100.0,-100.0,
57724,,-100.0,,-100.0,-100.0,
57738,,-100.0,,-100.0,-100.0,
57750,,-100.0,,-100.0,-100.0,
57758,,-100.0,,-100.0,-100.0,
57776,,-100.0,,-100.0,-100.0,
57779,,-100.0,,-100.0,-100.0,
57801,,-100.0,,-100.0,-100.0,
57821,,-100.0,,-100.0,-100.0,
57843,,-100.0,,-100.0,-100.0,
57844,,-100.0,,-100.0,-100.0,
57863,,-100.0,,-100.0,-100.0,
57871,,-100.0,,-100.0,-100.0,
57885,,-100.0,,-100.0,-100.0,
57897,,-100.0,,-100.0,-100.0,
57905,,-100.0,,-100.0,-100.0,
57916,,-100.0,,-100.0,-100.0,
57924,,-100.0,,-100.0,-100.0,
57937,,-100.0,,-100.0,-100.0,
57958,,-100.0,,-100.0,-100.0,
57979,,-100.0,,-100.0,-100.0,
58000,,-100.0,,-100.0,-100.0,
58019,,-100.0,,-100.0,-100.0,
58021,,-100.0,,-100.0,-100.0,
58042,,-100.0,,-100.0,-100.0,
58047,,-100.0,,-100.0,-100.0,
58064,,-100.0,,-100.0,-100.0,
58084,,-100.0,,-100.0,-100.0,
58098,,-100.0,,-100.0,-100.0,
58104,,-100.0,,-100.0,-100.0,
58116,,-100.0,,-100.0,-100.0,
58137,,-100.0,,-100.0,-100.0,
58157,,-100.0,,-100.0,-100.0,
58176,,-100.0,,-100.0,-100.0,
58178,,-100.0,,-100.0,-100.0,
58199,,-100.0,,-100.0,-100.0,
58204,,-100.0,,-100.0,-100.0,
58217,,-100.0,,-100.0,-100.0,
58220,,-100.0,,-100.0,-100.0,
58242,,-100.0,,-100.0,-100.0,
58246,,-100.0,,-100.0,-100.0,
58262,,-100.0,,-100.0,-100.0,
58283,,-100.0,,-100.0,-100.0,
58304,,-100.0,,-100.0,-100.0,
58323,,-100.0,,-100.0,-100.0,
58335,,-100.0,,-100.0,-100.0,
58351,,-100.0,,-100.0,-100.0,
58356,,-100.0,,-100.0,-100.0,
58376,,-100.0,,-100.0,-100.0,
58378,,-100.0,,-100.0,-100.0,
58398,,-100.0,,-100.0,-100.0,
58419,,-100.0,,-100.0,-100.0,
58441,,-100.0,,-100.0,-100.0,
58462,,-100.0,,-100.0,-100.0,
58471,,-100.0,,-100.0,-100.0,
58482,,-100.0,,-100.0,-100.0,
58500,,-100.0,,-100.0,-100.0,
58505,,-100.0,,-100.0,-100.0,
58523,,-100.0,,-100.0,-100.0,
58525,,-100.0,,-100.0,-100.0,
58535,,-100.0,,-100.0,-100.0,
58553,,-100.0,,-100.0,-100.0,
58556,,-100.0,,-100.0,-100.0,
58577,,-100.0,,-100.0,-100.0,
58598,,-100.0,,-100.0,-100.0,
