,AMWN796XA8EMA,A2RG35OL29USI,A1CF1W8CP0DHB,A21LNC7SH15DN
61704,-100.0,-100.0,-100.0,-100.0
61768,-100.0,-100.0,-100.0,-100.0
61824,-100.0,-100.0,-100.0,-100.0
61846,-100.0,-100.0,-100.0,-100.0
61875,-100.0,-100.0,-100.0,-100.0
61907,-100.0,-100.0,-100.0,-100.0
61956,-100.0,-100.0,-100.0,-100.0
61988,-100.0,-100.0,-100.0,-100.0
62011,-100.0,-100.0,-100.0,-100.0
62055,-100.0,-100.0,-100.0,-100.0
62108,-100.0,-100.0,-100.0,-100.0
62178,-100.0,-100.0,-100.0,-100.0
62207,-100.0,-100.0,-100.0,-100.0
62234,-100.0,-100.0,-100.0,-100.0
62261,-100.0,-100.0,-100.0,-100.0
62298,-100.0,-100.0,-100.0,-100.0
62359,-100.0,-100.0,-100.0,-100.0
62499,-100.0,-100.0,-100.0,-100.0
62535,-100.0,-100.0,-100.0,-100.0
62588,-100.0,-100.0,-100.0,-100.0
62618,-100.0,-100.0,-100.0,-100.0
62647,-100.0,-100.0,-100.0,-100.0
62693,-100.0,-100.0,-100.0,-100.0
62809,-100.0,-100.0,-100.0,-100.0
62892,-100.0,-100.0,-100.0,-100.0
62932,-100.0,-100.0,-100.0,-100.0
62977,-100.0,-100.0,-100.0,-100.0
62999,-100.0,-100.0,-100.0,-100.0
63078,-100.0,-100.0,-100.0,-100.0
63128,-100.0,-100.0,-100.0,-100.0
63209,-100.0,-100.0,-100.0,-100.0
63231,-100.0,-100.0,-100.0,-100.0
63274,-100.0,-100.0,-100.0,-100.0
63315,-100.0,-100.0,-100.0,-100.0
63339,-100.0,-100.0,-100.0,-100.0
63360,-100.0,-100.0,-100.0,-100.0
63389,-100.0,-100.0,-100.0,-100.0
63437,-100.0,-100.0,-100.0,-100.0
63495,-100.0,-100.0,-100.0,-100.0
63591,-100.0,-100.0,-100.0,-100.0
63622,-100.0,-100.0,-100.0,-100.0
63655,-100.0,-100.0,-100.0,-100.0
63683,-100.0,-100.0,-100.0,-100.0
63706,-100.0,-100.0,-100.0,-100.0
63734,-100.0,-100.0,-100.0,-100.0
63756,-100.0,-100.0,-100.0,-100.0
63793,-100.0,-100.0,-100.0,-100.0
63953,-100.0,-100.0,-100.0,-100.0
64040,-100.0,-100.0,-100.0,-100.0
64070,-100.0,-100.0,-100.0,-100.0
64167,-100.0,-100.0,-100.0,-100.0
64195,-100.0,-100.0,-100.0,-100.0
64271,-100.0,-100.0,-100.0,-100.0
64340,-100.0,-100.0,-100.0,-100.0
64365,-100.0,-100.0,-100.0,-100.0
64443,-100.0,-100.0,-100.0,-100.0
64473,-100.0,-100.0,-100.0,-100.0
64564,-100.0,-100.0,-100.0,-100.0
64601,-100.0,-100.0,-100.0,-100.0
64682,-100.0,-100.0,-100.0,-100.0
65289,-100.0,-100.0,-100.0,-100.0
65306,-100.0,-100.0,-100.0,-100.0
65307,-100.0,-100.0,-100.0,-100.0
69297,-100.0,-100.0,-100.0,-100.0
69332,-100.0,-100.0,-100.0,-100.0
69394,-100.0,-100.0,-100.0,-100.0
69462,-100.0,-100.0,-100.0,-100.0
69496,-100.0,-100.0,-100.0,-100.0
69560,-100.0,-100.0,-100.0,-100.0
69655,-100.0,-100.0,-100.0,-100.0
69744,-100.0,-100.0,-100.0,-100.0
69812,-100.0,-100.0,-100.0,-100.0
69913,-100.0,-100.0,-100.0,-100.0
69947,-100.0,-100.0,-100.0,-100.0
70035,-100.0,-100.0,-100.0,-100.0
