,ACBG07QLGIDP0
366000,-100.0
366017,-100.0
366034,-100.0
366050,-100.0
366067,-100.0
366084,-100.0
366100,-100.0
366117,-100.0
366133,-100.0
366150,-100.0
366167,-100.0
366184,-100.0
366201,-100.0
366803,-100.0
366821,-100.0
366853,-100.0
366948,-100.0
367250,-100.0
367268,-100.0
367284,-100.0
367300,-100.0
367317,-100.0
367334,-100.0
367350,-100.0
367367,-100.0
367383,-100.0
367400,-100.0
367403,-100.0
367417,-100.0
367421,-100.0
367434,-100.0
367436,-100.0
367453,-100.0
367471,-100.0
367486,-100.0
367503,-100.0
368017,-100.0
368034,-100.0
368050,-100.0
368067,-100.0
368084,-100.0
368100,-100.0
368117,-100.0
368134,-100.0
368150,-100.0
368167,-100.0
368184,-100.0
368200,-100.0
368217,-100.0
368233,-100.0
368250,-100.0
368267,-100.0
368283,-100.0
368300,-100.0
368317,-100.0
368333,-100.0
368350,-100.0
368367,-100.0
368383,-100.0
368400,-100.0
368417,-100.0
368434,-100.0
368450,-100.0
368467,-100.0
368484,-100.0
368500,-100.0
368517,-100.0
368533,-100.0
368550,-100.0
369250,-100.0
369269,-100.0
369284,-100.0
369300,-100.0
369317,-100.0
369334,-100.0
369350,-100.0
369367,-100.0
369383,-100.0
369400,-100.0
369417,-100.0
369434,-100.0
369450,-100.0
369467,-100.0
369484,-100.0
369500,-100.0
369517,-100.0
369534,-100.0
369550,-100.0
369567,-100.0
369584,-100.0
369600,-100.0
369617,-100.0
369634,-100.0
369650,-100.0
369667,-100.0
369684,-100.0
369700,-100.0
369717,-100.0
369734,-100.0
369750,-100.0
369767,-100.0
369784,-100.0
369800,-100.0
369817,-100.0
369834,-100.0
369850,-100.0
369867,-100.0
369883,-100.0
369900,-100.0
369917,-100.0
369934,-100.0
369950,-100.0
369967,-100.0
369984,-100.0
387116,-100.0
387134,-100.0
387145,-100.0
387168,-100.0
387173,-100.0
387186,-100.0
387190,-100.0
387205,-100.0
387210,-100.0
387225,-100.0
387306,-100.0
387320,-100.0
387324,-100.0
387353,-100.0
387357,-100.0
387371,-100.0
387376,-100.0
387389,-100.0
387392,-100.0
387408,-100.0
387486,-100.0
387520,-100.0
387525,-100.0
387556,-100.0
387559,-100.0
387575,-100.0
387578,-100.0
387582,-100.0
387953,-100.0
387973,-100.0
387976,-100.0
387990,-100.0
387994,-100.0
388022,-100.0
388027,-100.0
388040,-100.0
388044,-100.0
388061,-100.0
388137,-100.0
388160,-100.0
388169,-100.0
388189,-100.0
388193,-100.0
388209,-100.0
388213,-100.0
388234,-100.0
388327,-100.0
388351,-100.0
388371,-100.0
388385,-100.0
388391,-100.0
388415,-100.0
388422,-100.0
388429,-100.0
388827,-100.0
388843,-100.0
388847,-100.0
388860,-100.0
388866,-100.0
388870,-100.0
388884,-100.0
390943,-100.0
390952,-100.0
390955,-100.0
390986,-100.0
390990,-100.0
391003,-100.0
391006,-100.0
391019,-100.0
391024,-100.0
391038,-100.0
398004,-100.0
398024,-100.0
398027,-100.0
398055,-100.0
398058,-100.0
398073,-100.0
398076,-100.0
398091,-100.0
398095,-100.0
398109,-100.0
416173,-100.0
416192,-100.0
416207,-100.0
416240,-100.0
433534,-100.0
433551,-100.0
433567,-100.0
433584,-100.0
433601,-100.0
433617,-100.0
433634,-100.0
433651,-100.0
433668,-100.0
433684,-100.0
433701,-100.0
433717,-100.0
433734,-100.0
433751,-100.0
433767,-100.0
433784,-100.0
433801,-100.0
433817,-100.0
433834,-100.0
433851,-100.0
433867,-100.0
433884,-100.0
433901,-100.0
433917,-100.0
433934,-100.0
433951,-100.0
433968,-100.0
433984,-100.0
438284,-100.0
438302,-100.0
438317,-100.0
438334,-100.0
438351,-100.0
438367,-100.0
438384,-100.0
438401,-100.0
438417,-100.0
438434,-100.0
438451,-100.0
438467,-100.0
438484,-100.0
438501,-100.0
438518,-100.0
438534,-100.0
438551,-100.0
438568,-100.0
438584,-100.0
438601,-100.0
438617,-100.0
438634,-100.0
438651,-100.0
438667,-100.0
438684,-100.0
438701,-100.0
438717,-100.0
438734,-100.0
449424,-100.0
449440,-100.0
449451,-100.0
449475,-100.0
449480,-100.0
449494,-100.0
449498,-100.0
449501,-100.0
449505,-100.0
449522,-100.0
449527,-100.0
449539,-100.0
449543,-100.0
449572,-100.0
450056,-100.0
450074,-100.0
450077,-100.0
450094,-100.0
450098,-100.0
450126,-100.0
450130,-100.0
450144,-100.0
450168,-100.0
450171,-100.0
450208,-100.0
450336,-100.0
450354,-100.0
495328,-100.0
495345,-100.0
495361,-100.0
495378,-100.0
495394,-100.0
495411,-100.0
495428,-100.0
495445,-100.0
495461,-100.0
495645,-100.0
495662,-100.0
495678,-100.0
495695,-100.0
495711,-100.0
495728,-100.0
495744,-100.0
495761,-100.0
541303,-100.0
541319,-100.0
541326,-100.0
541335,-100.0
541339,-100.0
541351,-100.0
541354,-100.0
541368,-100.0
541488,-100.0
541504,-100.0
541507,-100.0
541520,-100.0
541523,-100.0
541535,-100.0
541539,-100.0
541553,-100.0
561146,-100.0
561164,-100.0
561179,-100.0
561196,-100.0
561213,-100.0
561312,-100.0
561330,-100.0
561346,-100.0
561363,-100.0
561380,-100.0
561396,-100.0
566307,-100.0
566323,-100.0
566326,-100.0
566339,-100.0
566342,-100.0
566356,-100.0
566359,-100.0
566373,-100.0
566376,-100.0
566389,-100.0
566393,-100.0
566407,-100.0
566410,-100.0
566423,-100.0
566426,-100.0
566440,-100.0
566443,-100.0
566456,-100.0
566910,-100.0
566926,-100.0
566929,-100.0
566942,-100.0
566946,-100.0
566960,-100.0
566963,-100.0
566976,-100.0
566979,-100.0
566992,-100.0
567447,-100.0
567464,-100.0
567467,-100.0
567479,-100.0
567483,-100.0
567497,-100.0
567500,-100.0
567513,-100.0
569710,-100.0
569728,-100.0
569730,-100.0
569743,-100.0
569745,-100.0
569760,-100.0
569762,-100.0
569778,-100.0
569780,-100.0
569794,-100.0
569796,-100.0
569810,-100.0
569813,-100.0
569827,-100.0
611619,-100.0
611636,-100.0
611639,-100.0
611651,-100.0
611654,-100.0
611668,-100.0
611672,-100.0
611685,-100.0
611689,-100.0
611703,-100.0
611706,-100.0
611718,-100.0
612156,-100.0
612172,-100.0
612176,-100.0
612189,-100.0
612193,-100.0
612205,-100.0
612208,-100.0
612222,-100.0
612225,-100.0
612239,-100.0
612242,-100.0
612255,-100.0
615309,-100.0
615326,-100.0
615329,-100.0
615341,-100.0
615344,-100.0
615358,-100.0
615360,-100.0
615375,-100.0
615377,-100.0
615391,-100.0
615394,-100.0
615407,-100.0
615711,-100.0
615727,-100.0
615729,-100.0
615760,-100.0
615763,-100.0
615776,-100.0
615779,-100.0
615794,-100.0
615796,-100.0
615811,-100.0
651886,-100.0
651903,-100.0
651919,-100.0
651969,-100.0
651985,-100.0
652003,-100.0
652019,-100.0
652035,-100.0
652052,-100.0
652069,-100.0
652085,-100.0
652103,-100.0
652203,-100.0
652219,-100.0
652236,-100.0
652252,-100.0
652269,-100.0
652286,-100.0
652303,-100.0
652319,-100.0
652336,-100.0
