,A141CB4BKDYKD,AOSBRJKYSSGDA_x,AOEGJLWFISOZQ,AW62F9SMXXTFH,ACM1CEGHXTKZP
5669,-100.0,-100.0,-100.0,-100.0,-100.0
5695,-100.0,-100.0,-100.0,-100.0,-100.0
5707,-100.0,-100.0,-100.0,-100.0,-100.0
5731,-100.0,-100.0,-100.0,-100.0,-100.0
5783,-100.0,-100.0,-100.0,-100.0,-100.0
5806,-100.0,-100.0,-100.0,-100.0,-100.0
5852,-100.0,-100.0,-100.0,-100.0,-100.0
5867,-100.0,-100.0,-100.0,-100.0,-100.0
5935,-100.0,-100.0,-100.0,-100.0,-100.0
5984,-100.0,-100.0,-100.0,-100.0,-100.0
6015,-100.0,-100.0,-100.0,-100.0,-100.0
6024,-100.0,-100.0,-100.0,-100.0,-100.0
6026,-100.0,-100.0,-100.0,-100.0,-100.0
6066,-100.0,-100.0,-100.0,-100.0,-100.0
6074,-100.0,-100.0,-100.0,-100.0,-100.0
6090,-100.0,-100.0,-100.0,-100.0,-100.0
6095,-100.0,-100.0,-100.0,-100.0,-100.0
6120,-100.0,-100.0,-100.0,-100.0,-100.0
6134,-100.0,-100.0,-100.0,-100.0,-100.0
6153,-100.0,-100.0,-100.0,-100.0,-100.0
6171,-100.0,-100.0,-100.0,-100.0,-100.0
6182,-100.0,-100.0,-100.0,-100.0,-100.0
6215,-100.0,-100.0,-100.0,-100.0,-100.0
6248,-100.0,-100.0,-100.0,-100.0,-100.0
6272,-100.0,-100.0,-100.0,-100.0,-100.0
6281,-100.0,-100.0,-100.0,-100.0,-100.0
6309,-100.0,-100.0,-100.0,-100.0,-100.0
6341,-100.0,-100.0,-100.0,-100.0,-100.0
6362,-100.0,-100.0,-100.0,-100.0,-100.0
6400,-100.0,-100.0,-100.0,-100.0,-100.0
6406,-100.0,-100.0,-100.0,-100.0,-100.0
6426,-100.0,-100.0,-100.0,-100.0,-100.0
6432,-100.0,-100.0,-100.0,-100.0,-100.0
6448,-100.0,-100.0,-100.0,-100.0,-100.0
6462,-100.0,-100.0,-100.0,-100.0,-100.0
6466,-100.0,-100.0,-100.0,-100.0,-100.0
6495,-100.0,-100.0,-100.0,-100.0,-100.0
6502,-100.0,-100.0,-100.0,-100.0,-100.0
6519,-100.0,-100.0,-100.0,-100.0,-100.0
6526,-100.0,-100.0,-100.0,-100.0,-100.0
6557,-100.0,-100.0,-100.0,-100.0,-100.0
6564,-100.0,-100.0,-100.0,-100.0,-100.0
6600,-100.0,-100.0,-100.0,-100.0,-100.0
6622,-100.0,-100.0,-100.0,-100.0,-100.0
6629,-100.0,-100.0,-100.0,-100.0,-100.0
6649,-100.0,-100.0,-100.0,-100.0,-100.0
6665,-100.0,-100.0,-100.0,-100.0,-100.0
6670,-100.0,-100.0,-100.0,-100.0,-100.0
6705,-100.0,-100.0,-100.0,-100.0,-100.0
6826,-100.0,-100.0,-100.0,-100.0,-100.0
6850,-100.0,-100.0,-100.0,-100.0,-100.0
6883,-100.0,-100.0,-100.0,-100.0,-100.0
6891,-100.0,-100.0,-100.0,-100.0,-100.0
6932,-100.0,-100.0,-100.0,-100.0,-100.0
6985,-100.0,-100.0,-100.0,-100.0,-100.0
7039,-100.0,-100.0,-100.0,-100.0,-100.0
7063,-100.0,-100.0,-100.0,-100.0,-100.0
7089,-100.0,-100.0,-100.0,-100.0,-100.0
7095,-100.0,-100.0,-100.0,-100.0,-100.0
7186,-100.0,-100.0,-100.0,-100.0,-100.0
7223,-100.0,-100.0,-100.0,-100.0,-100.0
7263,-100.0,-100.0,-100.0,-100.0,-100.0
7288,-100.0,-100.0,-100.0,-100.0,-100.0
7305,-100.0,-100.0,-100.0,-100.0,-100.0
7348,-100.0,-100.0,-100.0,-100.0,-100.0
7351,-100.0,-100.0,-100.0,-100.0,-100.0
7375,-100.0,-100.0,-100.0,-100.0,-100.0
7414,-100.0,-100.0,-100.0,-100.0,-100.0
7449,-100.0,-100.0,-100.0,-100.0,-100.0
7461,-100.0,-100.0,-100.0,-100.0,-100.0
7693,-100.0,-100.0,-100.0,-100.0,-100.0
7728,-100.0,-100.0,-100.0,-100.0,-100.0
7775,-100.0,-100.0,-100.0,-100.0,-100.0
7778,-100.0,-100.0,-100.0,-100.0,-100.0
7803,-100.0,-100.0,-100.0,-100.0,-100.0
7833,-100.0,-100.0,-100.0,-100.0,-100.0
7867,-100.0,-100.0,-100.0,-100.0,-100.0
7903,-100.0,-100.0,-100.0,-100.0,-100.0
8090,-100.0,-100.0,-100.0,-100.0,-100.0
8102,-100.0,-100.0,-100.0,-100.0,-100.0
8114,-100.0,-100.0,-100.0,-100.0,-100.0
8149,-100.0,-100.0,-100.0,-100.0,-100.0
8151,-100.0,-100.0,-100.0,-100.0,-100.0
8179,-100.0,-100.0,-100.0,-100.0,-100.0
8204,-100.0,-100.0,-100.0,-100.0,-100.0
8219,-100.0,-100.0,-100.0,-100.0,-100.0
8236,-100.0,-100.0,-100.0,-100.0,-100.0
8264,-100.0,-100.0,-100.0,-100.0,-100.0
8334,-100.0,-100.0,-100.0,-100.0,-100.0
8372,-100.0,-100.0,-100.0,-100.0,-100.0
8392,-100.0,-100.0,-100.0,-100.0,-100.0
8402,-100.0,-100.0,-100.0,-100.0,-100.0
8429,-100.0,-100.0,-100.0,-100.0,-100.0
8458,-100.0,-100.0,-100.0,-100.0,-100.0
8493,-100.0,-100.0,-100.0,-100.0,-100.0
8514,-100.0,-100.0,-100.0,-100.0,-100.0
8548,-100.0,-100.0,-100.0,-100.0,-100.0
8638,-100.0,-100.0,-100.0,-100.0,-100.0
8772,-100.0,-100.0,-100.0,-100.0,-100.0
8822,-100.0,-100.0,-100.0,-100.0,-100.0
8825,-100.0,-100.0,-100.0,-100.0,-100.0
8868,-100.0,-100.0,-100.0,-100.0,-100.0
8900,-100.0,-100.0,-100.0,-100.0,-100.0
8921,-100.0,-100.0,-100.0,-100.0,-100.0
8972,-100.0,-100.0,-100.0,-100.0,-100.0
8980,-100.0,-100.0,-100.0,-100.0,-100.0
9015,-100.0,-100.0,-100.0,-100.0,-100.0
9039,-100.0,-100.0,-100.0,-100.0,-100.0
9067,-100.0,-100.0,-100.0,-100.0,-100.0
9091,-100.0,-100.0,-100.0,-100.0,-100.0
9109,-100.0,-100.0,-100.0,-100.0,-100.0
9120,-100.0,-100.0,-100.0,-100.0,-100.0
9137,-100.0,-100.0,-100.0,-100.0,-100.0
9199,-100.0,-100.0,-100.0,-100.0,-100.0
9209,-100.0,-100.0,-100.0,-100.0,-100.0
9224,-100.0,-100.0,-100.0,-100.0,-100.0
9248,-100.0,-100.0,-100.0,-100.0,-100.0
9324,-100.0,-100.0,-100.0,-100.0,-100.0
9331,-100.0,-100.0,-100.0,-100.0,-100.0
9358,-100.0,-100.0,-100.0,-100.0,-100.0
9418,-100.0,-100.0,-100.0,-100.0,-100.0
9434,-100.0,-100.0,-100.0,-100.0,-100.0
9470,-100.0,-100.0,-100.0,-100.0,-100.0
9474,-100.0,-100.0,-100.0,-100.0,-100.0
9503,-100.0,-100.0,-100.0,-100.0,-100.0
9534,-100.0,-100.0,-100.0,-100.0,-100.0
9541,-100.0,-100.0,-100.0,-100.0,-100.0
9558,-100.0,-100.0,-100.0,-100.0,-100.0
9560,-100.0,-100.0,-100.0,-100.0,-100.0
9586,-100.0,-100.0,-100.0,-100.0,-100.0
9605,-100.0,-100.0,-100.0,-100.0,-100.0
9614,-100.0,-100.0,-100.0,-100.0,-100.0
9630,-100.0,-100.0,-100.0,-100.0,-100.0
9658,-100.0,-100.0,-100.0,-100.0,-100.0
9707,-100.0,-100.0,-100.0,-100.0,-100.0
9816,-100.0,-100.0,-100.0,-100.0,-100.0
9865,-100.0,-100.0,-100.0,-100.0,-100.0
9914,-100.0,-100.0,-100.0,-100.0,-100.0
9941,-100.0,-100.0,-100.0,-100.0,-100.0
9976,-100.0,-100.0,-100.0,-100.0,-100.0
10008,-100.0,-100.0,-100.0,-100.0,-100.0
10109,-100.0,-100.0,-100.0,-100.0,-100.0
10131,-100.0,-100.0,-100.0,-100.0,-100.0
10163,-100.0,-100.0,-100.0,-100.0,-100.0
10188,-100.0,-100.0,-100.0,-100.0,-100.0
10499,-100.0,-100.0,-100.0,-100.0,-100.0
10530,-100.0,-100.0,-100.0,-100.0,-100.0
10562,-100.0,-100.0,-100.0,-100.0,-100.0
10599,-100.0,-100.0,-100.0,-100.0,-100.0
10643,-100.0,-100.0,-100.0,-100.0,-100.0
11066,-100.0,-100.0,-100.0,-100.0,-100.0
11103,-100.0,-100.0,-100.0,-100.0,-100.0
11137,-100.0,-100.0,-100.0,-100.0,-100.0
11634,-100.0,-100.0,-100.0,-100.0,-100.0
11658,-100.0,-100.0,-100.0,-100.0,-100.0
11660,-100.0,-100.0,-100.0,-100.0,-100.0
11690,-100.0,-100.0,-100.0,-100.0,-100.0
11696,-100.0,-100.0,-100.0,-100.0,-100.0
11723,-100.0,-100.0,-100.0,-100.0,-100.0
11726,-100.0,-100.0,-100.0,-100.0,-100.0
11757,-100.0,-100.0,-100.0,-100.0,-100.0
11769,-100.0,-100.0,-100.0,-100.0,-100.0
11792,-100.0,-100.0,-100.0,-100.0,-100.0
11809,-100.0,-100.0,-100.0,-100.0,-100.0
11853,-100.0,-100.0,-100.0,-100.0,-100.0
12125,-100.0,-100.0,-100.0,-100.0,-100.0
12160,-100.0,-100.0,-100.0,-100.0,-100.0
12191,-100.0,-100.0,-100.0,-100.0,-100.0
12228,-100.0,-100.0,-100.0,-100.0,-100.0
12263,-100.0,-100.0,-100.0,-100.0,-100.0
12392,-100.0,-100.0,-100.0,-100.0,-100.0
12420,-100.0,-100.0,-100.0,-100.0,-100.0
12442,-100.0,-100.0,-100.0,-100.0,-100.0
12504,-100.0,-100.0,-100.0,-100.0,-100.0
12518,-100.0,-100.0,-100.0,-100.0,-100.0
12526,-100.0,-100.0,-100.0,-100.0,-100.0
12543,-100.0,-100.0,-100.0,-100.0,-100.0
12563,-100.0,-100.0,-100.0,-100.0,-100.0
12612,-100.0,-100.0,-100.0,-100.0,-100.0
12628,-100.0,-100.0,-100.0,-100.0,-100.0
12666,-100.0,-100.0,-100.0,-100.0,-100.0
12697,-100.0,-100.0,-100.0,-100.0,-100.0
12718,-100.0,-100.0,-100.0,-100.0,-100.0
12729,-100.0,-100.0,-100.0,-100.0,-100.0
12747,-100.0,-100.0,-100.0,-100.0,-100.0
12780,-100.0,-100.0,-100.0,-100.0,-100.0
12811,-100.0,-100.0,-100.0,-100.0,-100.0
12856,-100.0,-100.0,-100.0,-100.0,-100.0
12886,-100.0,-100.0,-100.0,-100.0,-100.0
12898,-100.0,-100.0,-100.0,-100.0,-100.0
12906,-100.0,-100.0,-100.0,-100.0,-100.0
12936,-100.0,-100.0,-100.0,-100.0,-100.0
12941,-100.0,-100.0,-100.0,-100.0,-100.0
12973,-100.0,-100.0,-100.0,-100.0,-100.0
13010,-100.0,-100.0,-100.0,-100.0,-100.0
13045,-100.0,-100.0,-100.0,-100.0,-100.0
13055,-100.0,-100.0,-100.0,-100.0,-100.0
13061,-100.0,-100.0,-100.0,-100.0,-100.0
13094,-100.0,-100.0,-100.0,-100.0,-100.0
13128,-100.0,-100.0,-100.0,-100.0,-100.0
13162,-100.0,-100.0,-100.0,-100.0,-100.0
13429,-100.0,-100.0,-100.0,-100.0,-100.0
13480,-100.0,-100.0,-100.0,-100.0,-100.0
13598,-100.0,-100.0,-100.0,-100.0,-100.0
13717,-100.0,-100.0,-100.0,-100.0,-100.0
13808,-100.0,-100.0,-100.0,-100.0,-100.0
13844,-100.0,-100.0,-100.0,-100.0,-100.0
13901,-100.0,-100.0,-100.0,-100.0,-100.0
13999,-100.0,-100.0,-100.0,-100.0,-100.0
14022,-100.0,-100.0,-100.0,-100.0,-100.0
14072,-100.0,-100.0,-100.0,-100.0,-100.0
14091,-100.0,-100.0,-100.0,-100.0,-100.0
14121,-100.0,-100.0,-100.0,-100.0,-100.0
14166,-100.0,-100.0,-100.0,-100.0,-100.0
14187,-100.0,-100.0,-100.0,-100.0,-100.0
14210,-100.0,-100.0,-100.0,-100.0,-100.0
14244,-100.0,-100.0,-100.0,-100.0,-100.0
14284,-100.0,-100.0,-100.0,-100.0,-100.0
14373,-100.0,-100.0,-100.0,-100.0,-100.0
14401,-100.0,-100.0,-100.0,-100.0,-100.0
14437,-100.0,-100.0,-100.0,-100.0,-100.0
14475,-100.0,-100.0,-100.0,-100.0,-100.0
14592,-100.0,-100.0,-100.0,-100.0,-100.0
14624,-100.0,-100.0,-100.0,-100.0,-100.0
14665,-100.0,-100.0,-100.0,-100.0,-100.0
14802,-100.0,-100.0,-100.0,-100.0,-100.0
14822,-100.0,-100.0,-100.0,-100.0,-100.0
14839,-100.0,-100.0,-100.0,-100.0,-100.0
14884,-100.0,-100.0,-100.0,-100.0,-100.0
14914,-100.0,-100.0,-100.0,-100.0,-100.0
15093,-100.0,-100.0,-100.0,-100.0,-100.0
15125,-100.0,-100.0,-100.0,-100.0,-100.0
15161,-100.0,-100.0,-100.0,-100.0,-100.0
15176,-100.0,-100.0,-100.0,-100.0,-100.0
15212,-100.0,-100.0,-100.0,-100.0,-100.0
15402,-100.0,-100.0,-100.0,-100.0,-100.0
15475,-100.0,-100.0,-100.0,-100.0,-100.0
15495,-100.0,-100.0,-100.0,-100.0,-100.0
15532,-100.0,-100.0,-100.0,-100.0,-100.0
15559,-100.0,-100.0,-100.0,-100.0,-100.0
15871,-100.0,-100.0,-100.0,-100.0,-100.0
15905,-100.0,-100.0,-100.0,-100.0,-100.0
15935,-100.0,-100.0,-100.0,-100.0,-100.0
15961,-100.0,-100.0,-100.0,-100.0,-100.0
16312,-100.0,-100.0,-100.0,-100.0,-100.0
16341,-100.0,-100.0,-100.0,-100.0,-100.0
16377,-100.0,-100.0,-100.0,-100.0,-100.0
16395,-100.0,-100.0,-100.0,-100.0,-100.0
16417,-100.0,-100.0,-100.0,-100.0,-100.0
16420,-100.0,-100.0,-100.0,-100.0,-100.0
16426,-100.0,-100.0,-100.0,-100.0,-100.0
16427,-100.0,-100.0,-100.0,-100.0,-100.0
16459,-100.0,-100.0,-100.0,-100.0,-100.0
16503,-100.0,-100.0,-100.0,-100.0,-100.0
16529,-100.0,-100.0,-100.0,-100.0,-100.0
16608,-100.0,-100.0,-100.0,-100.0,-100.0
16612,-100.0,-100.0,-100.0,-100.0,-100.0
16682,-100.0,-100.0,-100.0,-100.0,-100.0
16688,-100.0,-100.0,-100.0,-100.0,-100.0
16784,-100.0,-100.0,-100.0,-100.0,-100.0
16820,-100.0,-100.0,-100.0,-100.0,-100.0
16895,-100.0,-100.0,-100.0,-100.0,-100.0
16913,-100.0,-100.0,-100.0,-100.0,-100.0
17012,-100.0,-100.0,-100.0,-100.0,-100.0
17024,-100.0,-100.0,-100.0,-100.0,-100.0
17076,-100.0,-100.0,-100.0,-100.0,-100.0
17161,-100.0,-100.0,-100.0,-100.0,-100.0
17197,-100.0,-100.0,-100.0,-100.0,-100.0
17275,-100.0,-100.0,-100.0,-100.0,-100.0
17282,-100.0,-100.0,-100.0,-100.0,-100.0
17288,-100.0,-100.0,-100.0,-100.0,-100.0
17339,-100.0,-100.0,-100.0,-100.0,-100.0
17357,-100.0,-100.0,-100.0,-100.0,-100.0
17374,-100.0,-100.0,-100.0,-100.0,-100.0
17407,-100.0,-100.0,-100.0,-100.0,-100.0
17431,-100.0,-100.0,-100.0,-100.0,-100.0
17466,-100.0,-100.0,-100.0,-100.0,-100.0
17537,-100.0,-100.0,-100.0,-100.0,-100.0
17544,-100.0,-100.0,-100.0,-100.0,-100.0
17553,-100.0,-100.0,-100.0,-100.0,-100.0
17565,-100.0,-100.0,-100.0,-100.0,-100.0
17584,-100.0,-100.0,-100.0,-100.0,-100.0
17787,-100.0,-100.0,-100.0,-100.0,-100.0
17804,-100.0,-100.0,-100.0,-100.0,-100.0
17819,-100.0,-100.0,-100.0,-100.0,-100.0
17861,-100.0,-100.0,-100.0,-100.0,-100.0
17880,-100.0,-100.0,-100.0,-100.0,-100.0
17903,-100.0,-100.0,-100.0,-100.0,-100.0
17950,-100.0,-100.0,-100.0,-100.0,-100.0
18005,-100.0,-100.0,-100.0,-100.0,-100.0
18055,-100.0,-100.0,-100.0,-100.0,-100.0
18091,-100.0,-100.0,-100.0,-100.0,-100.0
18125,-100.0,-100.0,-100.0,-100.0,-100.0
18155,-100.0,-100.0,-100.0,-100.0,-100.0
18184,-100.0,-100.0,-100.0,-100.0,-100.0
18204,-100.0,-100.0,-100.0,-100.0,-100.0
18245,-100.0,-100.0,-100.0,-100.0,-100.0
