,A1NRY8F9U4AYE,A2OSJ7ONK5Y0A,A3UTSRN8QLKWE,A1EK8YNHZHTW1,A2EZVULYVJOPN
93766,-100.0,,-33.5,-87.0,15.0
93773,-100.0,,-33.0,-87.0,15.0
93790,-100.0,,-33.0,-87.0,15.0
93808,-100.0,,-31.0,-87.0,15.0
93820,-100.0,,-30.5,-87.0,15.0
93834,-100.0,,-30.0,-87.0,15.0
93845,-100.0,,-29.0,-87.0,15.0
93861,-100.0,,-28.0,-87.0,15.0
93865,-100.0,,-27.5,-87.0,15.0
93870,-100.0,,-27.0,-87.0,15.0
93885,-100.0,,-26.0,-87.0,15.0
93893,-100.0,,-26.0,-87.0,15.0
93914,-100.0,,-26.0,-87.0,15.0
93925,-100.0,,-25.0,-87.0,15.0
93938,-100.0,,-24.0,-87.0,15.0
93959,-100.0,,-23.0,-87.0,15.0
93967,-100.0,,-22.666666666666668,-87.0,15.0
93971,-100.0,,-22.333333333333332,-87.0,15.0
93973,-100.0,,-22.0,-87.0,15.0
93985,-100.0,,-21.5,-87.0,15.0
93993,-100.0,,-21.0,-87.0,15.0
94006,-100.0,,-20.0,-87.0,15.0
94025,-100.0,,-19.0,-87.0,15.0
94028,-100.0,,-18.0,-87.0,15.0
94045,-100.0,,-17.0,-87.0,15.0
94050,-100.0,,-16.0,-87.0,15.0
94067,-100.0,,-15.0,-87.0,15.0
94070,-100.0,,-14.666666666666666,-87.0,15.0
94080,-100.0,,-14.333333333333334,-87.0,15.0
94084,-100.0,,-14.0,-87.0,15.0
94101,-100.0,,-13.0,-87.0,15.0
94104,-100.0,,-12.5,-87.0,15.0
94119,-100.0,,-12.0,-87.0,15.0
94136,-100.0,,-11.5,-87.0,15.0
94137,-100.0,,-11.0,-87.0,15.0
94155,-100.0,,-10.0,-87.0,15.0
94162,-100.0,,-9.5,-87.0,15.0
94172,-100.0,,-9.0,-87.0,15.0
94188,-100.0,,-8.5,-87.0,15.0
94190,-100.0,,-8.0,-87.0,15.0
94191,-100.0,,-7.666666666666667,-87.0,15.0
94201,-100.0,,-7.333333333333333,-87.0,15.0
94206,-100.0,,-7.0,-87.0,15.0
94223,-100.0,,-6.5,-87.0,15.0
94225,-100.0,,-6.0,-87.0,15.0
94234,-100.0,,-5.5,-87.0,15.0
94243,-100.0,,-5.0,-87.0,15.0
94250,-100.0,,-4.5,-87.0,15.0
94261,-100.0,,-4.0,-87.0,15.0
94266,-100.0,,-3.0,-87.0,15.0
94276,-100.0,,-2.5,-87.0,15.0
94284,-100.0,,-2.0,-87.0,15.0
94291,-100.0,,-1.5,-87.0,15.0
94301,-100.0,,-1.0,-87.0,15.0
94319,-100.0,,0.0,-87.0,15.0
94337,-100.0,,1.0,-87.0,15.0
94338,-100.0,,2.0,-87.0,15.0
94354,-100.0,,3.0,-87.0,15.0
94371,-100.0,,3.0,-87.0,15.0
94414,-100.0,,3.0,-87.0,15.0
94439,-100.0,,3.0,-87.0,15.0
94474,-100.0,,3.0,-87.0,15.0
94493,-100.0,,3.0,-87.0,15.0
94517,-100.0,,3.0,-87.0,15.0
94527,-100.0,,3.0,-87.0,15.0
94537,-100.0,,3.0,-87.0,15.0
94559,-100.0,,3.0,-87.0,15.0
94586,-100.0,,3.0,-87.0,15.0
94596,-100.0,,3.0,-87.0,15.0
94607,-100.0,,3.0,-87.0,15.0
94621,-100.0,,3.0,-87.0,15.0
94648,-100.0,,3.0,-87.0,15.0
94662,-100.0,,3.0,-87.0,15.0
94670,-100.0,,3.0,-87.0,15.0
94693,-100.0,,3.0,-87.0,15.0
94734,-100.0,,3.0,-87.0,15.0
94760,-100.0,,3.0,-87.0,15.0
94785,-100.0,,3.0,-87.0,15.0
94795,-100.0,,3.0,-87.0,15.0
94806,-100.0,,3.0,-87.0,15.0
94819,-100.0,,3.0,-87.0,15.0
94828,-100.0,,3.0,-87.0,15.0
94844,-100.0,,3.0,-87.0,15.0
94865,-100.0,,3.0,-87.0,15.0
94891,-100.0,,3.0,-87.0,15.0
94901,-100.0,,3.0,-87.0,15.0
94918,-100.0,,3.0,-87.0,15.0
94932,-100.0,,3.0,-87.0,15.0
94961,-100.0,,3.0,-87.0,15.0
94976,-100.0,,3.0,-87.0,15.0
94987,-100.0,,3.0,-87.0,15.0
95004,-100.0,,3.0,-87.0,15.0
95033,-100.0,,3.0,-87.0,15.0
95051,-100.0,,3.0,-87.0,15.0
95060,-100.0,,3.0,-87.0,15.0
95072,-100.0,,3.0,-87.0,15.0
95091,-100.0,,3.0,-87.0,15.0
95110,-100.0,,3.0,-87.0,15.0
95118,-100.0,,3.0,-87.0,15.0
95135,-100.0,,3.0,-87.0,15.0
95163,-100.0,,3.0,-87.0,15.0
95208,-100.0,,3.0,-87.0,15.0
95220,-100.0,,3.0,-87.0,15.0
95241,-100.0,,3.0,-87.0,15.0
95247,-100.0,,3.0,-87.0,15.0
95255,-100.0,,3.0,-87.0,15.0
95260,-100.0,,3.0,-87.0,15.0
95272,-100.0,,3.0,-87.0,15.0
95286,-100.0,,3.0,-87.0,15.0
95296,-100.0,,3.0,-87.0,15.0
95307,-100.0,,3.0,-87.0,15.0
95334,-100.0,,3.0,-87.0,15.0
95360,-100.0,,3.0,-87.0,15.0
95398,-100.0,,3.0,-87.0,15.0
95431,-100.0,,3.0,-87.0,15.0
95446,-100.0,,3.0,-87.0,15.0
95455,-100.0,,3.0,-87.0,15.0
95474,-100.0,,3.0,-87.0,15.0
95486,-100.0,,3.0,-87.0,15.0
95526,-100.0,,3.0,-87.0,15.0
95535,-100.0,,3.0,-87.0,15.0
95544,-100.0,,3.0,-87.0,15.0
95562,-100.0,,3.0,-87.0,15.0
95578,-100.0,,3.0,-87.0,15.0
95584,-100.0,,3.0,-87.0,15.0
95599,-100.0,,3.0,-87.0,15.0
95626,-100.0,,3.0,-87.0,15.0
95656,-100.0,,3.0,-87.0,15.0
95668,-100.0,,3.0,-87.0,15.0
95676,-100.0,,3.0,-87.0,15.0
95687,-100.0,,3.0,-87.0,15.0
95713,-100.0,,3.0,-87.0,15.0
95726,-100.0,,3.0,-87.0,15.0
95736,-100.0,,3.0,-87.0,15.0
95760,-100.0,,3.0,-87.0,15.0
95769,-100.0,,3.0,-87.0,15.0
95783,-100.0,,3.0,-87.0,15.0
95784,-100.0,,2.6666666666666665,-87.0,15.0
95798,-100.0,,2.3333333333333335,-87.0,15.0
95802,-100.0,,2.0,-87.0,15.0
95825,-100.0,,1.0,-87.0,15.0
95836,-100.0,,0.0,-87.0,15.0
95850,-100.0,,-1.0,-87.0,15.0
95855,-100.0,,-2.0,-87.0,15.0
95866,-100.0,,-2.5,-87.0,15.0
95870,-100.0,,-3.0,-87.0,15.0
95876,-100.0,,-3.5,-87.0,15.0
95888,-100.0,,-4.0,-87.0,15.0
95899,-100.0,,-4.5,-87.0,15.0
95906,-100.0,,-5.0,-87.0,15.0
95911,-100.0,,-5.333333333333333,-87.0,15.0
95922,-100.0,,-5.666666666666667,-87.0,15.0
95923,-100.0,,-6.0,-87.0,15.0
95932,-100.0,,-6.5,-87.0,15.0
95941,-100.0,,-7.0,-87.0,15.0
95959,-100.0,,-8.0,-87.0,15.0
95975,-100.0,,-9.0,-87.0,15.0
95982,-100.0,,-9.5,-87.0,15.0
95983,-100.0,,-10.0,-87.0,15.0
95993,-100.0,,-11.0,-87.0,15.0
