,AZSSG2REHDX18,ACBG07QLGIDP0,AJE5OG666CBAC
82843,-100.0,-100.0,-93.0
82850,-100.0,-100.0,-92.98113207547169
82852,-100.0,-100.0,-92.9622641509434
82857,-100.0,-99.96,-92.94339622641509
82859,-100.0,-99.92,-92.9245283018868
82867,-100.0,-99.88,-92.90566037735849
82873,-100.0,-99.84,-92.88679245283019
82876,-100.0,-99.8,-92.86792452830188
82884,-100.0,-99.76,-92.84905660377359
82890,-100.0,-99.72,-92.83018867924528
82892,-100.0,-99.68,-92.81132075471699
82901,-100.0,-99.64,-92.79245283018868
82908,-100.0,-99.6,-92.77358490566037
82910,-100.0,-99.56,-92.75471698113208
82917,-100.0,-99.52,-92.73584905660377
82923,-100.0,-99.48,-92.71698113207547
82925,-100.0,-99.44,-92.69811320754717
82934,-100.0,-99.4,-92.67924528301887
82940,-100.0,-99.36,-92.66037735849056
82942,-100.0,-99.32,-92.64150943396227
82950,-100.0,-99.28,-92.62264150943396
82957,-100.0,-99.24,-92.60377358490567
82959,-100.0,-99.2,-92.58490566037736
82967,-100.0,-99.16,-92.56603773584905
82973,-100.0,-99.12,-92.54716981132076
82975,-100.0,-99.08,-92.52830188679245
82984,-100.0,-99.04,-92.50943396226415
82988,-100.0,-99.0,-92.49056603773585
82990,-100.0,-99.0,-92.47169811320755
82993,-100.0,-99.0,-92.45283018867924
83007,-100.0,-99.0,-92.43396226415095
83009,-100.0,-99.0,-92.41509433962264
83023,-100.0,-99.0,-92.39622641509433
83025,-100.0,-99.0,-92.37735849056604
83040,-100.0,-99.0,-92.35849056603773
83042,-100.0,-99.0,-92.33962264150944
83057,-100.0,-99.0,-92.32075471698113
83059,-100.0,-99.0,-92.30188679245283
83065,-100.0,-99.0,-92.28301886792453
83073,-100.0,-98.75,-92.26415094339623
83076,-100.0,-98.5,-92.24528301886792
83090,-100.0,-98.25,-92.22641509433963
83091,-100.0,-98.0,-92.20754716981132
83092,-100.0,-98.0,-92.18867924528301
83106,-100.0,-98.0,-92.16981132075472
83107,-100.0,-98.0,-92.15094339622641
83109,-100.0,-98.0,-92.13207547169812
83123,-100.0,-98.0,-92.11320754716981
83126,-100.0,-98.0,-92.09433962264151
83129,-100.0,-98.0,-92.0754716981132
83139,-100.0,-97.5,-92.05660377358491
83141,-100.0,-97.0,-92.0377358490566
83143,-100.0,-97.0,-92.01886792452831
83154,-100.0,-97.0,-92.0
83156,-100.0,-97.0,-91.9
83157,-100.0,-97.0,-91.8
83159,-100.0,-97.0,-91.7
83172,-100.0,-97.0,-91.6
83173,-100.0,-96.66666666666667,-91.5
83175,-100.0,-96.33333333333333,-91.4
83189,-100.0,-96.0,-91.3
83190,-100.0,-96.0,-91.2
83193,-100.0,-96.0,-91.1
83200,-100.0,-96.0,-91.0
83206,-100.0,-96.0,-90.625
83207,-100.0,-96.0,-90.25
83209,-100.0,-96.0,-89.875
83222,-100.0,-96.0,-89.5
83223,-100.0,-96.0,-89.125
83224,-100.0,-96.0,-88.75
83225,-100.0,-95.8,-88.375
83235,-100.0,-95.6,-88.0
83239,-100.0,-95.4,-87.8
83240,-100.0,-95.2,-87.6
83244,-100.0,-95.0,-87.4
83245,-100.0,-95.0,-87.2
83256,-100.0,-95.0,-87.0
83259,-100.0,-95.0,-86.8
83272,-100.0,-95.0,-86.6
83273,-100.0,-95.0,-86.4
83275,-100.0,-95.0,-86.2
83281,-100.0,-95.0,-86.0
83282,-100.0,-95.0,-86.0
83289,-100.0,-94.75,-86.0
83290,-100.0,-94.5,-86.0
83292,-100.0,-94.25,-86.0
83297,-100.0,-94.0,-86.0
83306,-100.0,-94.0,-86.0
83309,-100.0,-94.0,-86.0
83322,-100.0,-94.0,-86.0
83323,-100.0,-94.0,-86.0
83325,-100.0,-94.0,-86.0
83326,-100.0,-93.75,-86.0
83339,-100.0,-93.5,-86.0
83342,-100.0,-93.25,-86.0
83343,-100.0,-93.0,-86.0
83356,-100.0,-93.0,-86.0
83359,-100.0,-93.0,-86.0
83372,-100.0,-93.0,-86.0
83373,-100.0,-93.0,-86.0
83376,-100.0,-92.8,-86.0
83389,-100.0,-92.6,-86.0
83390,-100.0,-92.4,-86.0
83392,-100.0,-92.2,-86.0
83393,-100.0,-92.0,-86.0
83406,-100.0,-92.0,-86.0
83410,-100.0,-92.0,-86.0
83422,-100.0,-92.0,-86.0
83424,-100.0,-92.0,-86.0
83435,-100.0,-92.0,-86.0
83439,-100.0,-91.5,-86.0
83450,-100.0,-91.0,-86.0
83456,-100.0,-91.0,-86.0
83472,-100.0,-91.0,-86.0
83478,-100.0,-91.0,-86.0
83499,-100.0,-90.0,-86.0
83528,-100.0,-89.0,-86.0
83550,-100.0,-89.0,-86.0
83569,-100.0,-88.0,-86.0
83599,-100.0,-88.0,-86.0
83621,-100.0,-87.0,-86.0
83665,-100.0,-87.0,-86.0
83680,-100.0,-86.0,-86.0
83718,-100.0,-86.0,-86.0
83735,-100.0,-85.0,-86.0
83771,-100.0,-85.0,-86.0
83792,-100.0,-84.0,-86.0
83820,-100.0,-84.0,-86.0
83841,-100.0,-83.0,-86.0
83866,-100.0,-83.0,-86.0
83886,-100.0,-82.0,-86.0
83917,-100.0,-81.0,-86.0
83950,-100.0,-80.0,-86.0
83985,-100.0,-80.0,-86.0
84007,-100.0,-79.0,-86.0
84043,-100.0,-79.0,-86.0
84071,-100.0,-78.0,-86.0
84130,-100.0,-78.0,-86.0
84167,-100.0,-77.5,-86.0
84179,-100.0,-77.0,-86.0
84184,-100.0,-77.0,-86.0
84234,-100.0,-77.0,-86.0
84321,-100.0,-77.0,-86.0
84349,-100.0,-76.0,-86.0
84391,-100.0,-76.0,-86.0
84424,-100.0,-75.0,-86.0
84469,-100.0,-74.0,-86.0
84524,-100.0,-73.0,-86.0
84560,-100.0,-73.0,-86.0
84590,-100.0,-72.0,-86.0
84625,-100.0,-71.0,-86.0
84660,-100.0,-71.0,-86.0
84673,-100.0,-70.5,-86.0
84685,-100.0,-70.0,-86.0
84690,-100.0,-70.0,-86.0
84692,-100.0,-70.0,-86.0
84705,-100.0,-70.0,-86.0
84708,-100.0,-70.0,-86.0
84715,-100.0,-70.0,-86.0
84723,-100.0,-69.66666666666667,-86.0
84726,-100.0,-69.33333333333333,-86.0
84737,-100.0,-69.0,-86.0
84739,-100.0,-69.0,-86.0
84742,-100.0,-69.0,-86.0
84755,-100.0,-69.0,-86.0
84759,-100.0,-69.0,-86.0
84773,-100.0,-69.0,-86.0
84775,-100.0,-69.0,-86.0
84788,-100.0,-69.0,-86.0
84790,-100.0,-69.0,-86.0
84805,-100.0,-69.0,-86.0
84807,-100.0,-69.0,-86.0
84822,-100.0,-69.0,-86.0
84824,-100.0,-69.0,-86.0
84838,-100.0,-69.0,-86.0
84840,-100.0,-69.0,-86.0
84855,-100.0,-69.0,-86.0
84859,-100.0,-69.0,-86.0
84872,-100.0,-69.0,-86.0
84874,-100.0,-69.0,-86.0
84888,-100.0,-69.0,-86.0
84890,-100.0,-69.0,-86.0
84905,-100.0,-69.0,-86.0
84908,-100.0,-69.0,-86.0
84922,-100.0,-69.0,-86.0
84924,-100.0,-69.0,-86.0
84938,-100.0,-69.0,-86.0
84941,-100.0,-69.0,-86.0
84955,-100.0,-69.0,-86.0
84957,-100.0,-69.0,-86.0
84972,-100.0,-69.0,-86.0
84974,-100.0,-69.0,-86.0
84988,-100.0,-69.0,-86.0
84991,-100.0,-69.0,-86.0
85005,-100.0,-69.0,-86.0
85007,-100.0,-69.0,-86.0
85022,-100.0,-69.0,-86.0
85024,-100.0,-69.0,-86.0
85038,-100.0,-69.0,-86.0
85040,-100.0,-69.0,-86.0
85055,-100.0,-69.0,-86.0
85057,-100.0,-69.0,-86.0
85072,-100.0,-69.0,-86.0
85074,-100.0,-69.0,-86.0
85088,-100.0,-69.0,-86.0
85090,-100.0,-69.0,-86.0
85105,-100.0,-69.0,-86.0
85107,-100.0,-69.0,-86.0
85122,-100.0,-69.0,-86.0
85240,-100.0,-69.0,-86.0
85256,-100.0,-69.0,-86.0
85258,-100.0,-69.0,-86.0
85271,-100.0,-69.0,-86.0
85274,-100.0,-69.0,-86.0
85288,-100.0,-69.0,-86.0
85291,-100.0,-69.0,-86.0
85305,-100.0,-69.0,-86.0
85307,-100.0,-69.0,-86.0
85321,-100.0,-69.0,-86.0
85328,-100.0,-69.0,-86.0
85338,-100.0,-69.0,-86.0
85340,-100.0,-69.0,-86.0
85355,-100.0,-69.0,-86.0
85357,-100.0,-69.0,-86.0
85371,-100.0,-69.0,-86.0
85378,-100.0,-69.0,-86.0
85388,-100.0,-69.0,-86.0
85391,-100.0,-69.0,-86.0
85405,-100.0,-69.0,-86.0
85408,-100.0,-69.0,-86.0
85423,-100.0,-69.0,-86.0
85553,-100.0,-69.0,-86.0
85656,-100.0,-68.875,-86.0
85673,-100.0,-68.75,-86.0
85675,-100.0,-68.625,-86.0
85688,-100.0,-68.5,-86.0
85691,-100.0,-68.375,-86.0
85704,-100.0,-68.25,-86.0
85710,-100.0,-68.125,-86.0
85718,-100.0,-68.0,-86.0
85721,-100.0,-68.0,-86.0
85724,-100.0,-68.0,-86.0
85739,-100.0,-68.0,-86.0
85742,-100.0,-68.0,-86.0
85754,-100.0,-68.0,-86.0
85757,-100.0,-68.0,-86.0
85772,-100.0,-68.0,-86.0
85774,-100.0,-68.0,-86.0
