,AM2RT8BYNQFDR,A3TDR6MXS6UO5,A1CF1W8CP0DHB,A1CRR9EZ64R0P
24433,-62.0,-100.0,,
24443,-62.0,-100.0,,
24451,-62.0,-100.0,,
24459,-62.0,-100.0,,
24467,-62.0,-100.0,,
24477,-62.0,-100.0,,
24483,-62.0,-100.0,,
24495,-62.0,-100.0,,
24499,-62.0,-100.0,,
24502,-62.0,-100.0,,
24519,-62.0,-100.0,,
24534,-62.0,-100.0,,
24539,-62.0,-100.0,,
24571,-62.0,-100.0,,
24607,-62.0,-100.0,,
24625,-62.0,-100.0,,
24659,-62.0,-100.0,,
24694,-62.0,-100.0,,
24712,-62.0,-100.0,,
24719,-62.0,-100.0,,
24753,-62.0,-100.0,,
24762,-62.0,-100.0,,
24771,-62.0,-99.5,,
24784,-62.0,-99.0,,
24788,-62.0,-98.33333333333333,,
24806,-62.0,-97.66666666666667,,
24819,-62.0,-97.0,,
24824,-62.0,-96.5,,
24837,-62.0,-96.0,,
24856,-62.0,-96.0,,
24858,-62.0,-95.5,,
24876,-62.0,-95.0,,
24896,-62.0,-93.0,,
24911,-62.0,-93.0,,
24935,-62.0,-93.0,,
24953,-62.0,-93.0,,
24983,-62.0,-93.0,,
24988,-62.0,-93.0,,
25002,-62.0,-93.0,,
25009,-62.0,-93.0,,
25018,-62.0,-93.0,,
25033,-62.0,-93.0,,
25049,-62.0,-93.0,,
25066,-62.0,-93.0,,
25083,-62.0,-93.0,,
25099,-62.0,-93.0,,
25116,-62.0,-93.0,,
25133,-62.0,-93.0,,
25188,-62.0,-93.0,,
25204,-61.0,-93.0,,
25238,-59.0,-93.0,,
25254,-58.0,-93.0,,
25271,-57.0,-93.0,,
25288,-56.0,-93.0,,
25321,-54.0,-93.0,,
25338,-53.0,-93.0,,
25355,-51.0,-93.0,,
25371,-50.0,-93.0,,
25388,-49.0,-93.0,,
25404,-48.0,-93.0,,
25421,-47.0,-93.0,,
25438,-46.0,-93.0,,
25454,-45.0,-93.0,,
25489,-43.0,-93.0,,
25521,-40.0,-93.0,,
27583,-40.0,-93.0,,
27584,-40.0,-93.0,,
27598,-40.0,-93.0,,
27854,-40.0,-93.0,,
27965,-40.0,-93.0,,
28354,-40.0,-93.0,,
28453,-40.0,-93.0,,
28509,-40.0,-93.0,,
28528,-40.0,-93.0,,
28562,-40.0,-93.0,,
28568,-40.0,-93.0,,
28587,-40.0,-93.0,,
28602,-40.0,-93.0,,
28622,-40.0,-93.0,,
28638,-40.0,-93.0,,
28657,-40.0,-93.0,,
28682,-40.0,-93.0,,
28709,-40.0,-93.0,,
28715,-40.0,-93.0,,
28728,-40.0,-93.0,,
28743,-40.0,-93.0,,
28762,-40.0,-93.0,,
28785,-40.0,-93.0,,
28801,-40.0,-93.0,,
28819,-40.0,-93.0,,
28838,-40.0,-93.0,,
28856,-40.0,-93.0,,
28874,-40.0,-93.0,,
28893,-40.0,-93.0,,
28904,-40.0,-93.0,,
28957,-40.0,-93.0,,
28972,-40.0,-93.0,,
29002,-40.0,-93.0,,
29121,-40.0,-93.0,,
29127,-40.0,-93.0,,
29143,-40.0,-93.0,,
29163,-40.0,-93.0,,
29233,-40.0,-93.0,,
29252,-40.0,-93.0,,
29267,-40.0,-93.0,,
