,AYYSG3O9FNU15,AOEGJLWFISOZQ,A4FNENGCDFSOG,AJE5OG666CBAC
235774,-100.0,-100.0,-100.0,
235782,-100.0,-100.0,-100.0,
235785,-100.0,-100.0,-100.0,
235786,-100.0,-100.0,-100.0,
235797,-100.0,-100.0,-100.0,
235798,-100.0,-100.0,-100.0,
235810,-100.0,-100.0,-100.0,
235813,-100.0,-100.0,-100.0,
235815,-100.0,-100.0,-100.0,
235817,-100.0,-100.0,-100.0,
235830,-100.0,-100.0,-100.0,
235831,-100.0,-100.0,-100.0,
235834,-100.0,-100.0,-100.0,
235843,-100.0,-100.0,-100.0,
235847,-100.0,-100.0,-100.0,
235849,-100.0,-100.0,-100.0,
235863,-100.0,-100.0,-100.0,
235865,-100.0,-100.0,-100.0,
235873,-100.0,-100.0,-100.0,
235880,-100.0,-100.0,-100.0,
235881,-100.0,-100.0,-100.0,
235893,-100.0,-100.0,-100.0,
235896,-100.0,-100.0,-100.0,
235898,-100.0,-100.0,-100.0,
235901,-100.0,-100.0,-100.0,
235913,-100.0,-100.0,-100.0,
235915,-100.0,-100.0,-100.0,
235925,-100.0,-100.0,-100.0,
235930,-100.0,-100.0,-100.0,
235933,-100.0,-100.0,-100.0,
235952,-100.0,-100.0,-100.0,
235959,-100.0,-100.0,-100.0,
235981,-100.0,-100.0,-100.0,
235988,-100.0,-100.0,-100.0,
236009,-100.0,-100.0,-100.0,
236018,-100.0,-100.0,-100.0,
236035,-100.0,-100.0,-100.0,
236045,-100.0,-100.0,-100.0,
236067,-100.0,-100.0,-100.0,
236076,-100.0,-100.0,-100.0,
236093,-100.0,-100.0,-100.0,
236105,-100.0,-100.0,-100.0,
236126,-100.0,-100.0,-100.0,
236140,-100.0,-100.0,-100.0,
236159,-100.0,-100.0,-100.0,
236171,-100.0,-100.0,-100.0,
236191,-100.0,-100.0,-100.0,
236202,-100.0,-100.0,-100.0,
236218,-100.0,-100.0,-100.0,
236230,-100.0,-100.0,-100.0,
236249,-100.0,-100.0,-100.0,
236250,-100.0,-100.0,-100.0,
236258,-100.0,-99.5,-100.0,
236267,-100.0,-99.0,-100.0,
236277,-100.0,-98.5,-100.0,
236283,-100.0,-98.0,-100.0,
236286,-100.0,-97.0,-100.0,
236299,-100.0,-96.0,-100.0,
236309,-100.0,-95.5,-100.0,
236316,-100.0,-95.0,-100.0,
236317,-100.0,-94.5,-100.0,
236333,-100.0,-94.0,-100.0,
236343,-100.0,-93.5,-100.0,
236349,-100.0,-93.0,-100.0,
236361,-100.0,-92.5,-100.0,
236366,-100.0,-92.0,-100.0,
236368,-100.0,-91.5,-100.0,
236383,-100.0,-91.0,-100.0,
236384,-100.0,-90.66666666666667,-100.0,
236394,-100.0,-90.33333333333333,-100.0,
236399,-100.0,-90.0,-100.0,
236416,-100.0,-89.0,-100.0,
236429,-100.0,-88.5,-100.0,
236433,-100.0,-88.0,-100.0,
236451,-100.0,-88.0,-100.0,
236459,-100.0,-88.0,-100.0,
236479,-100.0,-88.0,-100.0,
236487,-100.0,-88.0,-100.0,
236508,-100.0,-88.0,-100.0,
236516,-100.0,-88.0,-100.0,
236535,-100.0,-88.0,-100.0,
236541,-100.0,-88.0,-100.0,
236568,-100.0,-88.0,-100.0,
236575,-100.0,-88.0,-100.0,
236598,-100.0,-88.0,-100.0,
236608,-100.0,-88.0,-100.0,
236640,-100.0,-88.0,-100.0,
237414,-100.0,-88.0,-100.0,
237431,-100.0,-88.0,-100.0,
237432,-100.0,-88.0,-100.0,
237447,-100.0,-88.0,-100.0,
237448,-100.0,-88.0,-100.0,
237463,-100.0,-88.0,-100.0,
237465,-100.0,-88.0,-100.0,
237480,-100.0,-88.0,-100.0,
237481,-100.0,-88.0,-100.0,
237497,-100.0,-88.0,-100.0,
237498,-100.0,-88.0,-100.0,
237513,-100.0,-88.0,-100.0,
