,ACBG07QLGIDP0,AOEGJLWFISOZQ,ACM1CEGHXTKZP
46056,-100.0,-100.0,-100.0
46059,-100.0,-100.0,-100.0
46073,-100.0,-100.0,-100.0
46075,-100.0,-100.0,-100.0
46090,-100.0,-100.0,-100.0
46092,-100.0,-100.0,-100.0
46107,-100.0,-100.0,-100.0
46109,-100.0,-100.0,-100.0
46124,-100.0,-100.0,-100.0
46125,-100.0,-100.0,-100.0
46140,-100.0,-100.0,-100.0
46142,-100.0,-100.0,-100.0
46157,-100.0,-100.0,-100.0
46174,-100.0,-100.0,-100.0
46341,-100.0,-100.0,-100.0
46358,-100.0,-100.0,-100.0
46374,-100.0,-100.0,-100.0
46391,-100.0,-100.0,-100.0
46408,-100.0,-100.0,-100.0
46424,-100.0,-100.0,-100.0
46441,-100.0,-100.0,-100.0
46546,-100.0,-100.0,-100.0
46567,-100.0,-100.0,-100.0
46575,-100.0,-100.0,-100.0
46592,-100.0,-100.0,-100.0
46594,-100.0,-100.0,-100.0
46608,-100.0,-100.0,-100.0
46622,-100.0,-100.0,-100.0
46625,-100.0,-100.0,-100.0
46642,-100.0,-100.0,-100.0
46649,-100.0,-100.0,-100.0
46659,-100.0,-100.0,-100.0
46662,-100.0,-100.0,-100.0
46675,-100.0,-100.0,-100.0
46682,-100.0,-100.0,-100.0
46700,-100.0,-100.0,-100.0
46764,-100.0,-100.0,-100.0
46798,-100.0,-100.0,-100.0
46846,-100.0,-100.0,-100.0
46876,-100.0,-100.0,-100.0
46893,-100.0,-100.0,-100.0
46896,-100.0,-100.0,-100.0
46910,-100.0,-100.0,-100.0
46913,-100.0,-100.0,-100.0
46945,-100.0,-100.0,-100.0
46979,-100.0,-100.0,-100.0
46996,-100.0,-100.0,-100.0
47029,-100.0,-100.0,-100.0
47062,-100.0,-100.0,-100.0
47447,-100.0,-100.0,-100.0
47465,-100.0,-100.0,-100.0
47489,-100.0,-100.0,-100.0
47499,-100.0,-100.0,-100.0
47526,-100.0,-100.0,-100.0
47531,-100.0,-100.0,-100.0
47537,-100.0,-100.0,-100.0
47542,-100.0,-100.0,-100.0
47556,-100.0,-100.0,-100.0
47559,-100.0,-100.0,-100.0
47567,-100.0,-100.0,-100.0
47576,-100.0,-100.0,-100.0
47592,-100.0,-100.0,-100.0
47608,-100.0,-100.0,-100.0
48529,-100.0,-100.0,-100.0
48550,-100.0,-100.0,-100.0
48580,-100.0,-100.0,-100.0
48595,-100.0,-100.0,-100.0
48616,-100.0,-100.0,-100.0
48632,-100.0,-100.0,-100.0
48644,-100.0,-100.0,-100.0
48665,-100.0,-100.0,-100.0
48679,-100.0,-100.0,-100.0
48696,-100.0,-100.0,-100.0
53719,-100.0,-100.0,-100.0
53737,-100.0,-100.0,-100.0
53753,-100.0,-100.0,-100.0
53770,-100.0,-100.0,-100.0
53786,-100.0,-100.0,-100.0
53803,-100.0,-100.0,-100.0
53819,-100.0,-100.0,-100.0
53836,-100.0,-100.0,-100.0
53853,-100.0,-100.0,-100.0
53879,-100.0,-100.0,-100.0
53897,-100.0,-100.0,-100.0
53920,-100.0,-100.0,-100.0
53928,-100.0,-100.0,-100.0
53949,-100.0,-100.0,-100.0
53963,-100.0,-100.0,-100.0
53991,-100.0,-100.0,-100.0
54316,-100.0,-100.0,-100.0
54332,-100.0,-100.0,-100.0
54355,-100.0,-100.0,-100.0
54361,-100.0,-100.0,-100.0
54379,-100.0,-100.0,-100.0
54399,-100.0,-100.0,-100.0
54412,-100.0,-100.0,-100.0
54665,-100.0,-100.0,-100.0
54685,-100.0,-100.0,-100.0
54708,-100.0,-100.0,-100.0
54717,-100.0,-100.0,-100.0
54735,-100.0,-100.0,-100.0
54746,-100.0,-100.0,-100.0
54768,-100.0,-100.0,-100.0
54788,-100.0,-100.0,-100.0
54798,-100.0,-100.0,-100.0
54998,-100.0,-100.0,-100.0
55017,-100.0,-100.0,-100.0
55112,-100.0,-100.0,-100.0
55131,-100.0,-100.0,-100.0
55284,-100.0,-100.0,-100.0
55298,-100.0,-100.0,-100.0
55312,-100.0,-100.0,-100.0
55349,-100.0,-100.0,-100.0
55355,-100.0,-100.0,-100.0
55376,-100.0,-100.0,-100.0
55384,-100.0,-100.0,-100.0
55595,-100.0,-100.0,-100.0
55613,-100.0,-100.0,-100.0
55635,-100.0,-100.0,-100.0
55645,-100.0,-100.0,-100.0
55665,-100.0,-100.0,-100.0
55678,-100.0,-100.0,-100.0
55699,-100.0,-100.0,-100.0
55713,-100.0,-100.0,-100.0
78508,-100.0,-100.0,-100.0
78526,-100.0,-100.0,-100.0
78542,-100.0,-100.0,-100.0
78559,-100.0,-100.0,-100.0
78575,-100.0,-100.0,-100.0
78592,-100.0,-100.0,-100.0
78609,-100.0,-100.0,-100.0
78625,-100.0,-100.0,-100.0
78642,-100.0,-100.0,-100.0
78658,-100.0,-100.0,-100.0
78675,-100.0,-100.0,-100.0
78692,-100.0,-100.0,-100.0
78709,-100.0,-100.0,-100.0
78725,-100.0,-100.0,-100.0
78741,-100.0,-100.0,-100.0
78759,-100.0,-100.0,-100.0
78776,-100.0,-100.0,-100.0
78791,-100.0,-100.0,-100.0
78809,-100.0,-100.0,-100.0
78826,-100.0,-100.0,-100.0
78842,-100.0,-100.0,-100.0
78859,-100.0,-100.0,-100.0
78875,-100.0,-100.0,-100.0
78891,-100.0,-100.0,-100.0
78908,-100.0,-100.0,-100.0
78925,-100.0,-100.0,-100.0
78941,-100.0,-100.0,-100.0
78959,-100.0,-100.0,-100.0
78975,-100.0,-100.0,-100.0
78991,-100.0,-100.0,-100.0
79009,-100.0,-100.0,-100.0
79027,-100.0,-100.0,-100.0
79742,-100.0,-100.0,-100.0
79759,-100.0,-100.0,-100.0
79775,-100.0,-100.0,-100.0
79792,-100.0,-100.0,-100.0
79809,-100.0,-100.0,-100.0
79825,-100.0,-100.0,-100.0
79842,-100.0,-100.0,-100.0
79859,-100.0,-100.0,-100.0
79875,-100.0,-100.0,-100.0
79892,-100.0,-100.0,-100.0
79909,-100.0,-100.0,-100.0
83442,-100.0,-100.0,-100.0
83459,-100.0,-100.0,-100.0
83475,-100.0,-100.0,-100.0
83491,-100.0,-100.0,-100.0
83508,-100.0,-100.0,-100.0
83525,-100.0,-100.0,-100.0
83541,-100.0,-100.0,-100.0
83559,-100.0,-100.0,-100.0
83575,-100.0,-100.0,-100.0
83591,-100.0,-100.0,-100.0
83609,-100.0,-100.0,-100.0
83625,-100.0,-100.0,-100.0
84260,-100.0,-100.0,-100.0
84279,-100.0,-100.0,-100.0
84326,-100.0,-100.0,-100.0
84343,-100.0,-100.0,-100.0
84359,-100.0,-100.0,-100.0
84376,-100.0,-100.0,-100.0
84396,-100.0,-100.0,-100.0
84410,-100.0,-100.0,-100.0
84435,-100.0,-100.0,-100.0
84643,-100.0,-100.0,-100.0
84662,-100.0,-100.0,-100.0
84697,-100.0,-100.0,-100.0
84710,-100.0,-100.0,-100.0
84726,-100.0,-100.0,-100.0
84743,-100.0,-100.0,-100.0
84759,-100.0,-100.0,-100.0
84780,-100.0,-100.0,-100.0
84945,-100.0,-100.0,-100.0
84962,-100.0,-100.0,-100.0
84987,-100.0,-100.0,-100.0
84993,-100.0,-100.0,-100.0
85016,-100.0,-100.0,-100.0
85028,-100.0,-100.0,-100.0
88298,-100.0,-100.0,-100.0
88316,-100.0,-100.0,-100.0
88346,-100.0,-100.0,-100.0
88361,-100.0,-100.0,-100.0
88379,-100.0,-100.0,-100.0
88396,-100.0,-100.0,-100.0
88413,-100.0,-100.0,-100.0
88431,-100.0,-100.0,-100.0
88603,-100.0,-100.0,-100.0
88616,-100.0,-100.0,-100.0
88646,-100.0,-100.0,-100.0
88660,-100.0,-100.0,-100.0
88677,-100.0,-100.0,-100.0
88699,-100.0,-100.0,-100.0
88713,-100.0,-100.0,-100.0
88732,-100.0,-100.0,-100.0
88753,-100.0,-100.0,-100.0
88813,-100.0,-100.0,-100.0
88832,-100.0,-100.0,-100.0
88850,-100.0,-100.0,-100.0
88861,-100.0,-100.0,-100.0
88877,-100.0,-100.0,-100.0
88894,-100.0,-100.0,-100.0
88923,-100.0,-100.0,-100.0
88933,-100.0,-100.0,-100.0
89626,-100.0,-100.0,-100.0
89646,-100.0,-100.0,-100.0
89666,-100.0,-100.0,-100.0
89677,-100.0,-100.0,-100.0
89705,-100.0,-100.0,-100.0
89713,-100.0,-100.0,-100.0
90259,-100.0,-100.0,-100.0
90275,-100.0,-100.0,-100.0
90292,-100.0,-100.0,-100.0
90309,-100.0,-100.0,-100.0
90325,-100.0,-100.0,-100.0
90342,-100.0,-100.0,-100.0
90359,-100.0,-100.0,-100.0
90375,-100.0,-100.0,-100.0
90392,-100.0,-100.0,-100.0
90409,-100.0,-100.0,-100.0
90425,-100.0,-100.0,-100.0
90442,-100.0,-100.0,-100.0
90942,-100.0,-100.0,-100.0
90959,-100.0,-100.0,-100.0
90975,-100.0,-100.0,-100.0
90992,-100.0,-100.0,-100.0
91009,-100.0,-100.0,-100.0
91025,-100.0,-100.0,-100.0
91042,-100.0,-100.0,-100.0
91059,-100.0,-100.0,-100.0
