,A3QFK8SWWMHIW,A3BPENSX5EVJ2,A2XZXWD30F6AN
69868,-100.0,-91.33333333333333,-81.0
69895,-100.0,-91.0,-81.0
69924,-100.0,-91.0,-81.0
69935,-100.0,-91.0,-81.0
69953,-100.0,-91.0,-81.0
69959,-100.0,-91.0,-81.0
69962,-100.0,-91.0,-81.0
69963,-100.0,-91.0,-81.0
69982,-100.0,-91.0,-81.0
69985,-100.0,-91.0,-81.0
69989,-100.0,-91.0,-81.0
69998,-100.0,-90.83333333333333,-81.0
70006,-100.0,-90.66666666666667,-81.0
70014,-100.0,-90.5,-81.0
70021,-100.0,-90.33333333333333,-81.0
70022,-100.0,-90.16666666666667,-81.0
70033,-100.0,-90.0,-81.0
70035,-100.0,-90.0,-81.0
70047,-100.0,-90.0,-81.0
70051,-100.0,-90.0,-81.0
70064,-100.0,-90.0,-81.0
70067,-100.0,-90.0,-81.0
70083,-100.0,-90.0,-81.0
70086,-100.0,-90.0,-81.0
70088,-100.0,-90.0,-81.0
70100,-100.0,-90.0,-81.0
70114,-100.0,-90.0,-81.0
70118,-100.0,-90.0,-81.0
70120,-100.0,-90.0,-81.0
70132,-100.0,-90.0,-81.0
70134,-100.0,-90.0,-81.0
70137,-100.0,-90.0,-81.0
70142,-100.0,-90.0,-81.0
70153,-100.0,-90.0,-81.0
70154,-100.0,-90.0,-81.0
70159,-100.0,-90.0,-81.0
70160,-100.0,-90.0,-81.0
70162,-100.0,-89.92307692307692,-81.0
70174,-100.0,-89.84615384615384,-81.0
70177,-100.0,-89.76923076923077,-81.0
70179,-100.0,-89.6923076923077,-81.0
70182,-100.0,-89.61538461538461,-81.0
70195,-100.0,-89.53846153846153,-81.0
70197,-100.0,-89.46153846153847,-81.0
70198,-100.0,-89.38461538461539,-81.0
70213,-100.0,-89.3076923076923,-81.0
70214,-100.0,-89.23076923076923,-81.0
70230,-100.0,-89.15384615384616,-81.0
70232,-100.0,-89.07692307692308,-81.0
70234,-100.0,-89.0,-81.0
70247,-100.0,-88.92307692307692,-81.0
70250,-100.0,-88.84615384615384,-81.0
70264,-100.0,-88.76923076923077,-81.0
70266,-100.0,-88.6923076923077,-81.0
70267,-100.0,-88.61538461538461,-81.0
70271,-100.0,-88.53846153846153,-81.0
70280,-100.0,-88.46153846153847,-81.0
70283,-100.0,-88.38461538461539,-81.0
70284,-100.0,-88.3076923076923,-81.0
70291,-100.0,-88.23076923076923,-81.0
70300,-100.0,-88.15384615384616,-81.0
70301,-100.0,-88.07692307692308,-81.0
70302,-100.0,-88.0,-81.0
70319,-100.0,-88.0,-81.0
70320,-100.0,-88.0,-81.0
70324,-100.0,-88.0,-81.0
70336,-100.0,-88.0,-81.0
70339,-100.0,-88.0,-81.0
70352,-100.0,-88.0,-81.0
70354,-100.0,-88.0,-81.0
70361,-100.0,-88.0,-81.0
70363,-100.0,-88.0,-81.0
70371,-100.0,-88.0,-81.0
70372,-100.0,-88.0,-81.0
70378,-100.0,-88.0,-81.0
70380,-100.0,-88.0,-81.0
70381,-100.0,-88.0,-81.0
70396,-100.0,-88.0,-81.0
70398,-100.0,-88.0,-81.0
70407,-100.0,-87.9090909090909,-81.0
70412,-100.0,-87.81818181818181,-81.0
70413,-100.0,-87.72727272727273,-81.0
70414,-100.0,-87.63636363636364,-81.0
70423,-100.0,-87.54545454545455,-81.0
70430,-100.0,-87.45454545454545,-81.0
70432,-100.0,-87.36363636363636,-81.0
70448,-100.0,-87.27272727272727,-81.0
70449,-100.0,-87.18181818181819,-81.0
70450,-100.0,-87.0909090909091,-81.0
70456,-100.0,-87.0,-81.0
70466,-100.0,-86.9090909090909,-81.0
70483,-100.0,-86.81818181818181,-81.0
70501,-100.0,-86.72727272727273,-81.0
70516,-100.0,-86.63636363636364,-81.0
70518,-100.0,-86.54545454545455,-81.0
70519,-100.0,-86.45454545454545,-81.0
70533,-100.0,-86.36363636363636,-81.0
70535,-100.0,-86.27272727272727,-81.0
70536,-100.0,-86.18181818181819,-81.0
70553,-100.0,-86.0909090909091,-81.0
70555,-100.0,-86.0,-81.0
70560,-100.0,-86.0,-81.0
70571,-100.0,-86.0,-81.0
70577,-100.0,-86.0,-81.0
70578,-100.0,-86.0,-81.0
70584,-100.0,-86.0,-81.0
70595,-100.0,-86.0,-81.0
70596,-100.0,-86.0,-81.0
70613,-100.0,-86.0,-81.0
70629,-100.0,-86.0,-81.0
70630,-100.0,-86.0,-81.0
