,A2APLCDM5WB4D,AZSSG2REHDX18,AF8GOPFSTWCH8,AD2M4BF7KYVQW,ASL9LVC97FUCZ
6653,-63.0,-100.0,,-100.0,
6670,-62.5,-100.0,,-100.0,
6675,-62.0,-100.0,,-100.0,
6686,-61.5,-100.0,,-100.0,
6703,-61.0,-100.0,,-100.0,
6720,-60.5,-100.0,,-100.0,
6731,-60.0,-100.0,,-100.0,
6736,-59.666666666666664,-100.0,,-100.0,
6753,-59.333333333333336,-100.0,,-100.0,
6764,-59.0,-100.0,,-100.0,
6781,-58.666666666666664,-100.0,,-100.0,
6798,-58.333333333333336,-100.0,,-100.0,
6815,-58.0,-100.0,,-100.0,
6830,-57.666666666666664,-100.0,,-100.0,
6848,-57.333333333333336,-100.0,,-100.0,
6961,-57.0,-100.0,,-100.0,
7021,-56.0,-100.0,,-100.0,
7061,-55.0,-100.0,,-100.0,
7091,-54.5,-100.0,,-100.0,
7092,-54.0,-100.0,,-100.0,-42.0
7098,-53.5,-100.0,,-100.0,-41.0
7102,-53.0,-100.0,,-100.0,-39.0
7109,-52.857142857142854,-100.0,,-100.0,-37.0
7126,-52.714285714285715,-100.0,,-100.0,-36.0
7143,-52.57142857142857,-100.0,,-100.0,-35.0
7159,-52.42857142857143,-100.0,,-100.0,-34.0
7176,-52.285714285714285,-100.0,,-100.0,-33.0
7194,-52.142857142857146,-100.0,,-100.0,-32.0
7381,-52.0,-100.0,,-100.0,-32.0
7441,-51.0,-100.0,,-100.0,-32.0
7483,-49.0,-100.0,,-100.0,-32.0
7541,-47.0,-100.0,,-100.0,-32.0
7941,-44.0,-100.0,,-100.0,-32.0
8001,-43.0,-100.0,,-100.0,-32.0
8028,-42.333333333333336,-100.0,,-100.0,-32.0
8045,-41.666666666666664,-100.0,,-100.0,-32.0
8061,-41.0,-100.0,,-100.0,-32.0
8062,-40.666666666666664,-100.0,,-100.0,-32.0
8078,-40.333333333333336,-100.0,,-100.0,-32.0
8095,-40.0,-100.0,,-100.0,-32.0
8112,-39.666666666666664,-100.0,,-100.0,-32.0
8128,-39.333333333333336,-100.0,,-100.0,-32.0
8145,-39.0,-100.0,,-100.0,-32.0
8162,-38.666666666666664,-100.0,,-100.0,-32.0
8178,-38.333333333333336,-100.0,,-100.0,-32.0
8195,-38.0,-100.0,,-100.0,-32.0
8213,-37.666666666666664,-100.0,,-100.0,-32.0
8228,-37.333333333333336,-100.0,,-100.0,-32.0
8245,-37.0,-100.0,,-100.0,-32.0
8262,-36.666666666666664,-100.0,,-100.0,-32.0
8279,-36.333333333333336,-100.0,,-100.0,-32.0
8284,-36.0,-100.0,,-100.0,-32.0
8295,-35.75,-100.0,,-100.0,-32.0
8312,-35.5,-100.0,,-100.0,-32.0
8329,-35.25,-100.0,,-100.0,-32.0
8341,-35.0,-100.0,,-100.0,-32.0
8346,-34.6,-100.0,,-100.0,-32.0
8362,-34.2,-100.0,,-100.0,-32.0
8379,-33.8,-100.0,,-100.0,-32.0
8396,-33.4,-100.0,,-100.0,-32.0
8401,-33.0,-100.0,,-100.0,-32.0
8412,-32.5,-100.0,,-100.0,-32.0
8429,-32.0,-100.0,,-100.0,-32.0
8431,-31.5,-100.0,,-100.0,-32.0
8444,-31.0,-100.0,,-100.0,-32.0
8446,-31.0,-100.0,,-100.0,-32.0
8453,-31.0,-100.0,,-100.0,-32.0
8462,-31.0,-100.0,,-100.0,-32.0
8479,-31.0,-100.0,,-100.0,-32.0
8480,-31.0,-100.0,,-100.0,-32.0
8496,-31.0,-100.0,,-100.0,-32.0
8497,-31.0,-100.0,,-100.0,-32.0
8512,-31.0,-100.0,,-100.0,-32.0
8515,-31.0,-100.0,,-100.0,-32.0
8530,-31.0,-100.0,,-100.0,-32.0
