,AYTF9Q5TZX4IK,AF50K5H2FJWW0,AF8GOPFSTWCH8
30255,-77.0,-100.0,
30275,-77.0,-100.0,
30289,-77.0,-100.0,
30319,-77.0,-100.0,
30335,-77.0,-100.0,
30348,-77.0,-100.0,
30367,-77.0,-100.0,
30388,-77.0,-100.0,
30399,-77.0,-100.0,
30414,-77.0,-100.0,
30429,-77.0,-100.0,
30449,-77.0,-100.0,
30477,-77.0,-100.0,
30484,-77.0,-100.0,
30494,-77.0,-100.0,
30515,-77.0,-100.0,
30526,-77.0,-100.0,
30633,-77.0,-100.0,
30668,-77.0,-100.0,
30750,-77.0,-100.0,
30773,-77.0,-100.0,
30839,-77.0,-100.0,
30857,-77.0,-100.0,
30898,-77.0,-100.0,
30913,-77.0,-100.0,
30973,-77.0,-100.0,
30997,-77.0,-100.0,
31070,-77.0,-100.0,
31090,-77.0,-100.0,
31104,-77.0,-100.0,
31119,-77.0,-100.0,
31172,-77.0,-100.0,
31173,-77.0,-100.0,
32253,-77.0,-100.0,
32254,-77.0,-100.0,
32272,-77.0,-100.0,
32359,-77.0,-100.0,
32371,-77.0,-100.0,
32479,-77.0,-100.0,
32491,-77.0,-100.0,
32526,-77.0,-100.0,
32540,-77.0,-100.0,
32616,-77.0,-100.0,
32628,-77.0,-100.0,
32641,-77.0,-100.0,
32649,-77.0,-100.0,
32722,-77.0,-100.0,
32731,-77.0,-100.0,
32835,-77.0,-100.0,
32853,-77.0,-100.0,
32904,-77.0,-100.0,
32990,-77.0,-100.0,
33002,-77.0,-100.0,
33026,-77.0,-100.0,
33089,-77.0,-100.0,
33104,-77.0,-100.0,
33156,-77.0,-100.0,
33231,-77.0,-100.0,
33249,-77.0,-100.0,
33331,-77.0,-100.0,
33451,-77.0,-100.0,
33477,-77.0,-100.0,
33512,-77.0,-100.0,
33582,-77.0,-100.0,
33583,-77.0,-100.0,
35065,-77.0,-100.0,
35066,-77.0,-100.0,
35101,-77.0,-100.0,
35120,-77.0,-100.0,
35129,-77.0,-100.0,
35147,-77.0,-100.0,
35165,-77.0,-100.0,
35181,-77.0,-100.0,
35239,-77.0,-100.0,
35255,-77.0,-100.0,
35268,-77.0,-100.0,
35279,-77.0,-100.0,
35300,-77.0,-100.0,
35317,-77.0,-100.0,
35365,-77.0,-100.0,
35371,-77.0,-100.0,
35398,-77.0,-100.0,
35423,-77.0,-100.0,
35438,-77.0,-100.0,
35499,-77.0,-100.0,
35529,-77.0,-100.0,
35537,-77.0,-100.0,
35555,-77.0,-100.0,
35571,-77.0,-100.0,
35600,-77.0,-100.0,
35614,-77.0,-100.0,
35630,-77.0,-100.0,
35646,-77.0,-100.0,
35660,-77.0,-100.0,
35678,-77.0,-100.0,
35710,-77.0,-100.0,
35739,-77.0,-100.0,
35768,-77.0,-100.0,
35780,-77.0,-100.0,
35797,-77.0,-100.0,
35828,-77.0,-100.0,
35922,-77.0,-100.0,
35932,-77.0,-100.0,
35968,-77.0,-100.0,
36020,-77.0,-100.0,
36087,-77.0,-100.0,
36106,-77.0,-100.0,
36168,-77.0,-100.0,
36203,-77.0,-100.0,
36266,-77.0,-100.0,
36287,-77.0,-100.0,
36320,-77.0,-100.0,
36345,-77.0,-100.0,
36459,-77.0,-100.0,
36481,-77.0,-100.0,
36496,-77.0,-100.0,
36514,-77.0,-100.0,
36532,-77.0,-100.0,
36583,-77.0,-100.0,
36607,-77.0,-100.0,
36620,-77.0,-100.0,
36637,-77.0,-100.0,
36649,-77.0,-100.0,
36677,-77.0,-100.0,
36689,-77.0,-100.0,
36715,-77.0,-100.0,
36729,-77.0,-100.0,
36753,-77.0,-100.0,
36789,-77.0,-100.0,
36838,-77.0,-100.0,
36919,-77.0,-100.0,
36941,-77.0,-100.0,
36969,-77.0,-100.0,
37055,-77.0,-100.0,
37088,-77.0,-100.0,
37118,-77.0,-100.0,
37136,-77.0,-100.0,
37155,-77.0,-100.0,
37180,-77.0,-100.0,
37198,-77.0,-100.0,
37213,-77.0,-100.0,
37225,-77.0,-100.0,
37241,-77.0,-100.0,
37250,-77.5,-100.0,
37276,-78.0,-100.0,
37283,-78.5,-100.0,
37293,-79.0,-100.0,
37319,-79.5,-100.0,
37322,-80.0,-100.0,
37332,-81.0,-100.0,
37357,-82.0,-100.0,
37365,-82.04545454545455,-100.0,
37419,-82.0909090909091,-100.0,
37455,-82.13636363636364,-100.0,
37470,-82.18181818181819,-100.0,
37490,-82.22727272727273,-100.0,
37501,-82.27272727272727,-100.0,
37574,-82.31818181818181,-100.0,
37590,-82.36363636363636,-100.0,
37631,-82.4090909090909,-100.0,
37653,-82.45454545454545,-100.0,
37765,-82.5,-100.0,
37777,-82.54545454545455,-100.0,
37793,-82.5909090909091,-100.0,
37812,-82.63636363636364,-100.0,
37833,-82.68181818181819,-100.0,
37982,-82.72727272727273,-100.0,
38000,-82.77272727272727,-100.0,
38012,-82.81818181818181,-100.0,
38031,-82.86363636363636,-100.0,
38049,-82.9090909090909,-100.0,
38126,-82.95454545454545,-100.0,
38146,-83.0,-100.0,
38163,-83.33333333333333,-100.0,
38170,-83.66666666666667,-100.0,
38193,-84.0,-100.0,
38200,-85.0,-100.0,
38228,-86.0,-100.0,
38229,,-100.0,
38247,,-100.0,
38268,,-100.0,
38283,,-100.0,
38300,,-100.0,
38321,,-100.0,
38322,,-100.0,-89.0
38332,,-100.0,-89.33333333333333
38358,,-100.0,-89.66666666666667
38368,,-100.0,-90.0
38372,,-100.0,-91.0
38392,,-100.0,-92.0
38403,,-100.0,-93.0
38413,,-100.0,-94.0
