,A9ZBEA4T2FNZ3,ADYYCYVBZE1V
58471,-45.5,-67.0
58482,-45.0,-66.5
58500,-44.5,-66.0
58505,-44.0,-65.0
58523,-43.0,-64.0
58525,-42.0,-63.666666666666664
58535,-41.0,-63.333333333333336
58553,-40.5,-63.0
58556,-40.0,-63.0
58577,-38.0,-63.0
58598,-37.0,-63.0
58619,-36.0,-63.0
58627,-35.0,-63.0
58640,-34.0,-62.5
58645,-33.5,-62.0
58661,-33.0,-61.5
58669,-32.5,-61.0
58682,-32.0,-60.0
58698,-31.0,-59.0
58703,-30.0,-58.5
58722,-29.5,-58.0
58724,-29.0,-58.0
58745,-28.0,-58.0
58756,-26.0,-58.0
58776,-25.0,-58.0
58797,-24.0,-58.0
58802,-23.0,-58.0
58817,-22.0,-57.5
58830,-21.5,-57.0
58839,-21.0,-56.666666666666664
58860,-20.0,-56.333333333333336
58861,-19.0,-56.0
58880,-18.0,-56.0
58902,-17.0,-56.0
58923,-16.0,-56.0
58943,-14.0,-56.0
58965,-13.0,-56.0
58975,-12.0,-56.0
58997,-10.0,-56.0
59017,-9.0,-56.0
59038,-8.0,-56.0
59059,-6.0,-56.0
59083,-5.0,-56.0
59122,-2.0,-56.0
59127,-1.5,-56.0
59143,-1.0,-55.5
59153,-0.5,-55.0
59164,0.0,-55.0
59185,2.0,-55.0
59195,3.0,-55.0
59217,4.0,-55.0
59237,6.0,-55.0
59258,7.0,-55.0
59280,8.0,-55.0
59301,10.0,-55.0
59302,10.5,-55.0
59321,11.0,-54.5
59328,11.75,-54.0
59359,12.5,-54.0
59362,13.25,-54.0
59364,14.0,-53.5
59376,14.5,-53.0
59384,15.0,-52.75
59390,15.5,-52.5
59395,16.0,-52.25
59402,17.0,-52.0
59416,18.0,-52.0
59432,18.5,-52.0
59437,19.0,-52.0
59445,19.333333333333332,-52.0
59453,19.666666666666668,-52.0
59458,20.0,-52.0
59471,21.0,-52.0
59479,22.0,-52.0
59480,22.333333333333332,-52.0
59499,22.666666666666668,-51.0
59500,23.0,-51.0
59512,23.5,-51.0
59521,24.0,-51.0
59523,24.666666666666668,-51.0
59529,25.333333333333332,-51.0
59542,26.0,-50.0
59554,26.333333333333332,-49.0
59556,26.666666666666668,-49.0
59564,27.0,-49.0
59578,27.5,-49.0
59584,28.0,-49.0
59589,28.666666666666668,-49.0
59602,29.333333333333332,-49.0
59605,30.0,-49.0
59610,30.5,-49.0
59616,31.0,-49.0
59618,31.333333333333332,-49.0
59633,31.666666666666668,-49.0
59636,32.0,-48.8
59647,32.666666666666664,-48.6
59655,33.333333333333336,-48.4
59658,34.0,-48.2
59659,34.333333333333336,-48.0
59672,34.666666666666664,-48.0
59679,35.0,-48.0
59685,35.333333333333336,-48.0
59695,35.666666666666664,-48.0
59699,36.0,-48.0
59706,36.666666666666664,-48.0
59719,37.333333333333336,-48.0
59721,38.0,-48.0
59729,38.333333333333336,-48.0
59739,38.666666666666664,-48.0
59742,39.0,-48.0
59762,40.0,-48.0
59776,41.0,-48.0
59784,42.0,-47.8
59791,42.5,-47.6
59805,43.0,-47.4
59806,43.333333333333336,-47.2
59809,43.666666666666664,-47.0
59815,44.0,-46.5
59817,45.0,-46.0
59836,46.0,-45.5
59845,46.5,-45.0
59859,47.0,-45.0
59860,47.333333333333336,-45.0
59872,47.666666666666664,-45.0
59878,48.0,-45.0
59881,48.5,-45.0
59890,49.0,-45.0
59898,49.5,-45.0
59899,50.0,-45.0
59908,50.333333333333336,-45.0
59918,50.666666666666664,-45.0
59920,51.0,-45.0
59930,51.333333333333336,-45.0
59932,51.666666666666664,-44.75
59941,52.0,-44.5
59955,52.666666666666664,-44.25
59956,53.333333333333336,-44.0
59962,54.0,-44.0
59965,54.333333333333336,-44.0
59973,54.666666666666664,-44.0
59983,55.0,-44.0
59985,55.5,-44.0
60004,56.0,-44.0
60016,56.666666666666664,-44.0
60024,57.333333333333336,-44.0
60025,58.0,-44.0
60036,59.0,-44.0
60037,59.333333333333336,-44.0
60055,59.666666666666664,-44.0
60057,60.0,-44.0
60062,60.666666666666664,-44.0
60072,61.333333333333336,-44.0
60077,62.0,-44.0
60079,62.2,-44.0
60084,62.4,-44.0
60087,62.6,-43.75
60098,62.8,-43.5
60099,63.0,-43.25
60106,63.333333333333336,-43.0
60117,63.666666666666664,-43.0
60119,64.0,-43.0
60134,64.66666666666667,-43.0
60137,65.33333333333333,-42.666666666666664
60140,66.0,-42.333333333333336
60148,66.5,-42.0
60160,67.0,-42.0
60165,67.33333333333333,-42.0
60174,67.66666666666667,-42.0
60182,68.0,-42.0
60190,68.66666666666667,-42.0
60202,69.33333333333333,-42.0
60203,70.0,-42.0
60211,70.5,-42.0
60223,71.0,-42.0
60226,71.33333333333333,-42.0
60235,71.66666666666667,-41.8
60245,72.0,-41.6
60248,73.0,-41.4
60255,74.0,-41.2
60258,74.5,-41.0
60276,75.0,-40.666666666666664
60277,75.25,-40.333333333333336
60280,75.5,-40.0
60289,75.75,-40.0
60297,76.0,-40.0
60304,76.66666666666667,-40.0
60314,77.33333333333333,-40.0
60318,78.0,-40.0
60321,78.5,-40.0
60339,79.0,-40.0
60361,80.0,-40.0
60365,80.66666666666667,-40.0
60374,81.33333333333333,-40.0
60381,82.0,-39.75
60386,82.25,-39.5
60395,82.5,-39.25
60401,82.75,-39.0
60402,83.0,-39.0
60407,83.33333333333333,-39.0
60414,83.66666666666667,-39.0
60424,84.0,-39.0
60430,84.66666666666667,-39.0
