,AHLS6AZ1VTNH7,A3UTSRN8QLKWE,A21V0SPZ59EEA
22225,-91.0,-100.0,
22249,-93.0,-100.0,
22274,-95.0,-100.0,
22301,-96.0,-100.0,
22324,-98.0,-100.0,
22350,-100.0,-100.0,
29196,-100.0,-100.0,
29211,-100.0,-100.0,
29222,-100.0,-100.0,
29244,-100.0,-100.0,
29249,-100.0,-100.0,
29277,-100.0,-100.0,
29282,-100.0,-100.0,
29294,-100.0,-100.0,
29299,-100.0,-100.0,
29312,-100.0,-100.0,
32178,-100.0,-100.0,
32194,-100.0,-100.0,
32198,-100.0,-100.0,
32210,-100.0,-100.0,
32213,-100.0,-100.0,
32227,-100.0,-100.0,
32230,-100.0,-100.0,
32244,-100.0,-100.0,
32248,-100.0,-100.0,
32260,-100.0,-100.0,
32268,-100.0,-100.0,
32295,-100.0,-100.0,
33729,-100.0,-100.0,
33744,-100.0,-100.0,
33747,-100.0,-100.0,
33777,-100.0,-100.0,
33782,-100.0,-100.0,
33794,-100.0,-100.0,
33797,-100.0,-100.0,
33811,-100.0,-100.0,
33814,-100.0,-100.0,
33827,-100.0,-100.0,
33830,-100.0,-100.0,
33845,-100.0,-100.0,
33849,-100.0,-100.0,
33861,-100.0,-100.0,
33865,-100.0,-100.0,
33878,-100.0,-100.0,
68881,-100.0,-100.0,
68896,-100.0,-99.0,
68912,-100.0,-99.0,
68948,-100.0,-96.0,
68956,-100.0,-96.0,
69000,-100.0,-93.0,
69009,-100.0,-93.0,
69036,-100.0,-90.0,
69044,-100.0,-90.0,
69060,-100.0,-88.0,
69068,-100.0,-88.0,
69078,-100.0,-87.0,
69085,-100.0,-87.0,
69112,-100.0,-85.0,
69122,-100.0,-85.0,
69147,-100.0,-83.0,
69156,-100.0,-83.0,
69182,-100.0,-80.0,
69191,-100.0,-80.0,
69217,-100.0,-78.0,
69225,-100.0,-78.0,
69235,-100.0,-77.0,
69243,-100.0,-77.0,
69254,-100.0,-76.0,
69264,-100.0,-75.0,
69277,-100.0,-74.0,
69288,-100.0,-74.0,
69297,-100.0,-73.0,
69305,-100.0,-73.0,
69319,-100.0,-72.0,
69337,-100.0,-72.0,
69342,-100.0,-70.0,
69352,-100.0,-70.0,
69359,-100.0,-69.0,
69366,-100.0,-69.0,
69378,-100.0,-68.0,
69388,-100.0,-68.0,
69394,-100.0,-67.0,
69400,-100.0,-67.0,
69411,-100.0,-66.0,
69420,-100.0,-66.0,
69429,-100.0,-65.0,
69436,-100.0,-65.0,
69443,-100.0,-64.0,
