,ABIX4VABZUCW3,AN26GE0GN8DP0,AWE3BMS01D2F9
70180,-100.0,-100.0,-65.0
70191,-100.0,-100.0,-65.5
70197,-100.0,-100.0,-66.0
70207,-100.0,-100.0,-66.5
70216,-100.0,-100.0,-67.0
70223,-100.0,-100.0,-68.0
70225,-100.0,-100.0,-68.33333333333333
70243,-100.0,-100.0,-68.66666666666667
70244,-100.0,-100.0,-69.0
70257,-100.0,-100.0,-70.0
70261,-100.0,-100.0,-71.0
70276,-100.0,-100.0,-72.0
70278,-100.0,-100.0,-72.0
70286,-100.0,-100.0,-72.0
70292,-100.0,-100.0,-72.0
70310,-100.0,-100.0,-74.0
70372,-100.0,-100.0,-74.0
70379,-100.0,-100.0,-74.0
70389,-100.0,-100.0,-74.5
70397,-100.0,-100.0,-75.0
70415,-100.0,-100.0,-76.0
70424,-100.0,-100.0,-76.5
70434,-100.0,-100.0,-77.0
70442,-100.0,-100.0,-77.5
70449,-100.0,-100.0,-78.0
70455,-100.0,-100.0,-79.0
70460,-100.0,-100.0,-79.5
70473,-100.0,-100.0,-80.0
70477,-100.0,-100.0,-80.5
70491,-100.0,-100.0,-81.0
70495,-100.0,-100.0,-81.5
70508,-100.0,-100.0,-82.0
70519,-100.0,-100.0,-82.5
70525,-100.0,-100.0,-83.0
70607,-100.0,-100.0,-83.0
70612,-100.0,-100.0,-83.0
70624,-100.0,-100.0,-83.5
70631,-100.0,-100.0,-84.0
70648,-100.0,-100.0,-85.0
70655,-100.0,-100.0,-86.0
70658,-100.0,-100.0,-86.5
70672,-100.0,-100.0,-87.0
70691,-100.0,-100.0,-88.0
70694,-100.0,-100.0,-88.5
70708,-100.0,-100.0,-89.0
70711,-100.0,-100.0,-89.66666666666667
70718,-100.0,-100.0,-90.33333333333333
70725,-100.0,-100.0,-91.0
70736,-100.0,-100.0,-91.5
70743,-100.0,-100.0,-92.0
70830,-100.0,-100.0,-92.0
70841,-100.0,-100.0,-92.5
70848,-100.0,-100.0,-93.0
70857,-100.0,-100.0,-93.5
70865,-100.0,-100.0,-94.0
70874,-100.0,-100.0,-95.0
70889,-100.0,-100.0,-96.0
70893,-100.0,-100.0,-96.5
70906,-100.0,-100.0,-97.0
70910,-100.0,-100.0,-97.5
70924,-100.0,-100.0,-98.0
70929,-100.0,-100.0,-98.33333333333333
70941,-100.0,-100.0,-98.66666666666667
70942,-100.0,-100.0,-99.0
70952,-100.0,-100.0,-99.5
70964,-100.0,-100.0,-100.0
70988,-100.0,-100.0,-100.0
71056,-100.0,-100.0,-100.0
71075,-100.0,-100.0,-100.0
71093,-100.0,-100.0,-100.0
71110,-100.0,-100.0,-100.0
71128,-100.0,-100.0,-100.0
71129,-100.0,-100.0,-100.0
190954,-100.0,-100.0,-100.0
190984,-99.0,-100.0,-100.0
191018,-99.0,-100.0,-100.0
191029,-98.0,-100.0,-100.0
191052,-98.0,-100.0,-100.0
191061,-97.0,-100.0,-100.0
191081,-97.0,-100.0,-100.0
191112,-95.0,-100.0,-100.0
191131,-95.0,-100.0,-100.0
191139,-94.0,-100.0,-100.0
191159,-94.0,-100.0,-100.0
191182,-92.0,-100.0,-100.0
191205,-92.0,-100.0,-100.0
191216,-91.0,-100.0,-100.0
191254,-91.0,-100.0,-100.0
191256,-90.0,-100.0,-100.0
191275,-90.0,-100.0,-100.0
191310,-87.0,-100.0,-100.0
191327,-87.0,-100.0,-100.0
191336,-86.0,-100.0,-100.0
191355,-86.0,-100.0,-100.0
191364,-85.0,-100.0,-100.0
191380,-85.0,-100.0,-100.0
191394,-84.0,-100.0,-100.0
191429,-84.0,-100.0,-100.0
191459,-82.0,-100.0,-100.0
191485,-82.0,-100.0,-100.0
191495,-81.0,-100.0,-100.0
191508,-81.0,-100.0,-100.0
191523,-80.0,-100.0,-100.0
191543,-80.0,-100.0,-100.0
191577,-78.0,-100.0,-100.0
191593,-78.0,-100.0,-100.0
191604,-77.0,-100.0,-100.0
191624,-77.0,-100.0,-100.0
191650,-75.0,-100.0,-100.0
191679,-75.0,-100.0,-100.0
191709,-73.0,-100.0,-100.0
191730,-73.0,-100.0,-100.0
191744,-72.0,-100.0,-100.0
191780,-72.0,-100.0,-100.0
191794,-71.0,-100.0,-100.0
191815,-71.0,-100.0,-100.0
191848,-69.0,-100.0,-100.0
191891,-69.0,-100.0,-100.0
191907,-66.0,-100.0,-100.0
191924,-66.0,-100.0,-100.0
191934,-65.0,-100.0,-100.0
191952,-65.0,-100.0,-100.0
191980,-63.0,-100.0,-100.0
192002,-63.0,-100.0,-100.0
192013,-62.0,-100.0,-100.0
192033,-62.0,-100.0,-100.0
192040,-61.0,-100.0,-100.0
192074,-61.0,-100.0,-100.0
192084,-60.0,-100.0,-100.0
192101,-60.0,-100.0,-100.0
192108,-59.0,-100.0,-100.0
192147,-59.0,-100.0,-100.0
192179,-56.0,-100.0,-100.0
192220,-56.0,-100.0,-100.0
192228,-55.0,-100.0,-100.0
192242,-55.0,-100.0,-100.0
192256,-54.0,-100.0,-100.0
192281,-54.0,-100.0,-100.0
192287,-53.0,-100.0,-100.0
192353,-52.0,-100.0,-100.0
192376,-50.0,-100.0,-100.0
192417,-50.0,-100.0,-100.0
192447,-48.0,-100.0,-100.0
192472,-48.0,-100.0,-100.0
192481,-47.0,-100.0,-100.0
192500,-47.0,-100.0,-100.0
192508,-46.0,-100.0,-100.0
192533,-46.0,-100.0,-100.0
192543,-45.0,-100.0,-100.0
192591,-45.0,-100.0,-100.0
192600,-44.0,-100.0,-100.0
192621,-44.0,-100.0,-100.0
192647,-42.0,-100.0,-100.0
192686,-42.0,-100.0,-100.0
192695,-41.0,-100.0,-100.0
192712,-41.0,-100.0,-100.0
192731,-39.0,-100.0,-100.0
192762,-39.0,-100.0,-100.0
192767,-38.0,-100.0,-100.0
192808,-38.0,-100.0,-100.0
192845,-35.0,-100.0,-100.0
192893,-35.0,-100.0,-100.0
192924,-32.0,-100.0,-100.0
192965,-31.0,-100.0,-100.0
192973,-30.0,-100.0,-100.0
193013,-30.0,-100.0,-100.0
193045,-28.0,-100.0,-100.0
193088,-28.0,-100.0,-100.0
193114,-26.0,-100.0,-100.0
193158,-26.0,-100.0,-100.0
193165,-25.0,-100.0,-100.0
193194,-25.0,-100.0,-100.0
193206,-24.0,-100.0,-100.0
193225,-24.0,-100.0,-100.0
193244,-22.0,-100.0,-100.0
193287,-22.0,-100.0,-100.0
193293,-21.0,-100.0,-100.0
193330,-21.0,-100.0,-100.0
193340,-20.0,-100.0,-100.0
193360,-20.0,-100.0,-100.0
193382,-18.0,-100.0,-100.0
193395,-18.0,-100.0,-100.0
193407,-17.0,-100.0,-100.0
193442,-17.0,-100.0,-100.0
193465,-15.0,-100.0,-100.0
193488,-15.0,-100.0,-100.0
193511,-13.0,-100.0,-100.0
193531,-13.0,-100.0,-100.0
193538,-12.0,-100.0,-100.0
193559,-12.0,-100.0,-100.0
193570,-11.0,-100.0,-100.0
193586,-11.0,-100.0,-100.0
193598,-10.0,-100.0,-100.0
193620,-10.0,-100.0,-100.0
193642,-8.0,-100.0,-100.0
193661,-8.0,-100.0,-100.0
193669,-7.0,-100.0,-100.0
193690,-7.0,-100.0,-100.0
193712,-5.0,-100.0,-100.0
193731,-5.0,-100.0,-100.0
193738,-4.0,-100.0,-100.0
193762,-4.0,-100.0,-100.0
193781,-2.0,-100.0,-100.0
193813,-2.0,-100.0,-100.0
193815,-1.0,-100.0,-100.0
193831,-1.0,-100.0,-100.0
193848,0.0,-100.0,-100.0
193892,0.0,-100.0,-100.0
193916,2.0,-100.0,-100.0
193955,2.0,-100.0,-100.0
193981,4.0,-100.0,-100.0
193999,4.0,-100.0,-100.0
194005,5.0,-100.0,-100.0
194026,5.0,-100.0,-100.0
194041,7.0,-100.0,-100.0
194059,7.0,-100.0,-100.0
194066,8.0,-100.0,-100.0
194085,8.0,-100.0,-100.0
194091,10.0,-100.0,-100.0
194092,,-100.0,-100.0
238213,,-100.0,-100.0
238233,,-100.0,-100.0
238246,,-100.0,-100.0
238263,,-100.0,-100.0
238265,,-100.0,-100.0
238279,,-100.0,-100.0
238281,,-100.0,-100.0
238296,,-100.0,-100.0
238298,,-100.0,-100.0
238313,,-100.0,-100.0
238317,,-100.0,-100.0
238329,,-100.0,-100.0
238331,,-100.0,-100.0
238346,,-100.0,-100.0
238348,,-100.0,-100.0
238363,,-100.0,-100.0
239679,,-100.0,-100.0
239696,,-100.0,-100.0
239698,,-100.0,-100.0
239712,,-100.0,-100.0
239714,,-100.0,-100.0
239729,,-100.0,-100.0
239733,,-100.0,-100.0
239745,,-100.0,-100.0
239748,,-100.0,-100.0
239762,,-100.0,-100.0
239764,,-100.0,-100.0
239779,,-100.0,-100.0
239781,,-100.0,-100.0
239795,,-100.0,-100.0
239798,,-100.0,-100.0
239813,,-100.0,-100.0
243311,,-100.0,-100.0
243328,,-100.0,-100.0
243331,,-100.0,-100.0
243344,,-100.0,-100.0
243347,,-100.0,-100.0
243361,,-100.0,-100.0
243364,,-100.0,-100.0
243377,,-100.0,-100.0
243381,,-100.0,-100.0
243394,,-100.0,-100.0
243398,,-100.0,-100.0
243411,,-100.0,-100.0
243413,,-100.0,-100.0
243428,,-100.0,-100.0
244144,,-100.0,-100.0
244161,,-100.0,-100.0
244164,,-100.0,-100.0
244177,,-100.0,-100.0
244180,,-100.0,-100.0
244194,,-100.0,-100.0
244197,,-100.0,-100.0
244211,,-100.0,-100.0
244213,,-100.0,-100.0
244227,,-100.0,-100.0
244232,,-100.0,-100.0
244244,,-100.0,-100.0
244247,,-100.0,-100.0
244261,,-100.0,-100.0
244744,,-100.0,-100.0
244761,,-100.0,-100.0
244764,,-100.0,-100.0
244777,,-100.0,-100.0
244780,,-100.0,-100.0
244794,,-100.0,-100.0
244798,,-100.0,-100.0
244810,,-100.0,-100.0
244814,,-100.0,-100.0
244827,,-100.0,-100.0
244830,,-100.0,-100.0
244844,,-100.0,-100.0
244851,,-100.0,-100.0
244860,,-100.0,-100.0
244863,,-100.0,-100.0
244877,,-100.0,-100.0
244881,,-100.0,-100.0
244893,,-100.0,-100.0
245961,,-100.0,-100.0
245977,,-100.0,-100.0
245981,,-100.0,-100.0
245993,,-100.0,-100.0
245996,,-100.0,-100.0
246010,,-100.0,-100.0
246012,,-100.0,-100.0
246027,,-100.0,-100.0
246031,,-100.0,-100.0
246043,,-100.0,-100.0
246046,,-100.0,-100.0
246061,,-100.0,-100.0
246067,,-100.0,-100.0
246077,,-100.0,-100.0
246082,,-100.0,-100.0
246093,,-100.0,-100.0
246096,,-100.0,-100.0
246110,,-100.0,-100.0
247177,,-100.0,-100.0
247193,,-100.0,-100.0
247196,,-100.0,-100.0
247209,,-100.0,-100.0
247211,,-100.0,-100.0
247226,,-100.0,-100.0
247229,,-100.0,-100.0
247243,,-100.0,-100.0
247246,,-100.0,-100.0
247259,,-100.0,-100.0
247262,,-100.0,-100.0
247276,,-100.0,-100.0
247278,,-100.0,-100.0
247293,,-100.0,-100.0
247297,,-100.0,-100.0
247309,,-100.0,-100.0
247313,,-100.0,-100.0
247326,,-100.0,-100.0
249443,,-100.0,-100.0
249459,,-100.0,-100.0
249462,,-100.0,-100.0
249475,,-100.0,-100.0
249478,,-100.0,-100.0
249493,,-100.0,-100.0
249501,,-100.0,-100.0
249509,,-100.0,-100.0
249511,,-100.0,-100.0
249525,,-100.0,-100.0
249528,,-100.0,-100.0
249542,,-100.0,-100.0
250192,,-100.0,-100.0
250209,,-100.0,-100.0
250212,,-100.0,-100.0
250225,,-100.0,-100.0
250228,,-100.0,-100.0
250242,,-100.0,-100.0
250246,,-100.0,-100.0
250259,,-100.0,-100.0
250261,,-100.0,-100.0
250275,,-100.0,-100.0
250278,,-100.0,-100.0
250292,,-100.0,-100.0
250295,,-100.0,-100.0
250309,,-100.0,-100.0
250509,,-100.0,-100.0
250525,,-100.0,-100.0
250528,,-100.0,-100.0
250542,,-100.0,-100.0
250544,,-100.0,-100.0
250558,,-100.0,-100.0
250561,,-100.0,-100.0
250575,,-100.0,-100.0
250579,,-100.0,-100.0
250592,,-100.0,-100.0
250595,,-100.0,-100.0
250608,,-100.0,-100.0
250612,,-100.0,-100.0
250625,,-100.0,-100.0
250629,,-100.0,-100.0
250642,,-100.0,-100.0
250649,,-100.0,-100.0
250658,,-100.0,-100.0
250910,,-100.0,-100.0
250925,,-100.0,-100.0
250928,,-100.0,-100.0
250942,,-100.0,-100.0
250949,,-100.0,-100.0
250958,,-100.0,-100.0
250962,,-100.0,-100.0
250975,,-100.0,-100.0
250978,,-100.0,-100.0
250992,,-100.0,-100.0
250996,,-100.0,-100.0
251008,,-100.0,-100.0
251012,,-100.0,-100.0
251025,,-100.0,-100.0
251028,,-100.0,-100.0
251042,,-100.0,-100.0
251277,,-100.0,-100.0
251294,,-100.0,-100.0
251300,,-100.0,-100.0
251325,,-100.0,-100.0
251328,,-100.0,-100.0
251341,,-100.0,-100.0
251345,,-100.0,-100.0
251358,,-100.0,-100.0
251361,,-100.0,-100.0
251375,,-100.0,-100.0
251378,,-100.0,-100.0
251391,,-100.0,-100.0
251708,,-100.0,-100.0
251725,,-100.0,-100.0
251728,,-100.0,-100.0
251741,,-100.0,-100.0
251744,,-100.0,-100.0
251758,,-100.0,-100.0
251760,,-100.0,-100.0
251774,,-100.0,-100.0
251776,,-100.0,-100.0
251791,,-100.0,-100.0
251793,,-100.0,-100.0
251808,,-100.0,-100.0
252275,,-100.0,-100.0
252291,,-100.0,-100.0
252294,,-100.0,-100.0
252308,,-100.0,-100.0
252310,,-100.0,-100.0
252324,,-100.0,-100.0
252328,,-100.0,-100.0
252341,,-100.0,-100.0
252343,,-100.0,-100.0
252358,,-100.0,-100.0
252365,,-100.0,-100.0
252374,,-100.0,-100.0
252377,,-100.0,-100.0
252391,,-100.0,-100.0
252393,,-100.0,-100.0
252408,,-100.0,-100.0
252415,,-100.0,-100.0
252424,,-100.0,-100.0
252942,,-100.0,-100.0
252961,,-100.0,-100.0
252966,,-100.0,-100.0
252991,,-100.0,-100.0
252995,,-100.0,-100.0
253007,,-100.0,-100.0
253010,,-100.0,-100.0
253024,,-100.0,-100.0
253026,,-100.0,-100.0
253041,,-100.0,-100.0
253042,,-100.0,-100.0
253057,,-100.0,-100.0
253060,,-100.0,-100.0
253074,,-100.0,-100.0
253078,,-100.0,-100.0
253091,,-100.0,-100.0
253092,,-100.0,-100.0
253108,,-100.0,-100.0
253358,,-100.0,-100.0
253375,,-100.0,-100.0
253377,,-100.0,-100.0
253391,,-100.0,-100.0
253393,,-100.0,-100.0
253407,,-100.0,-100.0
253411,,-100.0,-100.0
253424,,-100.0,-100.0
253425,,-100.0,-100.0
253441,,-100.0,-100.0
253444,,-100.0,-100.0
253457,,-100.0,-100.0
253459,,-100.0,-100.0
253474,,-100.0,-100.0
253476,,-100.0,-100.0
253491,,-100.0,-100.0
253493,,-100.0,-100.0
253509,,-100.0,-100.0
254207,,-100.0,-100.0
254224,,-100.0,-100.0
254227,,-100.0,-100.0
254240,,-100.0,-100.0
254243,,-100.0,-100.0
254257,,-100.0,-100.0
254259,,-100.0,-100.0
254274,,-100.0,-100.0
254276,,-100.0,-100.0
254290,,-100.0,-100.0
254293,,-100.0,-100.0
254307,,-100.0,-100.0
254625,,-100.0,-100.0
254641,,-100.0,-100.0
254644,,-100.0,-100.0
254657,,-100.0,-100.0
254661,,-100.0,-100.0
254674,,-100.0,-100.0
254675,,-100.0,-100.0
254690,,-100.0,-100.0
254692,,-100.0,-100.0
254707,,-100.0,-100.0
254710,,-100.0,-100.0
254724,,-100.0,-100.0
255040,,-100.0,-100.0
255058,,-100.0,-100.0
255061,,-100.0,-100.0
255073,,-100.0,-100.0
255077,,-100.0,-100.0
255090,,-100.0,-100.0
255091,,-100.0,-100.0
255107,,-100.0,-100.0
255108,,-100.0,-100.0
255123,,-100.0,-100.0
255125,,-100.0,-100.0
255140,,-100.0,-100.0
255357,,-100.0,-100.0
255374,,-100.0,-100.0
255378,,-100.0,-100.0
255390,,-100.0,-100.0
255392,,-100.0,-100.0
255407,,-100.0,-100.0
255410,,-100.0,-100.0
255424,,-100.0,-100.0
255434,,-100.0,-100.0
255473,,-100.0,-100.0
255474,,-100.0,-100.0
255490,,-100.0,-100.0
255924,,-100.0,-100.0
255940,,-100.0,-100.0
255943,,-100.0,-100.0
255956,,-100.0,-100.0
255958,,-100.0,-100.0
255973,,-100.0,-100.0
255975,,-100.0,-100.0
255991,,-100.0,-100.0
255998,,-100.0,-100.0
256006,,-100.0,-100.0
256009,,-100.0,-100.0
256023,,-100.0,-100.0
256025,,-100.0,-100.0
256040,,-100.0,-100.0
257057,,-100.0,-100.0
257073,,-100.0,-100.0
257076,,-100.0,-100.0
257089,,-100.0,-100.0
257091,,-100.0,-100.0
257106,,-100.0,-100.0
257108,,-100.0,-100.0
257124,,-100.0,-100.0
257131,,-100.0,-100.0
257140,,-100.0,-100.0
257143,,-100.0,-100.0
257156,,-100.0,-100.0
257158,,-100.0,-100.0
257173,,-100.0,-100.0
257623,,-100.0,-100.0
257640,,-100.0,-100.0
257643,,-100.0,-100.0
257656,,-100.0,-100.0
257664,,-100.0,-100.0
257673,,-100.0,-100.0
257675,,-100.0,-100.0
257689,,-100.0,-100.0
257691,,-100.0,-100.0
257706,,-100.0,-100.0
257708,,-100.0,-100.0
257723,,-100.0,-100.0
257726,,-100.0,-100.0
257739,,-100.0,-100.0
257743,,-100.0,-100.0
257756,,-100.0,-100.0
258339,,-100.0,-100.0
258356,,-100.0,-100.0
258359,,-100.0,-100.0
258372,,-100.0,-100.0
258374,,-100.0,-100.0
258389,,-100.0,-100.0
258392,,-100.0,-100.0
258405,,-100.0,-100.0
258411,,-100.0,-100.0
258422,,-100.0,-100.0
258426,,-100.0,-100.0
258439,,-100.0,-100.0
258440,,-100.0,-100.0
258455,,-100.0,-100.0
258457,,-100.0,-100.0
258472,,-100.0,-100.0
258474,,-100.0,-100.0
258489,,-100.0,-100.0
258640,,-100.0,-100.0
258657,,-100.0,-100.0
258660,,-100.0,-100.0
258672,,-100.0,-100.0
258674,,-100.0,-100.0
258689,,-100.0,-100.0
258692,,-100.0,-100.0
258705,,-100.0,-100.0
258707,,-100.0,-100.0
258722,,-100.0,-100.0
258725,,-100.0,-100.0
258739,,-100.0,-100.0
259006,,-100.0,-100.0
259023,,-100.0,-100.0
259025,,-100.0,-100.0
259039,,-100.0,-100.0
259041,,-100.0,-100.0
259055,,-100.0,-100.0
259059,,-100.0,-100.0
259072,,-100.0,-100.0
259075,,-100.0,-100.0
259089,,-100.0,-100.0
259091,,-100.0,-100.0
259105,,-100.0,-100.0
259107,,-100.0,-100.0
259122,,-100.0,-100.0
259124,,-100.0,-100.0
259139,,-100.0,-100.0
259908,,-100.0,-100.0
259925,,-100.0,-100.0
259930,,-100.0,-100.0
259939,,-100.0,-100.0
259941,,-100.0,-100.0
259955,,-100.0,-100.0
259957,,-100.0,-100.0
259972,,-100.0,-100.0
259974,,-100.0,-100.0
259989,,-100.0,-100.0
259995,,-100.0,-100.0
260005,,-100.0,-100.0
260010,,-100.0,-100.0
260022,,-100.0,-100.0
260024,,-100.0,-100.0
260039,,-100.0,-100.0
260041,,-100.0,-100.0
260055,,-100.0,-100.0
260339,,-100.0,-100.0
260355,,-100.0,-100.0
260358,,-100.0,-100.0
260372,,-100.0,-100.0
260375,,-100.0,-100.0
260389,,-100.0,-100.0
260391,,-100.0,-100.0
260406,,-100.0,-100.0
260415,,-100.0,-100.0
260422,,-100.0,-100.0
260427,,-100.0,-100.0
260439,,-100.0,-100.0
260442,,-100.0,-100.0
260456,,-100.0,-100.0
260466,,-100.0,-100.0
260472,,-100.0,-100.0
260475,,-100.0,-100.0
260488,,-100.0,-100.0
261372,,-100.0,-100.0
261388,,-100.0,-100.0
261391,,-100.0,-100.0
261405,,-100.0,-100.0
261407,,-100.0,-100.0
261421,,-100.0,-100.0
261425,,-100.0,-100.0
261439,,-100.0,-100.0
261445,,-100.0,-100.0
261472,,-100.0,-100.0
261475,,-100.0,-100.0
261488,,-100.0,-100.0
261491,,-100.0,-100.0
261505,,-100.0,-100.0
261871,,-100.0,-100.0
261888,,-100.0,-100.0
261891,,-100.0,-100.0
261905,,-100.0,-100.0
261906,,-100.0,-100.0
261921,,-100.0,-100.0
261924,,-100.0,-100.0
261938,,-100.0,-100.0
261939,,-100.0,-100.0
261955,,-100.0,-100.0
262105,,-100.0,-100.0
262122,,-100.0,-100.0
262124,,-100.0,-100.0
262138,,-100.0,-100.0
262139,,-100.0,-100.0
262154,,-100.0,-100.0
262156,,-100.0,-100.0
262171,,-100.0,-100.0
262174,,-100.0,-100.0
262188,,-100.0,-100.0
262189,,-100.0,-100.0
262204,,-100.0,-100.0
262206,,-100.0,-100.0
262221,,-100.0,-100.0
262222,,-100.0,-100.0
262238,,-100.0,-100.0
262265,,-100.0,-100.0
262287,,-100.0,-99.0
262311,,-100.0,-98.0
262321,,-100.0,-97.5
262338,,-100.0,-97.0
262341,,-100.0,-97.0
262348,,-100.0,-97.0
262354,,-100.0,-96.66666666666667
262356,,-100.0,-96.33333333333333
262363,,-100.0,-96.0
262371,,-100.0,-96.0
262372,,-100.0,-96.0
262387,,-100.0,-96.0
262389,,-100.0,-96.0
262404,,-100.0,-95.33333333333333
262406,,-100.0,-94.66666666666667
262416,,-100.0,-94.0
262422,,-100.0,-94.0
262428,,-100.0,-94.0
262438,,-100.0,-94.0
262440,,-100.0,-94.0
262454,,-100.0,-94.0
262501,,-100.0,-94.0
262518,,-100.0,-93.0
262543,,-100.0,-92.0
262553,,-100.0,-91.0
262573,,-100.0,-90.0
262588,,-100.0,-89.5
262595,,-100.0,-89.0
262604,,-100.0,-88.75
262607,,-100.0,-88.5
262621,,-100.0,-88.25
262622,,-100.0,-88.0
262625,,-100.0,-87.75
262638,,-100.0,-87.5
262639,,-100.0,-87.25
262651,,-100.0,-87.0
262654,,-100.0,-87.0
262655,,-100.0,-87.0
262671,,-100.0,-87.0
262676,,-100.0,-87.0
262687,,-100.0,-87.0
262689,,-100.0,-87.0
262701,,-100.0,-87.0
262704,,-100.0,-86.5
262720,,-100.0,-86.0
262741,,-100.0,-86.0
262756,,-100.0,-85.0
262764,,-100.0,-85.0
262781,,-100.0,-84.0
262809,,-100.0,-82.0
262825,,-100.0,-81.0
262842,,-100.0,-80.0
262895,,-100.0,-80.0
262914,,-100.0,-79.0
262935,,-100.0,-78.0
262952,,-100.0,-78.0
262968,,-100.0,-77.0
262980,,-100.0,-77.0
262998,,-100.0,-76.0
263083,,-100.0,-76.0
263088,,-100.0,-75.5
263100,,-100.0,-75.0
263104,,-100.0,-75.0
263106,,-100.0,-75.0
263121,,-100.0,-75.0
263122,,-100.0,-75.0
263137,,-100.0,-74.5
263138,,-100.0,-74.0
263139,,-100.0,-74.0
263154,,-100.0,-74.0
263156,,-100.0,-74.0
263159,,-100.0,-74.0
263171,,-100.0,-73.5
263173,,-100.0,-73.0
263174,,-100.0,-73.0
263187,,-100.0,-73.0
263189,,-100.0,-73.0
263193,,-100.0,-73.0
263201,,-100.0,-72.0
263204,,-100.0,-71.75
263205,,-100.0,-71.5
263221,,-100.0,-71.25
263225,,-100.0,-71.0
263294,,-100.0,-71.0
263314,,-100.0,-70.0
263334,,-100.0,-70.0
263352,,-100.0,-69.0
263372,,-100.0,-69.0
263386,,-100.0,-68.0
263395,,-100.0,-68.0
263408,,-100.0,-67.0
263428,,-100.0,-66.0
263511,,-100.0,-66.0
263530,,-100.0,-65.0
263551,,-100.0,-64.0
263568,,-100.0,-63.0
263584,,-100.0,-62.0
263601,,-100.0,-61.0
263619,,-100.0,-61.0
263623,,-100.0,-60.0
263642,,-100.0,-60.0
263658,,-100.0,-59.0
263729,,-100.0,-59.0
263746,,-100.0,-58.0
263763,,-100.0,-57.0
263781,,-100.0,-56.0
263798,,-100.0,-55.0
263816,,-100.0,-54.0
263823,,-100.0,-53.0
263839,,-100.0,-52.0
263860,,-100.0,-51.0
263929,,-100.0,-51.0
263945,,-100.0,-50.0
263975,,-100.0,-49.0
263992,,-100.0,-48.0
264008,,-100.0,-47.0
264024,,-100.0,-47.0
264039,,-100.0,-46.0
264047,,-100.0,-45.0
264062,,-100.0,-44.0
264149,,-100.0,-44.0
264164,,-100.0,-43.0
264181,,-100.0,-42.0
264199,,-100.0,-41.0
264216,,-100.0,-40.0
264234,,-100.0,-39.0
264253,,-100.0,-38.0
264257,,-100.0,-37.0
264277,,-100.0,-36.0
264345,,-100.0,-36.0
264354,,-100.0,-35.5
264364,,-100.0,-35.0
264371,,-100.0,-35.0
264374,,-100.0,-35.0
264383,,-100.0,-35.0
264387,,-100.0,-34.666666666666664
264391,,-100.0,-34.333333333333336
264400,,-100.0,-34.0
264404,,-100.0,-33.666666666666664
264406,,-100.0,-33.333333333333336
264420,,-100.0,-33.0
264421,,-100.0,-32.666666666666664
264426,,-100.0,-32.333333333333336
264435,,-100.0,-32.0
264437,,-100.0,-31.666666666666668
264439,,-100.0,-31.333333333333332
264452,,-100.0,-31.0
264454,,-100.0,-30.666666666666668
264455,,-100.0,-30.333333333333332
264468,,-100.0,-30.0
264470,,-100.0,-29.666666666666668
264471,,-100.0,-29.333333333333332
264476,,-100.0,-29.0
264487,,-100.0,-29.0
264489,,-100.0,-29.0
264504,,-100.0,-29.0
264507,,-100.0,-29.0
264520,,-100.0,-29.0
264522,,-100.0,-29.0
264537,,-100.0,-29.0
264538,,-100.0,-29.0
264544,,-100.0,-29.0
264554,,-100.0,-28.5
264563,,-100.0,-28.0
264581,,-100.0,-28.0
264596,,-100.0,-27.0
264616,,-100.0,-26.0
264632,,-100.0,-26.0
264650,,-100.0,-25.0
264668,,-100.0,-24.0
264674,,-100.0,-23.0
264691,,-100.0,-21.0
264761,,-100.0,-21.0
264771,,-100.0,-20.5
264781,,-100.0,-20.0
264787,,-100.0,-20.0
264790,,-100.0,-20.0
264799,,-100.0,-20.0
264803,,-100.0,-19.666666666666668
264805,,-100.0,-19.333333333333332
264814,,-100.0,-19.0
264820,,-100.0,-18.666666666666668
264822,,-100.0,-18.333333333333332
264834,,-100.0,-18.0
264837,,-100.0,-18.0
264840,,-100.0,-18.0
264852,,-100.0,-18.0
264853,,-100.0,-17.666666666666668
264855,,-100.0,-17.333333333333332
264868,,-100.0,-17.0
264870,,-100.0,-17.0
264872,,-100.0,-17.0
264887,,-100.0,-17.0
264888,,-100.0,-17.0
264889,,-100.0,-17.0
264901,,-100.0,-15.0
264903,,-100.0,-14.5
264907,,-100.0,-14.0
264926,,-100.0,-13.0
264978,,-100.0,-13.0
264994,,-100.0,-12.0
265012,,-100.0,-11.0
265032,,-100.0,-10.0
265049,,-100.0,-9.0
265066,,-100.0,-8.0
265085,,-100.0,-7.0
265099,,-100.0,-6.0
265108,,-100.0,-4.0
265124,,-100.0,-3.0
265143,,-100.0,-2.0
265144,,-100.0,
265620,,-100.0,
265637,,-100.0,
265641,,-100.0,
265653,,-100.0,
265656,,-100.0,
265670,,-100.0,
265674,,-100.0,
265687,,-100.0,
265688,,-100.0,
265703,,-100.0,
265704,,-100.0,
265720,,-100.0,
265722,,-100.0,
265736,,-100.0,
265739,,-100.0,
265754,,-100.0,
265760,,-100.0,
265770,,-100.0,
265772,,-100.0,
265787,,-100.0,
265789,,-100.0,
265803,,-100.0,
265870,,-100.0,
265888,,-100.0,
265894,,-100.0,
265903,,-100.0,
265906,,-100.0,
265920,,-100.0,
265923,,-100.0,
265936,,-100.0,
265938,,-100.0,
265953,,-100.0,
265955,,-100.0,
265970,,-100.0,
265971,,-100.0,
265986,,-100.0,
265988,,-100.0,
266003,,-100.0,
266054,,-100.0,
266070,,-100.0,
266072,,-100.0,
