,A3BPENSX5EVJ2,AWE3BMS01D2F9
80080,,98.0
80088,,98.0
80105,,98.0
80124,,98.0
80141,,98.0
80161,,98.0
80195,,98.0
80212,,98.0
80233,,98.0
80265,,98.0
80298,,98.0
80304,,98.0
80324,,98.0
80338,,98.0
80357,,98.0
80374,,98.0
80392,,98.0
80410,,98.0
80427,,98.0
80445,,98.0
80461,,98.0
80480,,98.0
80497,,98.0
80504,,98.0
80520,,98.0
80539,,98.0
80556,,98.0
80574,,98.0
80593,,98.0
80602,,98.0
80608,,97.5
80618,,97.0
80625,,96.0
80641,,95.0
80643,,94.5
80659,,94.0
80662,,93.5
80677,,93.0
80679,,92.33333333333333
80697,,91.66666666666667
80712,,91.0
80713,,90.5
80731,,90.0
80739,,89.5
80746,,89.0
80755,,88.0
80765,,87.0
80773,,86.33333333333333
80791,,85.66666666666667
80799,,85.0
80808,,84.0
80822,,83.0
80825,,82.5
80841,,82.0
80843,,81.5
80857,,81.0
80861,,80.5
80875,,80.0
80878,,79.0
80895,,78.0
80910,,77.0
80913,,76.5
80928,,76.0
80930,,75.5
80938,,75.0
80955,,74.5
80968,,74.0
80973,,74.0
80989,,74.0
81007,,73.5
81008,,73.0
81025,,72.66666666666667
81042,,72.33333333333333
81043,,72.0
81061,,71.5
81064,,71.0
81077,,70.0
81093,,69.0
81096,,69.0
81120,,69.0
81130,,68.33333333333333
81148,,67.66666666666667
81155,,67.0
81172,,66.66666666666667
81213,,66.33333333333333
81216,,66.0
81230,,66.0
81244,,66.0
81260,,65.5
81270,,65.0
81294,,64.5
81299,,64.0
81312,,63.333333333333336
81330,,62.666666666666664
81338,,62.0
81347,,62.0
81362,,62.0
81365,,61.75
81371,,61.5
81388,,61.25
81393,,61.0
81408,,60.666666666666664
81424,,60.333333333333336
81428,,60.0
81443,,59.5
81459,,59.0
81460,,58.666666666666664
81475,,58.333333333333336
81486,,58.0
81494,,58.0
81507,,58.0
81511,,57.5
81529,,57.0
81546,,57.0
81556,,57.0
81563,,56.0
81578,,55.0
81583,,54.5
81598,,54.0
81605,,53.5
81615,,53.0
81624,,52.5
81631,,52.0
81651,,50.0
81667,,49.0
81668,,48.5
81675,,48.0
81690,,47.0
81694,,46.5
81711,,46.0
81715,,45.5
81724,,45.0
81727,,44.5
81743,,44.0
81763,,43.0
81778,,42.0
81781,,41.666666666666664
81788,,41.333333333333336
81796,,41.0
81806,,40.0
81812,,39.0
81830,,38.0
81844,,37.5
81848,,37.0
81865,,36.0
81876,,35.5
81885,,35.0
81892,,34.5
81900,,34.0
81907,,33.0
81913,,32.5
81926,,32.0
81942,,31.0
81947,,30.0
81961,,29.0
81967,,28.5
81977,,28.0
81986,,27.5
81994,,27.0
81999,,26.5
82014,,26.0
82017,,25.666666666666668
82026,,25.333333333333332
82029,,25.0
82047,,24.0
82061,,23.5
82065,,23.0
82069,,22.5
82081,,22.0
82101,,21.0
82107,,20.0
82117,,19.5
82124,,19.0
82139,,18.5
82141,,18.0
82152,,17.5
82159,,17.0
82179,,16.0
82183,,15.5
82193,,15.0
82201,,14.5
82214,,14.0
82221,,13.5
82228,,13.0
82238,,12.5
82247,,12.0
82256,,11.0
82265,,10.0
82274,,9.5
82281,,9.0
82294,,8.5
82301,,8.0
82317,,7.0
82323,,6.0
82340,,5.5
82342,,5.0
82352,,4.5
82358,,4.0
82372,,3.5
82377,,3.0
82382,,2.5
