,AF50K5H2FJWW0,A4WBW7FVQASZE,AQ3KPKZ6UIYPF
10851,-71.0,-100.0,-100.0
10880,-69.0,-100.0,-100.0
10884,-69.0,-100.0,-100.0
10914,-67.0,-100.0,-100.0
10919,-67.0,-100.0,-100.0
10931,-66.0,-100.0,-100.0
10939,-66.0,-100.0,-100.0
10956,-64.0,-100.0,-100.0
10961,-64.0,-100.0,-100.0
10962,-63.0,-100.0,-100.0
10992,-62.0,-100.0,-100.0
10993,-62.0,-100.0,-100.0
10998,-62.0,-100.0,-100.0
11008,-61.0,-100.0,-100.0
11147,-61.0,-100.0,-100.0
11187,-61.0,-100.0,-100.0
11236,-61.0,-100.0,-100.0
11266,-61.0,-100.0,-100.0
11275,-61.0,-100.0,-100.0
11335,-61.0,-100.0,-100.0
11394,-61.0,-100.0,-100.0
11436,-61.0,-100.0,-100.0
11567,-61.0,-100.0,-100.0
11597,-61.0,-100.0,-100.0
11631,-61.0,-100.0,-100.0
11681,-61.0,-100.0,-100.0
11707,-61.0,-100.0,-100.0
11737,-61.0,-100.0,-100.0
11780,-61.0,-100.0,-100.0
11812,-61.0,-100.0,-100.0
11870,-61.0,-100.0,-100.0
11894,-61.0,-100.0,-100.0
11905,-61.0,-100.0,-100.0
11948,-61.0,-100.0,-100.0
12037,-61.0,-100.0,-100.0
12068,-61.0,-100.0,-100.0
12241,-61.0,-100.0,-100.0
12267,-61.0,-100.0,-100.0
12339,-61.0,-100.0,-100.0
12373,-61.0,-100.0,-100.0
12388,-61.0,-100.0,-100.0
12425,-61.0,-100.0,-100.0
12469,-61.0,-100.0,-100.0
12503,-61.0,-100.0,-100.0
12543,-61.0,-100.0,-100.0
12581,-61.0,-100.0,-100.0
12600,-62.0,-100.0,-100.0
12606,-62.0,-100.0,-100.0
12607,-62.666666666666664,-100.0,-100.0
12618,-63.333333333333336,-100.0,-100.0
12632,-64.0,-100.0,-100.0
12638,-64.0,-100.0,-100.0
12674,-67.0,-100.0,-100.0
12679,-67.0,-100.0,-100.0
12681,-68.5,-100.0,-100.0
12708,-70.0,-100.0,-100.0
