Time(sec),AF50K5H2FJWW0
250.0,-99.89166666666668
251.0,-99.97333333333331
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-99.975
260.0,-97.5
261.0,-97.5
262.0,-97.5
263.0,-97.5
264.0,-97.5
265.0,-95.5
266.0,-95.0
267.0,-95.0
268.0,-95.0
269.0,-95.0
270.0,-90.66112554112553
271.0,-85.0
272.0,-85.0
273.0,-85.0
274.0,-80.11583333333334
275.0,-72.02857142857142
276.0,-72.0
277.0,-72.0
278.0,-68.08642857142857
279.0,-63.0
280.0,-63.0
281.0,-63.0
282.0,-63.0
283.0,-63.0
284.0,-63.0
285.0,-63.0
286.0,-63.0
287.0,-63.0
288.0,-63.0
289.0,-63.0
290.0,-63.0
291.0,-63.0
292.0,-63.0
293.0,-63.0
294.0,-63.0
295.0,-63.0
296.0,-63.0
297.0,-63.0
298.0,-63.0
299.0,-63.0
300.0,-63.0
301.0,-63.0
302.0,-63.0
303.0,-63.0
304.0,-63.0
305.0,-63.0
306.0,-63.0
307.0,-62.260000000000005
308.0,-45.70507575757576
309.0,-18.316666666666666
310.0,9.598571428571429
311.0,35.40198412698413
312.0,48.47619047619047
313.0,48.7936507936508
314.0,48.9968253968254
315.0,49.0
316.0,49.0
317.0,49.0
318.0,49.0
319.0,49.0
320.0,49.0
321.0,49.0
322.0,49.0
323.0,49.0
324.0,49.0
325.0,49.0
326.0,49.0
327.0,49.0
328.0,49.0
329.0,49.0
330.0,49.0
331.0,49.0
332.0,49.0
333.0,49.0
334.0,49.0
335.0,49.0
336.0,49.0
337.0,49.0
338.0,49.0
339.0,49.0
340.0,49.0
341.0,49.0
342.0,49.0
343.0,49.0
344.0,49.0
345.0,49.0
346.0,49.0
347.0,49.0
348.0,49.0
349.0,49.0
350.0,49.0
351.0,49.0
352.0,49.0
353.0,49.0
354.0,49.0
355.0,49.0
356.0,49.08296296296295
357.0,49.37037037037037
358.0,49.666666666666664
359.0,49.96296296296297
360.0,50.25925925925926
361.0,53.49777777777778
362.0,82.40247113997114
363.0,93.0
364.0,93.0
365.0,93.0
366.0,93.0
367.0,93.0
368.0,93.0
369.0,93.0
370.0,93.0
371.0,93.0
372.0,93.0
373.0,93.0
374.0,93.0
375.0,92.7
376.0,75.08807588075881
377.0,66.9471544715447
378.0,66.8658536585366
379.0,66.78455284552845
380.0,66.70325203252031
381.0,66.6219512195122
382.0,66.54065040650406
383.0,66.45934959349592
384.0,66.3780487804878
385.0,60.7
386.0,59.333333333333336
387.0,59.333333333333336
388.0,59.333333333333336
389.0,59.333333333333336
390.0,59.333333333333336
391.0,59.333333333333336
392.0,59.333333333333336
393.0,67.49494047619048
394.0,80.31369206773618
395.0,79.18181818181817
396.0,78.61140819964349
397.0,78.0409982174688
398.0,77.47058823529412
399.0,76.90017825311942
400.0,71.6051990493167
401.0,50.076874999999994
402.0,47.542410714285715
403.0,46.622767857142854
404.0,45.70312500000001
405.0,44.783482142857146
406.0,43.863839285714285
407.0,41.52892857142857
408.0,34.0
409.0,34.0
410.0,34.0
411.0,34.0
412.0,34.0
413.0,34.0
414.0,34.0
415.0,34.0
416.0,34.0
417.0,34.0
418.0,34.0
419.0,34.0
420.0,34.0
421.0,34.0
422.0,34.0
423.0,34.0
424.0,34.0
425.0,34.0
426.0,34.0
427.0,34.0
428.0,34.0
429.0,34.0
430.0,34.0
431.0,34.0
432.0,34.0
433.0,34.0
434.0,34.0
435.0,34.0
436.0,34.0
437.0,34.0
438.0,34.0
439.0,34.0
440.0,34.0
441.0,34.0
442.0,34.0
443.0,34.052173913043475
444.0,35.89565217391304
445.0,58.32732259570495
446.0,61.66176470588234
447.0,62.00490196078431
448.0,62.34803921568628
449.0,62.691176470588246
450.0,62.97254901960785
451.0,63.0
452.0,63.0
453.0,42.806666666666665
454.0,12.347777777777777
455.0,-9.03
456.0,-22.21206896551724
457.0,-23.56609195402299
458.0,-23.623563218390803
459.0,-23.68103448275862
460.0,-23.738505747126435
461.0,-23.79597701149425
462.0,-23.853448275862068
463.0,-23.910919540229884
464.0,-23.9683908045977
465.0,-24.02586206896552
466.0,-24.083333333333332
467.0,-24.140804597701152
468.0,-24.198275862068964
469.0,-24.25574712643678
470.0,-24.313218390804597
471.0,-24.370689655172416
472.0,-24.42816091954023
473.0,-24.485632183908045
474.0,-24.54310344827586
475.0,-24.600574712643677
476.0,-24.658045977011493
477.0,-24.71551724137931
478.0,-24.772988505747126
479.0,-24.830459770114942
480.0,-24.887931034482758
481.0,-24.945402298850574
482.0,-24.99425287356322
483.0,-25.0
484.0,-25.0
485.0,-25.0
486.0,-25.0
487.0,-25.0
488.0,-25.0
489.0,-25.0
490.0,-25.0
491.0,-25.0
492.0,-25.0
493.0,-25.0
494.0,-25.0
495.0,-25.0
496.0,-25.0
497.0,-25.0
498.0,-25.0
499.0,-25.0
500.0,-25.0
501.0,-22.371428571428574
502.0,-1.8585714285714292
503.0,12.857142857142856
504.0,13.0
505.0,13.0
506.0,13.0
507.0,13.0
508.0,13.0
509.0,13.0
510.0,12.995384615384614
511.0,12.884615384615383
512.0,12.73076923076923
513.0,12.611538461538462
514.0,12.534615384615385
515.0,4.925
516.0,-1.848
517.0,-1.9546666666666668
518.0,-2.0613333333333332
519.0,-2.168
520.0,-2.2746666666666666
521.0,-2.333333333333333
522.0,-2.333333333333333
523.0,-2.333333333333333
524.0,-2.333333333333333
525.0,-2.333333333333333
526.0,-2.333333333333333
527.0,-2.333333333333333
528.0,19.98205128205128
529.0,73.70254430379747
530.0,99.35864978902954
531.0,99.40084388185655
532.0,99.44303797468355
533.0,98.8548101265823
534.0,60.632005772005776
535.0,-13.73439393939394
536.0,-73.58409685527047
537.0,-89.34941050375133
538.0,-89.37084673097534
539.0,-89.39228295819935
540.0,-89.41371918542336
541.0,-89.43515541264736
542.0,-89.45659163987139
543.0,-89.47802786709539
544.0,-89.49946409431939
545.0,-89.52090032154342
546.0,-89.5423365487674
547.0,-89.56377277599142
548.0,-89.58520900321543
549.0,-89.60664523043945
550.0,-89.62808145766346
551.0,-89.64951768488746
552.0,-89.67095391211147
553.0,-89.69239013933547
554.0,-89.71382636655949
555.0,-89.73526259378349
556.0,-89.75669882100752
557.0,-89.77813504823152
558.0,-89.79957127545552
559.0,-89.82100750267952
560.0,-89.84244372990352
561.0,-89.86387995712755
562.0,-89.88531618435155
563.0,-89.90675241157558
564.0,-89.92818863879958
565.0,-89.94962486602358
566.0,-89.97106109324758
567.0,-89.99228295819935
568.0,-90.0
569.0,-90.0
570.0,-90.0
571.0,-90.0
572.0,-90.0
573.0,-90.0
574.0,-90.0
575.0,-90.0
576.0,-90.0
577.0,-89.5
578.0,-59.359761904761896
579.0,-51.0
580.0,-51.0
581.0,-51.0
582.0,-50.98611111111111
583.0,-50.86805555555556
584.0,-50.72916666666667
585.0,-50.590277777777786
586.0,-50.45138888888889
587.0,-45.68452380952381
588.0,-33.035714285714285
589.0,-24.075757575757574
590.0,-22.762626262626263
591.0,-4.734949494949495
592.0,15.88888888888889
593.0,16.0
594.0,16.0
595.0,16.0
596.0,16.0
597.0,16.0
598.0,16.0
599.0,16.0
600.0,16.0
601.0,16.0
602.0,16.0
603.0,16.0
604.0,16.0
605.0,16.0
