Time(sec),2VKACLXTMOQWO
136.0,-91.54735119047619
137.0,-94.66678330928332
138.0,-97.97554421768709
139.0,-97.51546037296038
140.0,-97.27332722832725
141.0,-91.21836007130125
142.0,-85.88479978354977
143.0,-85.0
144.0,-85.30227272727272
145.0,-85.0
146.0,-85.0
147.0,-85.0
148.0,-85.0
149.0,-85.0
150.0,-85.0
151.0,-86.16214285714285
152.0,-86.505
153.0,-86.62916666666668
154.0,-87.62650058275058
155.0,-89.6470238095238
156.0,-91.14496527777779
157.0,-88.35923035876161
158.0,-82.87916666666668
159.0,-82.1955357142857
160.0,-82.14285714285712
161.0,-82.14285714285712
162.0,-82.14285714285712
163.0,-82.14285714285712
164.0,-82.14285714285712
165.0,-82.14285714285712
166.0,-82.14285714285712
167.0,-82.14285714285712
168.0,-82.14285714285712
169.0,-83.8295238095238
170.0,-87.10587662337662
171.0,-86.20618280403806
172.0,-85.94744272067801
173.0,-84.0
174.0,-84.0
175.0,-84.0
176.0,-85.34383838383837
177.0,-88.93275613275613
178.0,-89.31785714285714
179.0,-87.25
180.0,-87.25
181.0,-89.83262987012988
182.0,-91.45238095238095
183.0,-92.78462301587301
184.0,-93.55837301587303
185.0,-97.63398268398268
186.0,-99.40086760461762
187.0,-99.44119397759104
188.0,-99.15135101010101
189.0,-98.62583333333333
190.0,-92.74174647544967
191.0,-89.00826446280989
192.0,-89.00826446280989
193.0,-89.00826446280989
194.0,-89.00826446280989
195.0,-89.00826446280989
196.0,-89.00826446280989
197.0,-89.00826446280989
198.0,-90.58853305785124
199.0,-98.21296498144713
200.0,-99.24536913250148
201.0,-99.43859231411864
202.0,-98.81905991735537
203.0,-98.66660256410258
204.0,-97.32663220551379
205.0,-97.1151488095238
206.0,-98.6439393939394
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-98.48596153846154
217.0,-87.34357387710328
218.0,-77.31247252747252
219.0,-75.49761904761905
220.0,-75.60674603174603
221.0,-76.0
222.0,-75.15833333333333
223.0,-73.84158730158728
224.0,-75.0
225.0,-65.06743506493505
226.0,-61.30976190476191
227.0,-63.20708333333333
228.0,-64.912
229.0,-65.0
230.0,-64.7642857142857
231.0,-64.32507936507936
232.0,-63.59773809523809
233.0,-63.83611111111111
234.0,-64.0
235.0,-59.958333333333336
236.0,-56.88861111111112
237.0,-55.541666666666664
238.0,-56.50881944444444
239.0,-57.48291666666667
240.0,-57.63369047619047
241.0,-58.40833333333334
242.0,-60.64611111111111
243.0,-61.34416666666666
244.0,-61.9
245.0,-62.0
246.0,-62.0
247.0,-62.0
248.0,-62.0
249.0,-62.0
250.0,-62.0
251.0,-62.0
252.0,-61.99375
253.0,-59.79793019480519
